,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
0,0,56cb8858edf8da000b6df354,0.8334500972739781,25.500216666666667,8.5,54.44117647058823,4.7823529411764705,crime,0.8604273684402294,1.0
1,1,571de12713b1b70012be47f6,0.9113258751834048,33.74508333333333,10.25,77.26829268292683,1.9414634146341463,crime,0.8867722965855405,2.0
2,2,572f526c3c27e7000e0b8aaa,0.7883446440860835,29.35826666666667,6.0,101.25,4.141666666666667,crime,1.0,1.0
3,3,5831960ab232860001b110dc,0.7675748532210639,24.723216666666666,1.0,46.75,2.1,crime,0.6286093236458963,2.0
4,4,594abd98215cbd000146debc,0.6358618893104043,33.45865,0.0,0.0,0.0,crime,0.5544336056604966,2.0
5,5,5acc65f668b65b00018db322,0.8558463965059351,27.90805,6.75,91.88888888888889,1.0296296296296297,crime,0.8259223440443022,2.0
6,6,5b339152afe1d00001c6c509,0.9000818522878855,20.703483333333335,6.5,112.26923076923077,3.9230769230769225,crime,0.9129611720221511,2.0
7,7,5b84a7ea4f38790001778d53,0.8634633290003862,15.843033333333333,10.5,89.52380952380952,2.6619047619047613,crime,0.8852921330647191,2.0
8,8,5c018eb6067bbf00019ba43d,0.8233179894062059,21.198883333333335,5.5,159.04545454545453,6.999999999999999,crime,0.889903623487364,1.0
9,9,5c06fc4918ac7e00016bf76d,0.9316744467021851,26.42275,9.0,122.69444444444444,4.9222222222222225,crime,0.8927887465162205,2.0
10,10,5c17c149f596b100011ca8b8,0.8525448953306072,50.57736666666666,5.75,112.1304347826087,6.895652173913042,crime,0.8817375208021835,1.0
11,11,5c6400cbcb937d00012d8866,0.7500639521831669,54.018249999999995,9.5,87.89473684210526,0.6421052631578948,crime,0.7843344535931231,1.0
12,12,5c7dd22debc24800018e7ca0,0.7730826531509589,33.86761666666667,9.25,107.67567567567568,2.978378378378379,crime,0.7550510257216821,1.0
13,13,5c8bafb53b6f3d00013d7c30,0.6632227629554852,48.19173333333333,4.0,56.0625,3.0375,crime,0.6518446880886043,1.0
14,14,5cf9179b8c98dc0001d5a431,0.786741049818392,29.897516666666668,5.5,92.77272727272727,5.372727272727272,crime,0.6783662395486616,2.0
15,15,5cfddbd3ee0b1500019fa84c,0.8913652186560856,22.567233333333334,7.0,146.67857142857142,3.092857142857143,crime,0.91695452014626,1.0
16,16,5d1a69d8f97a18001977e0d7,0.8326273707445533,28.241366666666668,15.75,50.84126984126984,0.8412698412698414,crime,0.8817375208021835,2.0
17,17,5d1c9f75328d1c001af3af0f,0.8407815380345136,51.68435,7.75,88.7741935483871,4.64516129032258,crime,0.7598077692923693,1.0
18,18,5d470786da637a00014ba26f,0.697774618624099,31.720066666666664,7.75,94.29032258064517,4.129032258064516,crime,0.6694101975463569,1.0
19,19,5d67b6d92b7448000173d95a,0.8369897059046301,16.82463333333333,8.25,88.72727272727273,2.3212121212121213,crime,0.919417703597462,1.0
20,20,5d70ec2138ac7e00012f817b,0.8195915206833291,16.294933333333333,8.75,75.62857142857143,3.005714285714286,crime,0.7675047225123615,2.0
21,21,5dafea4de40355001651fa2f,0.7736181910744744,39.68703333333334,25.75,16.679611650485437,0.8932038834951453,crime,0.8048199854102933,2.0
22,22,5dde680c40460edc4a5dc1a2,0.8556156207624468,14.936166666666667,8.5,68.79411764705883,3.0705882352941174,crime,0.8483803912842194,1.0
23,23,5de2b59d8fde1c2eb47f92d8,0.9132419182700475,19.434833333333334,14.0,62.607142857142854,2.7285714285714286,crime,1.0,1.0
24,24,5e1b65eeb287dc38d94b694e,0.8542877439498773,15.9032,6.25,107.24,5.72,crime,0.9157848078933482,2.0
25,25,5e31e6491faa251bf58151ce,0.8258645749624218,52.331783333333334,4.75,180.10526315789474,8.073684210526318,crime,0.8529570755812385,1.0
26,26,5e3b5fa9255e7a37bc841135,0.8436149784434355,28.826999999999998,5.75,114.1304347826087,5.565217391304348,crime,1.0,1.0
27,27,5e7d3b58d638273c7f823c7b,0.8834512816867814,14.586266666666667,7.25,86.48275862068965,3.855172413793103,crime,0.8634952734420129,2.0
28,28,5e822d17f956a29530ccc2f8,0.8610607550319407,39.4998,6.75,102.74074074074075,4.34074074074074,crime,0.7784604897513154,2.0
