experiment,age,gender,cond,activity,causalFam,graphSent,modelSent
experiment_1,45.0,0.0,0.0,healthcare,0.0,3.0,3.0
experiment_1,33.0,0.0,1.0,retail,0.0,2.0,2.0
experiment_1,28.0,1.0,0.0,management,1.0,3.0,3.0
experiment_1,26.0,0.0,1.0,art,1.0,3.0,3.0
experiment_1,20.0,0.0,0.0,manufacturing,1.0,2.0,2.0
experiment_1,22.0,0.0,0.0,unclassified,0.0,4.0,1.0
experiment_1,29.0,0.0,0.0,healthcare,1.0,4.0,3.0
experiment_1,24.0,1.0,1.0,service,2.0,4.0,4.0
experiment_1,21.0,1.0,0.0,healthcare,2.0,4.0,4.0
experiment_1,36.0,0.0,1.0,build,0.0,3.0,1.0
experiment_1,33.0,1.0,1.0,mining,2.0,3.0,3.0
experiment_1,27.0,0.0,0.0,art,2.0,2.0,2.0
experiment_1,33.0,1.0,1.0,service,3.0,4.0,4.0
experiment_1,40.0,0.0,1.0,service,0.0,3.0,3.0
experiment_1,25.0,1.0,1.0,service,4.0,4.0,4.0
experiment_1,33.0,1.0,0.0,admin,1.0,4.0,3.0
experiment_1,22.0,1.0,1.0,management,0.0,3.0,3.0
experiment_1,20.0,1.0,0.0,art,0.0,4.0,3.0
experiment_1,26.0,0.0,0.0,edu,1.0,2.0,2.0
experiment_1,35.0,0.0,1.0,build,2.0,2.0,2.0
experiment_1,25.0,0.0,0.0,service,3.0,3.0,3.0
experiment_1,30.0,0.0,0.0,unclassified,1.0,3.0,3.0
experiment_1,32.0,0.0,0.0,info,2.0,2.0,2.0
experiment_1,25.0,1.0,0.0,service,3.0,4.0,3.0
experiment_1,20.0,1.0,0.0,service,0.0,2.0,2.0
experiment_1,21.0,0.0,1.0,service,1.0,3.0,3.0
experiment_1,36.0,1.0,1.0,service,0.0,4.0,4.0
experiment_1,26.0,1.0,0.0,edu,1.0,3.0,2.0
experiment_1,20.0,1.0,0.0,info,1.0,4.0,3.0
experiment_1,27.0,0.0,0.0,art,1.0,0.0,0.0
experiment_1,21.0,1.0,1.0,finance,0.0,4.0,4.0
experiment_1,18.0,1.0,1.0,transport,2.0,4.0,3.0
experiment_1,21.0,0.0,0.0,info,2.0,3.0,4.0
experiment_1,28.0,1.0,0.0,unclassified,1.0,2.0,1.0
experiment_1,25.0,1.0,1.0,finance,3.0,3.0,4.0
experiment_1,21.0,1.0,1.0,edu,0.0,3.0,3.0
experiment_1,49.0,1.0,0.0,info,2.0,1.0,4.0
experiment_1,25.0,0.0,1.0,service,2.0,3.0,3.0
experiment_1,24.0,0.0,1.0,info,1.0,4.0,3.0
experiment_1,21.0,0.0,1.0,build,1.0,3.0,3.0
experiment_1,20.0,1.0,1.0,retail,2.0,3.0,3.0
experiment_1,30.0,1.0,0.0,retail,4.0,4.0,4.0
experiment_1,24.0,1.0,1.0,unclassified,1.0,4.0,4.0
experiment_1,20.0,1.0,0.0,retail,1.0,3.0,3.0
experiment_1,26.0,1.0,0.0,unclassified,1.0,4.0,3.0
experiment_1,32.0,1.0,1.0,retail,0.0,1.0,2.0
experiment_1,34.0,1.0,0.0,art,2.0,3.0,3.0
experiment_1,35.0,1.0,0.0,build,1.0,4.0,3.0
experiment_1,24.0,1.0,0.0,retail,1.0,4.0,4.0
experiment_1,19.0,1.0,0.0,service,2.0,3.0,3.0
experiment_1,19.0,1.0,1.0,management,1.0,2.0,3.0
experiment_1,21.0,0.0,1.0,unclassified,0.0,3.0,3.0
experiment_1,31.0,1.0,0.0,edu,1.0,4.0,4.0
experiment_1,28.0,1.0,0.0,art,0.0,4.0,4.0
experiment_1,21.0,1.0,0.0,service,3.0,4.0,4.0
experiment_1,21.0,0.0,0.0,healthcare,1.0,4.0,4.0
experiment_1,20.0,1.0,0.0,art,3.0,4.0,3.0
experiment_1,20.0,1.0,1.0,service,2.0,4.0,4.0
experiment_1,26.0,0.0,1.0,info,0.0,3.0,3.0
experiment_1,20.0,0.0,0.0,service,2.0,3.0,3.0
experiment_2,29.0,0.0,1.0,unclassified,1.0,3.0,3.0
experiment_2,46.0,1.0,1.0,service,2.0,3.0,3.0
experiment_2,21.0,1.0,1.0,transport,3.0,4.0,3.0
experiment_2,29.0,1.0,1.0,finance,2.0,3.0,2.0
experiment_2,32.0,1.0,1.0,unclassified,1.0,3.0,3.0
experiment_2,35.0,1.0,1.0,service,1.0,2.0,2.0
experiment_2,22.0,1.0,1.0,info,2.0,4.0,2.0
experiment_2,24.0,1.0,1.0,transport,0.0,0.0,0.0
experiment_2,25.0,0.0,1.0,service,2.0,4.0,4.0
experiment_2,22.0,1.0,1.0,service,2.0,3.0,3.0
experiment_2,19.0,0.0,1.0,accomodation,1.0,3.0,2.0
experiment_2,26.0,1.0,1.0,art,2.0,3.0,4.0
experiment_2,22.0,0.0,1.0,unclassified,1.0,3.0,3.0
experiment_2,24.0,0.0,1.0,retail,1.0,4.0,4.0
experiment_2,30.0,1.0,1.0,service,2.0,3.0,3.0
experiment_2,22.0,1.0,1.0,info,0.0,3.0,3.0
experiment_2,30.0,0.0,1.0,edu,1.0,3.0,3.0
experiment_2,25.0,1.0,1.0,service,1.0,2.0,3.0
experiment_2,31.0,1.0,1.0,utils,1.0,1.0,2.0
experiment_2,22.0,1.0,1.0,art,2.0,3.0,3.0
experiment_2,37.0,1.0,1.0,transport,2.0,1.0,3.0
experiment_2,27.0,1.0,1.0,management,2.0,2.0,2.0
experiment_2,18.0,0.0,1.0,service,2.0,3.0,3.0
experiment_2,25.0,1.0,1.0,healthcare,3.0,3.0,3.0
experiment_2,21.0,1.0,1.0,build,2.0,3.0,3.0
experiment_2,22.0,1.0,1.0,healthcare,2.0,4.0,3.0
experiment_2,20.0,1.0,1.0,service,1.0,3.0,3.0
experiment_2,24.0,1.0,1.0,accomodation,1.0,3.0,3.0
experiment_2,27.0,0.0,1.0,art,1.0,2.0,1.0
experiment_2,19.0,1.0,1.0,unclassified,0.0,3.0,2.0
experiment_2,27.0,1.0,1.0,edu,3.0,4.0,3.0
experiment_2,25.0,1.0,1.0,healthcare,1.0,3.0,3.0
experiment_2,38.0,0.0,1.0,unclassified,1.0,2.0,2.0
experiment_2,29.0,1.0,1.0,info,2.0,4.0,3.0
experiment_2,36.0,0.0,1.0,unclassified,2.0,1.0,3.0
experiment_2,22.0,1.0,1.0,service,1.0,3.0,3.0
experiment_2,20.0,0.0,1.0,finance,3.0,3.0,3.0
experiment_2,20.0,1.0,1.0,service,3.0,4.0,4.0
experiment_2,20.0,0.0,1.0,unclassified,1.0,2.0,2.0
experiment_2,25.0,1.0,1.0,service,2.0,3.0,3.0
experiment_2,24.0,0.0,1.0,management,3.0,3.0,3.0
experiment_2,23.0,0.0,1.0,healthcare,0.0,4.0,2.0
experiment_2,20.0,1.0,1.0,retail,3.0,4.0,3.0
experiment_2,29.0,1.0,1.0,service,3.0,4.0,4.0
experiment_2,42.0,1.0,1.0,management,1.0,3.0,2.0
