experiment,pid,cond,pilot,absCorrect,gMean_acc,mean_acc,crime_acc,crime_priorPosterior,crime_priorTruth,crime_cond_label,crime_cond,crime_cond_order,estate_acc,estate_priorPosterior,estate_priorTruth,estate_cond_label,estate_cond,estate_cond_order,finance_acc,finance_priorPosterior,finance_priorTruth,finance_cond_label,finance_cond,finance_cond_order,chain_n,chain_sign,chain_acc,confound_n,confound_sign,confound_acc,dampened_n,dampened_sign,dampened_acc,ccause_n,ccause_acc,collider_n,collider_acc,crime_exp1_n,crime_exp1_acc,crime_Corr,estate_Corr,finance_Corr,chain_Corr,confound_Corr,dampened_Corr,ccause_Corr,collider_Corr,crime_exp1_Corr,genCorr,posCorr,negCorr,weakCorr,stgCorr,weakPosCorr,stgPosCorr,weakNegCorr,stgNegCorr,nullCorr,nonNullCorr,inters,inters_real,crime_sense,crime_expect,estate_sense,estate_expect,finance_sense,finance_expect,dataValid,int_avg_range,int_avg_length_sec,inter_time,time_taken,final,best_prior
experiment_1,56da8da8c5b248000ae2adaf,0,False,0.0,0.8067084967302656,0.8067084967302656,0.8604273684402294,,0.6220355269907727,,,,,,,,,,,,,,,,3.0,pos,0.8514778685534988,,,,,,,3.0,0.8787321874818335,2.0,0.6361965624455006,,,0.0,,,0.0,,,0.0,0.0,,0.5833333333333334,1.0,0.3333333333333333,0.5,0.125,,0.1666666666666666,0.5,0.0,0.875,0.9375,4.25,4.25,3.0,It makes sense that Some variables influenece some factors more than other factors.,,,,,1,105.58823529411764,8.31764705882353,0.5852649006622517,28.7516,CEA strength sensitive,0
experiment_1,57e91ff08dcd2c00014bea18,1,False,0.25,0.9281001496270104,0.9281001496270104,,,,,,,,,,,,,,,,,,,3.0,pos,0.9142507074287456,,,,,,,2.0,0.8787321874818335,2.0,1.0,3.0,0.919417703597462,,,,0.0,,,0.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.625,,0.3333333333333333,1.0,1.0,0.9375,1.0,7.75,7.5,,,,,,,1,133.4,4.0,0.5,18.5992,Adaptive LC,0
experiment_1,5999ad2a0ed7ae0001991b57,0,False,0.0,0.8830356127081606,0.8830356127081606,0.8604273684402294,,0.6307255270620018,,,,,,,,,,,,,,,,3.0,pos,0.8787321874818335,,,,,,,3.0,0.9142507074287456,3.0,0.8787321874818335,,,0.0,,,0.0,,,0.0,0.0,,0.6666666666666667,1.0,1.0,0.5,0.75,,0.75,0.5,1.0,0.5625,1.0,5.0,5.0,4.0,"The changes positive or negative made by the 3 variables made sense. Police action made people happier, crime rate made people unhappier and incresead police action, and police action made crime rate decresase.",,,,,1,92.65,3.92,0.3245033112582781,19.17955,LC basic,0
experiment_1,5aead02c78b0060001e6b394,1,False,0.0,0.8174482376289219,0.8174482376289219,,,,,,,,,,,,,,,,,,,3.0,pos,0.6791555260401261,,,,,,,3.0,0.8787321874818335,3.0,0.8514778685534988,1.0,0.8604273684402294,,,,0.0,,,0.0,0.0,0.0,0.4166666666666667,0.875,0.6666666666666666,0.5,0.0,,0.0,0.5,0.0,0.6875,0.9375,6.0,5.5,,,,,,,1,85.0,0.7272727272727273,0.0620860927152317,15.449383333333332,CEA strength sensitive,0
experiment_1,5b8bbd437073290001839123,0,False,0.0,0.8481209622659671,0.8481209622659671,0.919417703597462,,0.757464374963667,,,,,,,,,,,,,,,,2.0,neg,0.8787321874818335,,,,,,,2.0,0.8787321874818335,3.0,0.7156017705027395,,,0.0,,,0.0,,,0.0,0.0,,0.6666666666666667,0.8333333333333334,1.0,1.0,0.25,,0.0,1.0,0.75,0.875,1.0,7.25,6.5,3.0,"Population happiness had little impact on crime rate and police action, which somewhat made sense but you may expect a decrease in population happiness to result in more crime. Increasing police action decreased crime rate as expected.",,,,,1,83.96153846153847,6.392307692307693,0.6879139072847682,20.14135,CEA strength sensitive,0
experiment_1,5bcdd6be25295a0001a71beb,0,False,0.0,0.8672450764616849,0.8672450764616849,0.886039423540362,,0.591751709536137,,,,,,,,,,,,,,,,3.0,pos,0.7899579873957986,,,,,,,2.0,0.9142507074287456,3.0,0.8787321874818335,,,0.0,,,0.0,,,0.0,0.0,,0.6666666666666667,1.0,1.0,0.5,1.0,,1.0,0.5,1.0,0.5,1.0,7.75,7.75,4.0,I understood it as that when crime rate goes up then it makes sense that police action is also going up super high and then population happiness is super low.,,,,,1,67.2258064516129,4.354838709677419,0.5571192052980133,24.970166666666668,AS LC,0
experiment_1,5be87e33a14b540001aa2ea5,0,False,0.0,0.8605288232572652,0.8605288232572652,0.8604273684402294,,0.7072299781154401,,,,,,,,,,,,,,,,3.0,pos,0.8787321874818335,,,,,,,3.0,0.8514778685534988,3.0,0.8514778685534988,,,0.0,,,0.0,,,0.0,0.0,,0.5416666666666667,1.0,1.0,0.5,0.375,,0.375,0.5,1.0,0.5625,1.0,9.75,9.5,3.0,"I thought it was weird how when the population happiness went down, the crime rate and police action both went up. I thought population happiness would have no effect on the two.",,,,,1,74.05263157894737,3.331578947368421,0.5264900662251656,17.43068333333333,CEA strength sensitive,0
experiment_1,5bfd745a8acfed00011a6975,1,False,0.0,0.8256101523636037,0.8256101523636037,,,,,,,,,,,,,,,,,,,3.0,pos,0.9142507074287456,,,,,,,2.0,0.8787321874818335,3.0,0.8787321874818335,4.0,0.6307255270620018,,,,0.0,,,0.0,0.0,0.0,0.6666666666666667,1.0,0.3333333333333333,0.5,0.25,,0.25,0.5,0.0,0.9375,1.0,6.0,6.0,,,,,,,1,114.04166666666669,4.2250000000000005,0.4172185430463576,33.79005,CEA strength sensitive,0
experiment_1,5c3f62338cb6f5000180b697,0,False,0.5,0.958417102756552,0.958417102756552,0.919417703597462,,0.7620845242845568,,,,,,,,,,,,,,,,3.0,pos,0.9142507074287456,,,,,,,3.0,1.0,3.0,1.0,,,0.0,,,0.0,,,1.0,1.0,,0.9166666666666669,1.0,1.0,0.5,1.0,,1.0,0.5,1.0,0.9375,1.0,7.25,7.25,4.0,"Made sense, but overall population happiness should make crime rate decay.",,,,,1,117.34482758620688,3.724137931034482,0.4470198675496689,14.328583333333334,AS LC w. prior,1
experiment_1,5c405aee40de0b0001437db0,1,False,0.5,0.8941051333281111,0.8941051333281111,,,,,,,,,,,,,,,,,,,3.0,pos,0.6570028297149824,,,,,,,2.0,1.0,3.0,1.0,0.0,0.919417703597462,,,,0.0,,,1.0,1.0,0.0,0.9166666666666669,0.875,1.0,0.5,0.875,,0.875,0.5,1.0,1.0,1.0,4.75,4.5,,,,,,,1,108.83333333333331,6.733333333333334,0.5,44.992266666666666,normative,0
