experiment,pid,utid,trial_type,trial_name,trial_spec,accuracy,hamming,num_indirect_errors,num_indirect_links,priorTruth,priorISpost,cond_label,cond,cond_order,genCorr,posCorr,negCorr,weakCorr,stgCorr,weakPosCorr,stgPosCorr,weakNegCorr,stgNegCorr,nullCorr,nonNullCorr,inters,inters_real,sense,expect,variables,std_order,postOriginOrder,num_inter,intervened_time,lc_prior_bf,lc_prior_bf_aic
experiment_1,56da8da8c5b248000ae2adaf,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,generic_0,ccause,,0.8787321874818335,1.0,0,0,,,,0,,0.6666666666666667,1.0,,,0.0,,0.0,,,1.0,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,5.0,0.5231788079470199,0,
experiment_1,56da8da8c5b248000ae2adaf,1-56da8da8c5b248000ae2adaf-collider_2-generic_1,generic_1,collider,,0.6361965624455006,0.6666666666666667,0,0,,,,0,,0.6666666666666667,,0.0,,0.0,,,,0.0,1.0,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,4.0,0.6622516556291391,0,
experiment_1,56da8da8c5b248000ae2adaf,1-56da8da8c5b248000ae2adaf-crime_4-label,label,crime,,0.8604273684402294,0.8333333333333334,1,2,0.3779644730092272,False,,0,,0.5,1.0,0.6666666666666666,0.5,0.0,,0.0,0.5,0.0,1.0,0.75,,,3.0,It makes sense that Some variables influenece some factors more than other factors.,,Police action_Crime rate_Population happiness,Police action_Crime rate_Population happiness,4.0,0.466887417218543,0,
experiment_1,56da8da8c5b248000ae2adaf,1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,generic_2,chain,pos,0.8514778685534988,0.6666666666666667,1,1,,,,0,,0.5,1.0,,,0.5,,0.5,,,0.5,1.0,,,,,,one_two_three,Blue_Red_Green,4.0,0.6887417218543046,0,
experiment_1,57e91ff08dcd2c00014bea18,1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,generic_0,ccause,,0.8787321874818335,1.0,0,0,,,,1,,0.6666666666666667,1.0,,,0.0,,0.0,,,1.0,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,7.0,0.4006622516556291,0,
experiment_1,57e91ff08dcd2c00014bea18,1-57e91ff08dcd2c00014bea18-collider_2-generic_1,generic_1,collider,,1.0,1.0,0,0,,,,1,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,8.0,0.5132450331125827,0,
experiment_1,57e91ff08dcd2c00014bea18,1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,nolabel_control,crime_control,,0.919417703597462,1.0,0,2,,,,1,,0.8333333333333334,1.0,1.0,1.0,0.5,,0.0,1.0,1.0,1.0,1.0,,,,,,Police action_Crime rate_Population happiness,Police action_Crime rate_Population happiness,9.0,0.5662251655629139,0,
experiment_1,57e91ff08dcd2c00014bea18,1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,generic_3,chain,pos,0.9142507074287456,0.8333333333333334,1,1,,,,1,,0.8333333333333334,1.0,,,1.0,,1.0,,,0.75,1.0,,,,,,one_two_three,Blue_Red_Green,7.0,0.5198675496688742,0,
experiment_1,5999ad2a0ed7ae0001991b57,1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,generic_0,ccause,,0.9142507074287456,0.8333333333333334,0,0,,,,0,,0.8333333333333334,1.0,,,1.0,,1.0,,,0.75,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,3.0,0.1821192052980132,0,
experiment_1,5999ad2a0ed7ae0001991b57,1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,generic_1,collider,,0.8787321874818335,0.8333333333333334,0,0,,,,0,,0.6666666666666667,1.0,,,0.5,,0.5,,,0.75,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,8.0,0.4900662251655629,0,
experiment_1,5999ad2a0ed7ae0001991b57,1-5999ad2a0ed7ae0001991b57-crime_3-label,label,crime,,0.8604273684402294,0.6666666666666667,0,2,0.3692744729379981,False,,0,,0.5,1.0,1.0,0.5,1.0,,1.0,0.5,1.0,0.0,1.0,,,4.0,"The changes positive or negative made by the 3 variables made sense. Police action made people happier, crime rate made people unhappier and incresead police action, and police action made crime rate decresase.",,Police action_Crime rate_Population happiness,Police action_Crime rate_Population happiness,4.0,0.2880794701986754,0,
experiment_1,5999ad2a0ed7ae0001991b57,1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2,generic_2,chain,pos,0.8787321874818335,0.8333333333333334,1,1,,,,0,,0.6666666666666667,1.0,,,0.5,,0.5,,,0.75,1.0,,,,,,one_two_three,Blue_Red_Green,5.0,0.3377483443708609,0,
experiment_1,5aead02c78b0060001e6b394,1-5aead02c78b0060001e6b394-ccause_3-generic_0,generic_0,ccause,,0.8787321874818335,1.0,0,0,,,,1,,0.6666666666666667,1.0,,,0.0,,0.0,,,1.0,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,6.0,0.0629139072847682,0,
experiment_1,5aead02c78b0060001e6b394,1-5aead02c78b0060001e6b394-collider_3-generic_1,generic_1,collider,,0.8514778685534988,0.8333333333333334,0,0,,,,1,,0.5,1.0,,,0.0,,0.0,,,0.75,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,8.0,0.076158940397351,0,
experiment_1,5aead02c78b0060001e6b394,1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control,nolabel_control,crime_control,,0.8604273684402294,0.8333333333333334,1,2,,,,1,,0.5,1.0,0.6666666666666666,0.5,0.0,,0.0,0.5,0.0,1.0,0.75,,,,,,Police action_Crime rate_Population happiness,Police action_Crime rate_Population happiness,5.0,0.0364238410596026,0,
experiment_1,5aead02c78b0060001e6b394,1-5aead02c78b0060001e6b394-pos_chain_3-generic_3,generic_3,chain,pos,0.6791555260401261,0.1666666666666666,1,1,,,,1,,0.0,0.5,,,0.0,,0.0,,,0.0,1.0,,,,,,one_two_three,Blue_Red_Green,5.0,0.0728476821192053,0,
experiment_1,5b8bbd437073290001839123,1-5b8bbd437073290001839123-ccause_2-generic_0,generic_0,ccause,,0.8787321874818335,1.0,0,0,,,,0,,0.6666666666666667,1.0,,,0.0,,0.0,,,1.0,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,8.0,0.7218543046357616,0,
experiment_1,5b8bbd437073290001839123,1-5b8bbd437073290001839123-collider_3-generic_1,generic_1,collider,,0.7156017705027395,0.6666666666666667,0,0,,,,0,,0.5,0.5,,,0.0,,0.0,,,0.75,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,8.0,0.7350993377483444,0,
experiment_1,5b8bbd437073290001839123,1-5b8bbd437073290001839123-crime_2-label,label,crime,,0.919417703597462,1.0,0,2,0.2425356250363329,False,,0,,0.8333333333333334,1.0,1.0,1.0,0.5,,0.0,1.0,1.0,1.0,1.0,,,3.0,"Population happiness had little impact on crime rate and police action, which somewhat made sense but you may expect a decrease in population happiness to result in more crime. Increasing police action decreased crime rate as expected.",,Police action_Crime rate_Population happiness,Police action_Crime rate_Population happiness,6.0,0.6854304635761589,0,
experiment_1,5b8bbd437073290001839123,1-5b8bbd437073290001839123-pos_chain_2-generic_2,generic_2,chain,neg,0.8787321874818335,0.8333333333333334,1,1,,,,0,,0.6666666666666667,,1.0,,0.5,,,,0.5,0.75,1.0,,,,,,one_two_three,Blue_Red_Green,7.0,0.609271523178808,0,
experiment_1,5bcdd6be25295a0001a71beb,1-5bcdd6be25295a0001a71beb-ccause_2-generic_0,generic_0,ccause,,0.9142507074287456,0.8333333333333334,0,0,,,,0,,0.8333333333333334,1.0,,,1.0,,1.0,,,0.75,1.0,,,,,,cause_effect1_effect2,Blue_Red_Green,8.0,0.5496688741721855,0,
experiment_1,5bcdd6be25295a0001a71beb,1-5bcdd6be25295a0001a71beb-collider_3-generic_1,generic_1,collider,,0.8787321874818335,0.6666666666666667,0,0,,,,0,,0.6666666666666667,1.0,,,1.0,,1.0,,,0.5,1.0,,,,,,cause1_cause2_effect,Blue_Red_Green,7.0,0.4834437086092715,0,
