participant,scenario,difficulty,accuracy,normative_error,normative_score,normative_entropy,lc_error,lc_score,lc_entropy,lc_prior_bf,lc_prior_bf_aic
59402f40e9b44100013b1789,crime,1,1.0,,,,,,,1,1
59de425bbe399f0001e4975e,crime,2,0.3333333333333333,,,,,,,0,0
5b6baad47e435d0001c1c88f,crime,2,0.8333333333333334,,,,,,,0,1
5b74413e722bd2000195c067,crime,3,0.6666666666666667,,,,,,,1,1
5ba4d6c929629d00014e6c28,crime,3,0.6666666666666667,,,,,,,0,1
5badf0aeae1d020001df2cc7,crime,2,0.5,,,,,,,0,0
5c6d938c79151c00017c7560,crime,1,1.0,,,,,,,0,0
5c74f0d525c76b0010706736,crime,2,0.3333333333333333,,,,,,,1,1
5c9124ef3b7f9e0013728485,crime,1,0.6666666666666667,,,,,,,1,1
5cae09506d573900175d4727,crime,2,0.6666666666666667,,,,,,,0,0
5cb304b63742a400153b756d,crime,3,1.0,,,,,,,1,1
5ccc758ab11510001584a1af,crime,3,1.0,,,,,,,1,1
5cd98287b0c5ec0001e0965a,crime,2,0.5,,,,,,,1,1
5cdeaeb3557fbd00018a2c59,crime,2,1.0,,,,,,,0,1
5cf92c7255e1370001e54adb,crime,3,1.0,,,,,,,1,1
5d29fbc8f91bdd0016e98503,crime,3,0.3333333333333333,,,,,,,0,0
5d36ff998129260015c6de19,crime,1,0.8333333333333334,,,,,,,0,1
5d6e3252dfe6d10001dbe508,crime,1,0.8333333333333334,,,,,,,0,0
5d94c6f5dc0b0e001465072e,crime,1,1.0,,,,,,,0,1
5da60411423c170017b7dc0f,crime,1,1.0,,,,,,,1,1
5dc56fbac34fc53e4e78b820,crime,3,0.6666666666666667,,,,,,,1,1
5e29e902c2253a0587298e26,crime,2,0.6666666666666667,,,,,,,0,0
5e5eb4843accc91e2443212f,crime,1,0.6666666666666667,,,,,,,0,0
5e87a0b5fc57a7415442f97e,crime,2,0.6666666666666667,,,,,,,1,1
5e9948b69223aa17c21564f4,crime,2,0.5,,,,,,,0,1
5e99e838545b26058749d068,crime,1,1.0,,,,,,,0,1
5ecba4b6ef75d53505406d57,crime,1,0.6666666666666667,,,,,,,0,0
5ecd7b06a1a9170e7806f51e,crime,3,0.5,,,,,,,0,0
5ed8be74a4175a01156004b0,crime,3,0.8333333333333334,,,,,,,0,0
5edaa4924ea9bd6f14f3d618,crime,3,1.0,,,,,,,0,0
5edbaae1b9f9f68349ce80f3,crime,3,0.8333333333333334,,,,,,,0,0
5ef109c89196fa6d5cf6c005,crime,2,0.6666666666666667,,,,,,,0,0
5ef8a0b375e30603ebc12510,crime,3,0.6666666666666667,,,,,,,0,0
