,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
0,0,56cb8858edf8da000b6df354,0.8750000000000001,25.500216666666667,8.5,54.44117647058823,4.7823529411764705,crime,0.8333333333333334,congruent
1,1,571de12713b1b70012be47f6,0.9166666666666667,33.74508333333333,10.25,77.26829268292683,1.9414634146341463,crime,0.8333333333333334,incongruent
2,2,572f526c3c27e7000e0b8aaa,0.5833333333333334,29.35826666666667,6.0,101.25,4.141666666666667,crime,1.0,congruent
3,3,5831960ab232860001b110dc,0.5416666666666667,24.723216666666666,1.0,46.75,2.1,crime,0.33333333333333337,incongruent
4,4,594abd98215cbd000146debc,0.25,33.45865,0.0,0.0,0.0,crime,0.16666666666666663,incongruent
5,5,5acc65f668b65b00018db322,0.8750000000000001,27.90805,6.75,91.88888888888889,1.0296296296296297,crime,0.8333333333333334,incongruent
6,6,5b339152afe1d00001c6c509,0.9166666666666667,20.703483333333335,6.5,112.26923076923077,3.9230769230769225,crime,0.8333333333333334,incongruent
7,7,5b84a7ea4f38790001778d53,0.8333333333333334,15.843033333333333,10.5,89.52380952380952,2.6619047619047613,crime,0.8333333333333334,incongruent
8,8,5c018eb6067bbf00019ba43d,0.7500000000000001,21.198883333333335,5.5,159.04545454545453,6.999999999999999,crime,0.6666666666666667,congruent
9,9,5c06fc4918ac7e00016bf76d,0.9166666666666667,26.42275,9.0,122.69444444444444,4.9222222222222225,crime,0.8333333333333334,incongruent
10,10,5c17c149f596b100011ca8b8,0.7500000000000001,50.57736666666666,5.75,112.1304347826087,6.895652173913042,crime,0.8333333333333334,congruent
11,11,5c6400cbcb937d00012d8866,0.5,54.018249999999995,9.5,87.89473684210526,0.6421052631578948,crime,0.33333333333333337,congruent
12,12,5c7dd22debc24800018e7ca0,0.625,33.86761666666667,9.25,107.67567567567568,2.978378378378379,crime,0.8333333333333334,congruent
13,13,5c8bafb53b6f3d00013d7c30,0.45833333333333337,48.19173333333333,4.0,56.0625,3.0375,crime,0.33333333333333337,congruent
14,14,5cf9179b8c98dc0001d5a431,0.7500000000000001,29.897516666666668,5.5,92.77272727272727,5.372727272727272,crime,0.6666666666666667,incongruent
15,15,5cfddbd3ee0b1500019fa84c,0.9166666666666667,22.567233333333334,7.0,146.67857142857142,3.092857142857143,crime,1.0,congruent
16,16,5d1a69d8f97a18001977e0d7,0.7916666666666667,28.241366666666668,15.75,50.84126984126984,0.8412698412698414,crime,1.0,incongruent
17,17,5d1c9f75328d1c001af3af0f,0.8333333333333334,51.68435,7.75,88.7741935483871,4.64516129032258,crime,0.8333333333333334,congruent
18,18,5d470786da637a00014ba26f,0.5416666666666667,31.720066666666664,7.75,94.29032258064517,4.129032258064516,crime,0.6666666666666667,congruent
19,19,5d67b6d92b7448000173d95a,0.6666666666666667,16.82463333333333,8.25,88.72727272727273,2.3212121212121213,crime,1.0,congruent
20,20,5d70ec2138ac7e00012f817b,0.7500000000000001,16.294933333333333,8.75,75.62857142857143,3.005714285714286,crime,0.6666666666666667,incongruent
21,21,5dafea4de40355001651fa2f,0.41666666666666674,39.68703333333334,25.75,16.679611650485437,0.8932038834951453,crime,0.33333333333333337,incongruent
22,22,5dde680c40460edc4a5dc1a2,0.8333333333333334,14.936166666666667,8.5,68.79411764705883,3.0705882352941174,crime,0.8333333333333334,congruent
23,23,5de2b59d8fde1c2eb47f92d8,0.9583333333333334,19.434833333333334,14.0,62.607142857142854,2.7285714285714286,crime,1.0,congruent
24,24,5e1b65eeb287dc38d94b694e,0.7916666666666667,15.9032,6.25,107.24,5.72,crime,1.0,incongruent
25,25,5e31e6491faa251bf58151ce,0.7916666666666667,52.331783333333334,4.75,180.10526315789474,8.073684210526318,crime,0.8333333333333334,congruent
26,26,5e3b5fa9255e7a37bc841135,0.75,28.826999999999998,5.75,114.1304347826087,5.565217391304348,crime,1.0,congruent
27,27,5e7d3b58d638273c7f823c7b,0.8750000000000001,14.586266666666667,7.25,86.48275862068965,3.855172413793103,crime,0.8333333333333334,incongruent
28,28,5e822d17f956a29530ccc2f8,0.8750000000000001,39.4998,6.75,102.74074074074075,4.34074074074074,crime,0.8333333333333334,incongruent
29,29,5e9fdd5effe6a51855448d1b,0.625,41.22561666666666,9.75,94.84615384615384,3.41025641025641,crime,1.0,congruent
30,30,5ec3b9e83f187802a6aa041e,0.8333333333333334,18.217100000000002,7.0,151.21428571428572,4.378571428571429,crime,1.0,congruent
31,31,5eea0a01da0cfc0a744df4d9,0.7083333333333334,30.40095,8.5,88.88235294117646,2.5470588235294116,crime,1.0,congruent
32,32,5ef601b056fe3607b3410b33,0.8750000000000001,26.20695,8.25,146.72727272727272,4.406060606060606,crime,0.6666666666666667,congruent
33,33,5eff4206a352be49f1aef4cc,0.9166666666666667,27.437683333333332,8.0,151.5625,4.56875,crime,0.8333333333333334,congruent
34,34,5f0559d1bc410b85707c58a3,0.9166666666666667,19.67735,10.0,99.575,3.6199999999999997,crime,1.0,congruent
35,35,5f120176fbc66510873bcbf8,0.75,20.531683333333334,9.0,132.08333333333334,3.3,crime,0.6666666666666667,congruent
36,36,5f1b2fe23bcef80c38d2a362,0.5833333333333334,39.36945,7.5,111.9,3.4199999999999995,crime,0.6666666666666667,incongruent
37,37,5f2448855226b0000a8129e1,0.75,19.037266666666667,4.75,33.526315789473685,5.126315789473684,crime,0.8333333333333334,congruent
38,38,5f2c226f8cea75078acb6377,0.8333333333333335,36.837133333333334,20.5,69.3170731707317,0.6902439024390243,crime,0.8333333333333334,incongruent
39,39,5f343de4d0c07630b7f90b92,0.7916666666666667,24.431516666666667,8.0,89.46875,4.112500000000001,crime,1.0,congruent
40,40,5f3aee04e30eac7cb73b416e,0.6250000000000001,,7.5,42.1,0.7733333333333333,crime,0.6666666666666667,incongruent
41,41,5f3e8506cb479c0a96cf4aac,0.7500000000000001,19.266183333333334,6.0,82.375,3.5749999999999997,crime,0.5,incongruent
42,42,5f466020c3a053038da47399,0.8333333333333334,17.278916666666664,9.75,103.58974358974359,3.1128205128205133,crime,0.8333333333333334,incongruent
43,43,5f4e97aae4fe380a7bad99c7,0.8750000000000001,17.230216666666667,10.5,85.45238095238095,3.1380952380952376,crime,0.8333333333333334,incongruent
44,44,5f600669b846780f0fe45709,0.7916666666666667,43.91523333333334,10.0,78.5,3.66,crime,1.0,incongruent
45,45,5f6b8c1f5622370b0c94d597,0.625,24.248949999999997,6.25,115.8,6.367999999999999,crime,0.16666666666666663,congruent
46,46,5f75ce20817166287293b825,0.8750000000000001,21.001216666666668,9.0,93.41666666666667,0.6500000000000001,crime,0.8333333333333334,incongruent
47,47,5f761e5106b786071f45b4aa,0.41666666666666663,50.63503333333333,2.5,34.6,0.42000000000000004,crime,0.6666666666666667,congruent
48,48,5f8836a5fb70462a169fc0ac,0.8333333333333334,24.945133333333334,13.0,66.6923076923077,1.3730769230769229,crime,0.6666666666666667,incongruent
49,49,5f97e6601f6d0e016087fc91,0.5833333333333334,16.778566666666666,12.25,84.75510204081633,2.979591836734694,crime,1.0,congruent
50,50,5f9aba6600cdf11f1c9b915c,0.6666666666666667,51.048750000000005,1.75,81.28571428571429,3.1714285714285713,crime,0.33333333333333337,incongruent
51,51,5fa107215a15fe19519b484d,0.7500000000000001,16.268116666666668,9.25,67.05405405405405,2.816216216216216,crime,0.5,congruent
52,52,5fad2378719b9d3a961834c9,0.8333333333333335,21.339083333333335,6.75,71.18518518518519,5.303703703703706,crime,0.8333333333333334,congruent
53,53,5fb26f723d8b23832ff835c6,0.6666666666666667,24.400399999999998,9.0,109.30555555555556,1.8499999999999999,crime,0.6666666666666667,incongruent
54,54,5fbbf3f438be4c025df6cdd4,0.8333333333333334,27.5656,5.25,124.42857142857143,6.4190476190476184,crime,0.8333333333333334,incongruent
55,55,5fbd9bcc54453f1b0b28d89a,0.625,29.536233333333332,3.0,61.333333333333336,0.6000000000000001,crime,1.0,congruent
56,56,5fbfa7490dcefd0251d79dff,0.7916666666666667,20.508666666666667,6.5,80.84615384615384,3.876923076923077,crime,0.6666666666666667,congruent
57,57,5fbfe145e52a44000a9c2966,0.33333333333333337,55.109516666666664,10.5,43.38095238095238,0.9523809523809523,crime,1.0,congruent
