,BIC group,Tau,Attention,Change memory,Tau Prior,CE threshold,Strength threshold,Guess,BIC ind.,Part best fit prev,Part best fit new
Baseline,,,,,,,,,77.25,5,4
normative,,1.357,,,,,,,66.55,21,19
normative w. prior,,1.368,,,5.175,,,,67.74,1,1
LC basic,,1.21,,,,,,,69.4,2,1
LC basic w. prior,,1.266,,,353.101,,,,70.03,1,
CEA basic,,,,,,0.579,,0.535,70.7,10,
CEA strength sensitive,,,,,,0.495,25.838,0.515,70.46,17,20
Temporal LC,,2.007,,,,,,,70.55,,1
Temporal LC w. prior,,2.076,,,298.258,,,,69.87,,2
TF LC att.,,2.665,0.499,,,,,,61.89,45,
TF LC att. w. prior,,2.69,0.456,,215.306,,,,60.79,19,
TF LC,,2.583,,,,,,,61.77,,38
TF LC w. prior,,2.628,,,258.546,,,,59.56,,35
