pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,Adaptive_LC,34.72799248,72.22857368,[ 1.44825671 67.56969524],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.645719712
57e91ff08dcd2c00014bea18,experiment_1,4,Adaptive_LC,16.35864854,35.48988581,[  2.99461351 549.99988113],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.036337198
5999ad2a0ed7ae0001991b57,experiment_1,4,Adaptive_LC,31.40004204,65.5726728,[ 1.61002591 78.16854547],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.90474924
5aead02c78b0060001e6b394,experiment_1,4,Adaptive_LC,38.62795352,80.02849576,[9.95728384e-04 5.49999891e+02],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.060547392
5b8bbd437073290001839123,experiment_1,4,Adaptive_LC,26.36669493,55.50597858,[  2.07944154 129.82194991],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.50989589
5bcdd6be25295a0001a71beb,experiment_1,4,Adaptive_LC,26.36669516,55.50597904,[  2.07914664 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.169971898
5be87e33a14b540001aa2ea5,experiment_1,4,Adaptive_LC,30.16358192,63.09975257,[  1.72276663 365.07266414],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.411826663
5bfd745a8acfed00011a6975,experiment_1,4,Adaptive_LC,24.19135519,51.15529911,[  2.27309391 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.133494645
5c3f62338cb6f5000180b697,experiment_1,4,Adaptive_LC,30.65556974,64.08372819,[  1.71143983 549.7920076 ],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.886458993
5c405aee40de0b0001437db0,experiment_1,4,Adaptive_LC,24.13133236,51.03525344,[  2.28039022 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.117587032
5c48734767be2c0001074eb6,experiment_1,4,Adaptive_LC,21.8138104,46.40020953,[  2.48432331 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.136475527
5c5af8dfe7f42600017cde68,experiment_1,4,Adaptive_LC,33.58782866,69.94824604,[  1.40148077 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.153475007
5c665e1948985d0001f09675,experiment_1,4,Adaptive_LC,26.36669516,55.50597904,[  2.07914664 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.11023263
5c6aeae949b7f0000120b170,experiment_1,4,Adaptive_LC,21.8138104,46.40020953,[  2.48432331 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.138967697
5c86addf4b443c000103ad14,experiment_1,4,Adaptive_LC,30.24426224,63.26111319,[  1.72207086 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.16812638
5c8a4f339917780016a4ee43,experiment_1,4,Adaptive_LC,24.18876737,51.15012347,[  2.27353839 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.098270058
5ca4ed188ef8c300164ed71f,experiment_1,4,Adaptive_LC,38.62727247,80.02713366,[9.95728384e-04 5.49999891e+02],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.115350245
5d2a4351379e510001491ee4,experiment_1,4,Adaptive_LC,33.77808918,70.32876708,[  1.36042816 549.73150013],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.41779039
5d6a79f5d10473001a62fa47,experiment_1,4,Adaptive_LC,37.1818124,77.13621352,[  0.7792342  360.74979453],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.93990929
5d7955d03ff9070001280c8c,experiment_1,4,Adaptive_LC,35.70875944,74.1901076,[  1.04982999 549.99956753],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,0.77251687
5d7d28b697f15700196423df,experiment_1,4,Adaptive_LC,33.22913056,69.23084984,[  1.4185337  549.99994111],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,1.994286455
5d826a4c25310e001911a87d,experiment_1,4,Adaptive_LC,37.9982587,78.76910612,[47.49645932  0.96742784],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,0.321067872
5d970d28fa86b600170d9a26,experiment_1,4,Adaptive_LC,35.88871903,74.55002679,[99.99997637  1.49449358],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,0.127765428
5db6fbd992a62e000c1d47d5,experiment_1,4,Adaptive_LC,31.80133374,66.3752562,[  1.55307054 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.126830918
5dcb33ab0550ef819f508abf,experiment_1,4,Adaptive_LC,31.80134022,66.37526916,[  1.55306963 549.99989057],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,2.084101252
5dcbc939f28035000c6a572e,experiment_1,4,Adaptive_LC,35.88263728,74.53786327,[  1.03051661 549.99956753],"[['smoothing', 0], ['prior_param', 1]]",TRUE,Optimization terminated successfully.,0.755774903
