pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,Adaptive_Selective_LC,30.15775419,61.70180274,[1.72398166],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.55226898
57e91ff08dcd2c00014bea18,experiment_1,4,Adaptive_Selective_LC,16.35864646,34.10358728,[2.99573227],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.611870125
5999ad2a0ed7ae0001991b57,experiment_1,4,Adaptive_Selective_LC,26.36666633,54.11962702,[2.07944507],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.373967717
5aead02c78b0060001e6b394,experiment_1,4,Adaptive_Selective_LC,33.93420038,69.25469513,[1.3426007],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.229500802
5b8bbd437073290001839123,experiment_1,4,Adaptive_Selective_LC,30.57909608,62.54448653,[1.75401916],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.562998317
5bcdd6be25295a0001a71beb,experiment_1,4,Adaptive_Selective_LC,24.19135456,49.76900349,[2.27359755],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.671324675
5be87e33a14b540001aa2ea5,experiment_1,4,Adaptive_Selective_LC,28.35579262,58.0978796,[1.89714789],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.552836558
5bfd745a8acfed00011a6975,experiment_1,4,Adaptive_Selective_LC,25.99289245,53.37207927,[2.12562067],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.505973313
5c3f62338cb6f5000180b697,experiment_1,4,Adaptive_Selective_LC,13.20136696,27.78902827,[3.33220448],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.393616775
5c405aee40de0b0001437db0,experiment_1,4,Adaptive_Selective_LC,8.673132968,18.7325603,[4.43081676],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.561423237
5c48734767be2c0001074eb6,experiment_1,4,Adaptive_Selective_LC,9.656652316,20.69959899,[3.78418963],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.532696188
5c5af8dfe7f42600017cde68,experiment_1,4,Adaptive_Selective_LC,32.67717717,66.74064871,[1.58696506],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.554024195
5c665e1948985d0001f09675,experiment_1,4,Adaptive_Selective_LC,21.81380872,45.0139118,[2.48490676],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.485746727
5c6aeae949b7f0000120b170,experiment_1,4,Adaptive_Selective_LC,21.81380948,45.01391332,[2.48490667],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.574238235
5c86addf4b443c000103ad14,experiment_1,4,Adaptive_Selective_LC,26.40436913,54.19503262,[2.11108387],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.56535317
5c8a4f339917780016a4ee43,experiment_1,4,Adaptive_Selective_LC,13.17311121,27.73251679,[3.33720777],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.373336865
5ca4ed188ef8c300164ed71f,experiment_1,4,Adaptive_Selective_LC,38.33478657,78.05586749,[0.47800021],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.354758305
5d2a4351379e510001491ee4,experiment_1,4,Adaptive_Selective_LC,22.12698488,45.64026413,[2.49120541],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.570681848
5d6a79f5d10473001a62fa47,experiment_1,4,Adaptive_Selective_LC,34.91892094,71.22413624,[1.23554467],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.219379
5d7955d03ff9070001280c8c,experiment_1,4,Adaptive_Selective_LC,30.57909709,62.54448854,[1.75401916],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.5688713
5d7d28b697f15700196423df,experiment_1,4,Adaptive_Selective_LC,27.07332585,55.53294605,[2.08075909],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.468552615
5d826a4c25310e001911a87d,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.071752798
5d970d28fa86b600170d9a26,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.032072845
5db6fbd992a62e000c1d47d5,experiment_1,4,Adaptive_Selective_LC,26.36669493,54.11968422,[2.07944156],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.387336288
5dcb33ab0550ef819f508abf,experiment_1,4,Adaptive_Selective_LC,28.34912749,58.08454935,[1.89808747],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.520087483
5dcbc939f28035000c6a572e,experiment_1,4,Adaptive_Selective_LC,21.81443757,45.01516949,[2.4849551],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.590946538
5de78fbbd7b2a0000bc2df59,experiment_1,4,Adaptive_Selective_LC,21.88986473,45.16602382,[2.60815195],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.362791008
5df3a70877f865293e86c0a0,experiment_1,4,Adaptive_Selective_LC,38.43380301,78.25390039,[0.33080161],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.42353541
5e32ef0a66f7ac2bc3bbc675,experiment_1,4,Adaptive_Selective_LC,21.81380964,45.01391364,[2.48490665],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.553452522
5e370958fbc3bf68f59c8998,experiment_1,4,Adaptive_Selective_LC,21.81338256,45.01305949,[2.48495804],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.572908007
5e3af1046218720332ff9cea,experiment_1,4,Adaptive_Selective_LC,21.91425578,45.21480593,[2.61367322],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.390793025
5e5d61de94ec4d03111eefe3,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[9.01337165e-12],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.942513553
5e66df8c7f7cf84730f4eb1a,experiment_1,4,Adaptive_Selective_LC,26.15495536,53.69620509,[2.12068912],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.601994405
5e7607c3dec4561735fbc3f2,experiment_1,4,Adaptive_Selective_LC,16.35864646,34.10358728,[2.99573228],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.469505553
5e7a2605c7d80c064795b86a,experiment_1,4,Adaptive_Selective_LC,24.19135454,49.76900344,[2.27359757],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.60362981
5e8e11676c1dea0be7a64cb3,experiment_1,4,Adaptive_Selective_LC,28.40874998,58.20379432,[1.89764685],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.596599833
5e9890e8cc36260b3fb2255c,experiment_1,3,Adaptive_Selective_LC,28.96988242,59.03837714,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.022366642
5ea9aec867ff380f1a507873,experiment_1,4,Adaptive_Selective_LC,21.81380964,45.01391364,[2.48490667],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.584206113
5eaab75ff9860902c68c9502,experiment_1,4,Adaptive_Selective_LC,30.33879406,62.06388248,[1.71911948],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.591534072
5eac1bb54efbe803cc61af29,experiment_1,4,Adaptive_Selective_LC,9.656652316,20.69959899,[3.78418963],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.529931377
5eb53f0da7325c023549eff9,experiment_1,4,Adaptive_Selective_LC,21.81382711,45.01394859,[2.484908],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.49971265
5eb7dec5245b8670ff3536f2,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.032121905
5ebc789c4495870c5b3b3911,experiment_1,4,Adaptive_Selective_LC,24.19135504,49.76900444,[2.27359758],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.55696987
5eccfbee54762d00083aea9b,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.036153572
5ecd84fc5216e60fe17dd26a,experiment_1,4,Adaptive_Selective_LC,21.81380844,45.01391124,[2.48490679],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.582593838
5ed2a11ff7ce322295acbf2e,experiment_1,4,Adaptive_Selective_LC,36.37382971,74.13395379,[1.08909191],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.112128202
5ed63746e2b0e6032859b81b,experiment_1,4,Adaptive_Selective_LC,38.6265099,78.63931416,[9.01337165e-12],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.91413349
5ed8fd2c7adfab08ea2918c4,experiment_1,4,Adaptive_Selective_LC,20.03007585,41.44644605,[2.84782829],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.394633157
5ede000fb1248f0009695ab4,experiment_1,4,Adaptive_Selective_LC,26.36669493,54.11968422,[2.07944152],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.48816347
5ee06cbc6b82193bc8da5524,experiment_1,4,Adaptive_Selective_LC,33.61111785,68.60853006,[1.50401057],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.472101135
5eecfb83a383180f01066a86,experiment_1,4,Adaptive_Selective_LC,38.60076211,78.58781858,[0.13057867],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.341083532
5f15d1e7f7fa5e0bef2dfb2a,experiment_1,4,Adaptive_Selective_LC,37.42625873,76.23881182,[0.73006209],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.530855413
5f17496ef96a7d086a4606ee,experiment_1,4,Adaptive_Selective_LC,26.50029896,54.38689228,[2.08222236],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.385503352
5f228a74c16ecb762a93f0ba,experiment_1,4,Adaptive_Selective_LC,9.656652316,20.69959899,[3.78418963],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.52303394
5f24954e84188309995be987,experiment_1,4,Adaptive_Selective_LC,5.543219323,12.47273301,[4.52178857],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.499982317
5f2f6229b83f0935eb8248c2,experiment_1,4,Adaptive_Selective_LC,13.20136695,27.78902827,[3.33220451],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.458449917
5f326ff87342ad019f9f3c1d,experiment_1,4,Adaptive_Selective_LC,9.658621439,20.70353724,[3.78488611],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.581453863
5f3389a931b4ce1ad61630b0,experiment_1,4,Adaptive_Selective_LC,5.543222785,12.47273993,[4.52179124],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.464978287
5f343c0102886030ce1fa987,experiment_1,4,Adaptive_Selective_LC,21.81380964,45.01391363,[2.48490665],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.64989432
test_625034503,experiment_1,4,Adaptive_Selective_LC,24.42582699,50.23794833,[2.36735598],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.653156772
59402f40e9b44100013b1789,experiment_2,4,Adaptive_Selective_LC,38.4788618,78.34401796,[0.41709259],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.294067798
59de425bbe399f0001e4975e,experiment_2,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.033471517
5b6baad47e435d0001c1c88f,experiment_2,4,Adaptive_Selective_LC,31.79125245,64.96879926,[1.55480585],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.738179767
5b74413e722bd2000195c067,experiment_2,4,Adaptive_Selective_LC,32.52354325,66.43338086,[1.50255859],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.658408147
5ba4d6c929629d00014e6c28,experiment_2,4,Adaptive_Selective_LC,28.54360633,58.47350702,[1.89661809],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.586128068
5badf0aeae1d020001df2cc7,experiment_2,4,Adaptive_Selective_LC,38.6265099,78.63931416,[9.01337165e-12],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.649717245
5c6d938c79151c00017c7560,experiment_2,4,Adaptive_Selective_LC,28.35416702,58.0946284,[1.89711998],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.700447813
5c74f0d525c76b0010706736,experiment_2,4,Adaptive_Selective_LC,36.67193313,74.73016063,[0.87546873],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.613468475
5c9124ef3b7f9e0013728485,experiment_2,4,Adaptive_Selective_LC,24.19106938,49.76843311,[2.27363351],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.595021792
5cae09506d573900175d4727,experiment_2,4,Adaptive_Selective_LC,35.70875944,72.80381324,[1.04982999],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.145202533
5cb304b63742a400153b756d,experiment_2,4,Adaptive_Selective_LC,24.19310587,49.77250609,[2.2736926],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.697861913
5ccc758ab11510001584a1af,experiment_2,4,Adaptive_Selective_LC,30.16358195,61.71345825,[1.7227666],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.72429168
5cd98287b0c5ec0001e0965a,experiment_2,4,Adaptive_Selective_LC,28.72982681,58.84594799,[1.94591055],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.555053645
5cdeaeb3557fbd00018a2c59,experiment_2,4,Adaptive_Selective_LC,13.20137111,27.78903658,[3.33220536],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.445133218
5cf92c7255e1370001e54adb,experiment_2,4,Adaptive_Selective_LC,28.35416567,58.09462569,[1.89712015],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.545586185
5d29fbc8f91bdd0016e98503,experiment_2,4,Adaptive_Selective_LC,38.6265099,78.63931416,[38.8989121],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.033584503
5d36ff998129260015c6de19,experiment_2,4,Adaptive_Selective_LC,31.81238491,65.01106419,[1.55413473],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.543421662
5d6e3252dfe6d10001dbe508,experiment_2,4,Adaptive_Selective_LC,33.15704614,67.70038665,[1.6084424],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.383988062
5d94c6f5dc0b0e001465072e,experiment_2,4,Adaptive_Selective_LC,26.40110865,54.18851166,[2.08050614],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.514173588
5da60411423c170017b7dc0f,experiment_2,4,Adaptive_Selective_LC,31.8315581,65.04941056,[1.55271799],"[['smoothing', 0]]",TRUE,Optimization terminated successfully.,0.64259559
