pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,LC_discrete_att,27.99778112,60.15444533,[  1.94148647   0.74635879 499.99981882],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.523755763
57e91ff08dcd2c00014bea18,experiment_1,4,LC_discrete_att,16.35864855,36.87618018,[2.99461272e+00 8.30684466e-02 4.99999892e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.054616293
5999ad2a0ed7ae0001991b57,experiment_1,4,LC_discrete_att,24.19150882,52.54190072,[2.27648192 0.89299601 0.21436494],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.029211528
5aead02c78b0060001e6b394,experiment_1,4,LC_discrete_att,33.27470899,70.70830107,[1.38681246e+00 3.45191190e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,0.738183492
5b8bbd437073290001839123,experiment_1,4,LC_discrete_att,28.72982974,61.61854256,[  1.9459091    0.76453617 349.68656836],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.136794882
5bcdd6be25295a0001a71beb,experiment_1,4,LC_discrete_att,24.19135519,52.54159347,[  2.27309359   0.99960049 499.99990054],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.191835342
5be87e33a14b540001aa2ea5,experiment_1,4,LC_discrete_att,28.35416746,60.867218,[  1.89674184   0.97710235 499.99990054],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.11164591
5bfd745a8acfed00011a6975,experiment_1,4,LC_discrete_att,24.21734494,52.59357296,[  2.16753698   0.83746407 499.99990054],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.0284703
5c3f62338cb6f5000180b697,experiment_1,4,LC_discrete_att,9.869606085,23.89809525,[  3.33183571   0.51993667 499.9999098 ],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.770840118
5c405aee40de0b0001437db0,experiment_1,4,LC_discrete_att,8.673134901,21.50515289,[  4.4288047    0.99960039 499.99980726],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 2]]",True,Optimization terminated successfully.,1.113986063
