pid,experiment,ce_threshold,time_threshold,guess
56da8da8c5b248000ae2adaf,experiment_1,0.38818026,31.28360967,0.38462963
57e91ff08dcd2c00014bea18,experiment_1,0.45999973,18.54601866,0.29821336
5999ad2a0ed7ae0001991b57,experiment_1,0.85571038,12.56710963,0.4
5aead02c78b0060001e6b394,experiment_1,0.49,5.8123567,0.32630203
5b8bbd437073290001839123,experiment_1,0.33302811,31.28361213,0.30769231
5bcdd6be25295a0001a71beb,experiment_1,0.39685027,45.57802729,0.1875
5be87e33a14b540001aa2ea5,experiment_1,0.24376242,25.50012245,0.31250417
5bfd745a8acfed00011a6975,experiment_1,0.55786532,38.43319416,0.39999698
5c3f62338cb6f5000180b697,experiment_1,0.61999414,32.99973223,0.37987697
5c405aee40de0b0001437db0,experiment_1,0.62190599,47.26937937,0.39996584
5c48734767be2c0001074eb6,experiment_1,0.76559184,42.85105213,0.39996584
5c5af8dfe7f42600017cde68,experiment_1,0.38820807,42.00721062,0.35714055
5c665e1948985d0001f09675,experiment_1,0.49999782,38.43300775,0.39995524
5c6aeae949b7f0000120b170,experiment_1,0.31999428,19.71637901,0.30769217
5c86addf4b443c000103ad14,experiment_1,0.75844963,25.94251591,0.09091762
5c8a4f339917780016a4ee43,experiment_1,0.86999945,38.4327163,0.39996576
5ca4ed188ef8c300164ed71f,experiment_1,0.8319539,49.99926279,0.30051244
5d2a4351379e510001491ee4,experiment_1,0.76630213,19.71620924,0.33333334
5d6a79f5d10473001a62fa47,experiment_1,0.54000189,25.27020757,0.34569962
5d7955d03ff9070001280c8c,experiment_1,0.76649967,19.71699596,0.19999999
5d7d28b697f15700196423df,experiment_1,0.38819753,19.71627747,0.30769231
5d826a4c25310e001911a87d,experiment_1,0.76634561,49.99999994,0.39995504
5d970d28fa86b600170d9a26,experiment_1,0.99993537,49.99999991,0.33333142
5db6fbd992a62e000c1d47d5,experiment_1,0.76644423,31.28555561,0.4
5dcb33ab0550ef819f508abf,experiment_1,0.76645396,38.29738106,0.4
5dcbc939f28035000c6a572e,experiment_1,0.75415112,21.92946995,0.4
5de78fbbd7b2a0000bc2df59,experiment_1,0.47790857,41.21264543,0.1
5df3a70877f865293e86c0a0,experiment_1,0.62193789,35.92409333,0.375
5e32ef0a66f7ac2bc3bbc675,experiment_1,0.76644766,12.56710963,0.4
5e370958fbc3bf68f59c8998,experiment_1,0.76635796,42.85908719,0.4
5e3af1046218720332ff9cea,experiment_1,0.75999497,42.85106425,0.39996594
5e5d61de94ec4d03111eefe3,experiment_1,0.8499918,39.53204337,0.35436532
5e66df8c7f7cf84730f4eb1a,experiment_1,0.72999825,31.28398732,0.39996845
5e7607c3dec4561735fbc3f2,experiment_1,0.52999081,21.76985907,0.27478311
5e7a2605c7d80c064795b86a,experiment_1,0.85003033,42.85151801,0.25000001
5e8e11676c1dea0be7a64cb3,experiment_1,0.36995301,44.99952998,0.33593909
5e9890e8cc36260b3fb2255c,experiment_1,0.99993537,49.99999994,0.3999519
5ea9aec867ff380f1a507873,experiment_1,0.72767519,45.0000535,0.0100341641
5eaab75ff9860902c68c9502,experiment_1,0.74607244,12.56803656,0.125
