pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,change_d_obs_fk,33.133874255976615,70.4266315953129,[1.6469282  0.56679296 0.668892  ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,1.386371001667188
57e91ff08dcd2c00014bea18,experiment_1,4,change_d_obs_fk,19.246288771033505,42.65146062542668,[2.90086316 0.62471926 0.15098104],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.6830081200004012
5999ad2a0ed7ae0001991b57,experiment_1,4,change_d_obs_fk,28.54542156027414,61.24972620390795,[2.15428462 0.32532034 0.37744353],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.6575129199996202
5aead02c78b0060001e6b394,experiment_1,4,change_d_obs_fk,26.207342044638686,56.57356717263704,[5.40819346 0.51538445 0.10005621],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,1.7242475816669562
5b8bbd437073290001839123,experiment_1,4,change_d_obs_fk,32.31370757641764,68.78629823619495,[2.13387491 0.05578128 0.9999405 ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.6453279516659677
5bcdd6be25295a0001a71beb,experiment_1,4,change_d_obs_fk,24.246389745683157,52.65166257472598,[2.29986466 0.29959155 0.21312815],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.4407385616669975
5be87e33a14b540001aa2ea5,experiment_1,4,change_d_obs_fk,27.246784006590154,58.65245109653998,[2.07660424 0.05578129 0.9999405 ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.6569731950003188
5bfd745a8acfed00011a6975,experiment_1,4,change_d_obs_fk,28.418811696784083,60.996506476927834,[1.94683479 0.71743237 0.24937433],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.6118040833331179
5c3f62338cb6f5000180b697,experiment_1,4,change_d_obs_fk,18.97338005758794,42.105643198535546,[3.27024545 0.09012403 0.49533485],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,1.5355742566665866
5c405aee40de0b0001437db0,experiment_1,4,change_d_obs_fk,8.989213661676434,22.13731040671254,[4.62089464 0.76450156 0.1877738 ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.407845260000128
5c48734767be2c0001074eb6,experiment_1,4,change_d_obs_fk,12.589711479915476,29.338306043190624,[3.63459398 0.07494038 0.40255427],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,1.0175414816660728
5c5af8dfe7f42600017cde68,experiment_1,4,change_d_obs_fk,29.060805031015143,62.280493145389954,[2.01357189 0.082775   0.3908916 ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.9679938016663072
5c665e1948985d0001f09675,experiment_1,4,change_d_obs_fk,16.24386979923416,36.64662268182799,[3.31142926 0.82726299 0.9999405 ],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.9855745216666644
5c6aeae949b7f0000120b170,experiment_1,4,change_d_obs_fk,8.420740630238823,21.00036434383732,[4.68629716 0.75874941 0.12629247],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,1.2356276000005892
5c86addf4b443c000103ad14,experiment_1,4,change_d_obs_fk,25.555251149421398,55.269385382202465,[2.34890035 0.04539086 0.59952474],"[['smoothing', 0], ['decay_rate', 1], ['change_memory', 2]]",True,Optimization terminated successfully.,0.9615044233330992
