pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,change_obs_fk,31.91813805,69.38145355,[ 1.55431817  0.0563213   0.28841467 12.48966295],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.067288442
57e91ff08dcd2c00014bea18,experiment_1,4,change_obs_fk,22.60429071,50.75375887,[2.63269620e+00 1.66095099e-01 2.56997315e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.305619137
5999ad2a0ed7ae0001991b57,experiment_1,4,change_obs_fk,29.52413521,64.59344786,[2.00885452e+00 7.07007354e-01 9.99207025e-01 4.03745210e-04],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.266953417
5aead02c78b0060001e6b394,experiment_1,4,change_obs_fk,30.81276133,67.17070011,[  1.92734302   0.88921049   0.95891922 499.99962961],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.525236427
5b8bbd437073290001839123,experiment_1,4,change_obs_fk,30.46931007,66.48379759,[ 1.80972686  0.05909109  0.17939738 19.80764479],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.220687373
5bcdd6be25295a0001a71beb,experiment_1,4,change_obs_fk,24.7594661,55.06410964,[2.33994870e+00 6.53960339e-01 2.69592297e-01 3.09017564e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.310387323
5be87e33a14b540001aa2ea5,experiment_1,4,change_obs_fk,23.62642041,52.79801826,[2.48278123e+00 6.18877380e-01 1.49289239e-01 3.09017564e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.30062948
5bfd745a8acfed00011a6975,experiment_1,4,change_obs_fk,25.6609296,56.86703664,[2.28808178e+00 5.85662544e-01 3.91734067e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.219121147
5c3f62338cb6f5000180b697,experiment_1,4,change_obs_fk,23.75406217,53.05330179,[2.75916665e+00 3.45266911e-01 3.14093682e-01 5.65180737e-04],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.22860526
5c405aee40de0b0001437db0,experiment_1,4,change_obs_fk,8.769466422,23.08411029,[4.51137018e+00 9.58358929e-01 4.03454412e-01 4.97472139e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,0.943080303
5c48734767be2c0001074eb6,experiment_1,4,change_obs_fk,13.37368067,32.29253878,[3.34165908e+00 6.66013920e-01 3.29441883e-01 4.99994338e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.474714565
5c5af8dfe7f42600017cde68,experiment_1,4,change_obs_fk,26.97015796,59.48549336,[2.23528816e+00 4.15988466e-01 3.07015239e-01 3.09017564e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.349716192
5c665e1948985d0001f09675,experiment_1,4,change_obs_fk,20.08234849,45.70987442,[2.72814412e+00 8.33382110e-01 4.75436869e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,0.889608432
5c6aeae949b7f0000120b170,experiment_1,4,change_obs_fk,5.620906152,16.78698975,[4.57630838e+00 9.06791221e-02 2.53795023e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.57803401
5c86addf4b443c000103ad14,experiment_1,4,change_obs_fk,23.73052457,53.00622658,[2.61509032e+00 2.54403987e-01 4.89839041e-01 4.99999630e+02],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,1.724718255
5c8a4f339917780016a4ee43,experiment_1,4,change_obs_fk,13.30242621,32.15002987,[ 2.78836485  0.96465949  0.4833057  33.18831936],"[['smoothing', 0], ['decay_rate', 1], ['prior_param', 3], ['change_memory', 2]]",True,Optimization terminated successfully.,0.938964043
