pid,experiment,num_trials,model_name,nLL,bic,params,params_labels,success,message,time
56da8da8c5b248000ae2adaf,experiment_1,4,normative,30.16358199,61.71345835,[1.72276677],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.980734385
57e91ff08dcd2c00014bea18,experiment_1,4,normative,24.19135456,49.76900349,[2.27359758],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.329691347
5999ad2a0ed7ae0001991b57,experiment_1,4,normative,26.36669493,54.11968422,[2.0794416],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.141410578
5aead02c78b0060001e6b394,experiment_1,4,normative,37.45704982,76.300394,[0.69314617],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.96844077
5b8bbd437073290001839123,experiment_1,4,normative,26.36669493,54.11968422,[2.07944154],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.258534008
5bcdd6be25295a0001a71beb,experiment_1,4,normative,26.36669493,54.11968422,[2.07944164],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.213836143
5be87e33a14b540001aa2ea5,experiment_1,4,normative,31.79621999,64.97873433,[1.55452808],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.881119548
5bfd745a8acfed00011a6975,experiment_1,4,normative,26.36677926,54.11985289,[2.07944447],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.199751593
5c3f62338cb6f5000180b697,experiment_1,4,normative,21.81285756,45.01200947,[2.4850619],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.391336368
5c405aee40de0b0001437db0,experiment_1,4,normative,6.925305395,15.23690515,[4.39139762],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,2.176519458
5c48734767be2c0001074eb6,experiment_1,4,normative,9.656652316,20.69959899,[3.78419026],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,2.17583535
5c5af8dfe7f42600017cde68,experiment_1,4,normative,35.70875944,72.80381324,[1.04982209],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.180158587
5c665e1948985d0001f09675,experiment_1,4,normative,21.81380964,45.01391364,[2.4849053],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.300033208
5c6aeae949b7f0000120b170,experiment_1,4,normative,21.81380964,45.01391364,[2.48490516],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.337731442
5c86addf4b443c000103ad14,experiment_1,4,normative,30.15291223,61.69211881,[1.72420383],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.01959593
5c8a4f339917780016a4ee43,experiment_1,4,normative,16.35864646,34.10358728,[2.99573232],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.672078025
5ca4ed188ef8c300164ed71f,experiment_1,4,normative,38.6265099,78.63931416,[0.],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.17719483
5d2a4351379e510001491ee4,experiment_1,4,normative,24.19134918,49.76899272,[2.2735983],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1.319187227
5d6a79f5d10473001a62fa47,experiment_1,4,normative,38.05429818,77.49489071,[0.49899105],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.944268502
5d7955d03ff9070001280c8c,experiment_1,4,normative,28.35416697,58.09462829,[1.89712007],"[['smoothing', 0]]",TRUE,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.99321509
