experiment,pid,lc_bic,lc_prior,change_bic,change_prior,best_change,best_lc
experiment_1,56da8da8c5b248000ae2adaf,60.15444533,499.99981882,69.38145355,12.48966295,0,1
experiment_1,57e91ff08dcd2c00014bea18,36.87618018,499.999892,50.75375887,499.99963,0,0
experiment_1,5999ad2a0ed7ae0001991b57,52.54190072,0.21436494,64.59344786,0.00040374521,0,0
experiment_1,5aead02c78b0060001e6b394,70.70830107,499.99963,67.17070011,499.99962961,0,0
experiment_1,5b8bbd437073290001839123,61.61854256,349.68656836,66.48379759,19.80764479,0,1
experiment_1,5bcdd6be25295a0001a71beb,52.54159347,499.99990054,55.06410964,309.017564,0,0
experiment_1,5be87e33a14b540001aa2ea5,60.867218,499.99990054,52.79801826,309.017564,0,0
experiment_1,5bfd745a8acfed00011a6975,52.59357296,499.99990054,56.86703664,499.99963,0,0
experiment_1,5c3f62338cb6f5000180b697,23.89809525,499.9999098,53.05330179,0.000565180737,0,1
experiment_1,5c405aee40de0b0001437db0,21.50515289,499.99980726,23.08411029,497.472139,0,0
experiment_1,5c48734767be2c0001074eb6,23.47219277,499.99980778,32.29253878,499.994338,0,0
experiment_1,5c5af8dfe7f42600017cde68,69.51323743,118.02246166,59.48549336,309.017564,0,0
experiment_1,5c665e1948985d0001f09675,47.78650206,499.999901,45.70987442,499.99963,0,0
experiment_1,5c6aeae949b7f0000120b170,45.5633374,499.99990054,16.78698975,499.99963,1,0
experiment_1,5c86addf4b443c000103ad14,57.05469129,499.99963,53.00622658,499.99963,1,0
experiment_1,5c8a4f339917780016a4ee43,28.84622506,499.999901,32.15002987,33.18831936,0,0
experiment_1,5ca4ed188ef8c300164ed71f,80.46961224,499.99963,76.78684221,499.99963,0,2
experiment_1,5d2a4351379e510001491ee4,36.93634043,499.99999999,58.36875735,309.017658,0,1
experiment_1,5d6a79f5d10473001a62fa47,73.88601545,137.5171301,73.58400433,309.153216,0,0
experiment_1,5d7955d03ff9070001280c8c,65.31709017,499.99963,71.74391752,499.99963,0,0
experiment_1,5d7d28b697f15700196423df,52.95611304,499.999901,62.16894403,9.61633664,0,0
experiment_1,5d826a4c25310e001911a87d,80.58365297,2.98410346,75.48325115,2.57421224,0,2
experiment_1,5d970d28fa86b600170d9a26,75.93632121,1.4945172,77.4067071,5.85015585,2,1
experiment_1,5db6fbd992a62e000c1d47d5,56.23940736,308.9455867,44.71833403,309.017564,0,0
experiment_1,5dcb33ab0550ef819f508abf,60.33260703,499.999901,61.72924918,37.26906231,0,0
experiment_1,5dcbc939f28035000c6a572e,47.78650236,499.99962975,55.04166683,499.99963,0,0
experiment_1,5de78fbbd7b2a0000bc2df59,47.9507706,499.999901,62.12256956,499.99963,0,0
experiment_1,5df3a70877f865293e86c0a0,80.38246602,118.03455796,79.69421639,0.000389424279,2,2
experiment_1,5e32ef0a66f7ac2bc3bbc675,46.83139359,496.61435747,62.76664208,499.99963,0,0
experiment_1,5e370958fbc3bf68f59c8998,47.78630326,118.036353,67.92872254,2.17722801e-05,1,0
experiment_1,5e3af1046218720332ff9cea,42.7764721,499.99989594,43.92320471,499.99963,0,0
experiment_1,5e5d61de94ec4d03111eefe3,81.41360944,499.999901,82.78785077,499.074261,2,2
experiment_1,5e66df8c7f7cf84730f4eb1a,56.41029708,499.999901,57.20588435,499.999217,0,0
experiment_1,5e7607c3dec4561735fbc3f2,36.87618018,499.999892,47.56099014,309.01756359,1,0
experiment_1,5e7a2605c7d80c064795b86a,52.54159345,499.999901,36.4988734,499.99962975,0,0
experiment_1,5e8e11676c1dea0be7a64cb3,60.97638384,499.99990054,69.3607613,499.999901,0,0
experiment_1,5e9890e8cc36260b3fb2255c,61.00181933,1.0455035,62.10055206,0.92618668,0,0
experiment_1,5ea9aec867ff380f1a507873,47.78650389,499.99990054,49.43048627,499.99963,0,0
experiment_1,5eaab75ff9860902c68c9502,66.47012651,499.99963,70.80845064,499.99963,0,0
experiment_1,5eac1bb54efbe803cc61af29,23.47219277,499.99980778,32.38025087,499.99963,0,0
experiment_1,5eb53f0da7325c023549eff9,47.78650391,499.999901,47.37154605,499.999901,0,0
experiment_1,5eb7dec5245b8670ff3536f2,81.41333383,499.999637,82.79856316,499.999637,2,2
experiment_1,5ebc789c4495870c5b3b3911,52.54159347,499.99990054,58.80901744,499.99963,0,0
experiment_1,5eccfbee54762d00083aea9b,81.41214166,499.999637,82.79825825,499.999637,2,2
experiment_1,5ecd84fc5216e60fe17dd26a,47.78650389,499.99992736,66.2191601,0.000441971351,0,0
experiment_1,5ed2a11ff7ce322295acbf2e,76.8497643,499.966947,79.67714648,499.99963,2,0
experiment_1,5ed63746e2b0e6032859b81b,81.41190308,309.141568,82.79819728,309.128402,2,2
experiment_1,5ed8fd2c7adfab08ea2918c4,45.23022539,8.39535539e-08,55.12869128,309.01756359,0,0
experiment_1,5ede000fb1248f0009695ab4,56.8922734,499.999901,62.6708176,0.000370250861,0,0
experiment_1,5ee06cbc6b82193bc8da5524,69.32457145,137.39346759,67.14189976,309.01679049,1,0
experiment_1,5eecfb83a383180f01066a86,81.35772279,499.999901,81.17809689,499.99989437,2,2
experiment_1,5f15d1e7f7fa5e0bef2dfb2a,76.13925484,499.99962975,75.10402487,499.99963,1,0
experiment_1,5f17496ef96a7d086a4606ee,52.99550745,499.99988552,60.71601502,309.01756359,0,1
experiment_1,5f228a74c16ecb762a93f0ba,23.47219277,499.99980778,34.95009512,309.01756359,0,0
experiment_1,5f24954e84188309995be987,15.24532358,499.99990471,22.56772382,309.017564,0,0
experiment_1,5f2f6229b83f0935eb8248c2,30.56161915,499.99991721,33.89846625,309.017564,0,0
experiment_1,5f326ff87342ad019f9f3c1d,23.47219277,499.99980778,34.48483851,309.017564,0,0
experiment_1,5f3389a931b4ce1ad61630b0,15.24535955,499.919855,42.66472471,499.99990052,0,0
experiment_1,5f343c0102886030ce1fa987,47.78650389,499.99990054,52.8378785,499.999901,0,0
experiment_1,test_625034503,53.01131601,499.999901,52.41485865,285.765712,0,0
experiment_2,59402f40e9b44100013b1789,42.54938887,116.191774,73.12271088,309.017564,1,1
experiment_2,59de425bbe399f0001e4975e,75.15617558,1.05667847,77.17586338,2.89246882,1,1
experiment_2,5b6baad47e435d0001c1c88f,64.48604707,0.03086601,55.44992927,309.01756359,1,0
experiment_2,5b74413e722bd2000195c067,64.48605194,121.950433,62.64459094,309.017564,0,1
experiment_2,5ba4d6c929629d00014e6c28,60.86722015,36.46623568,63.20068932,309.017564,1,0
experiment_2,5badf0aeae1d020001df2cc7,77.79309403,353.07365405,81.34578452,309.37714824,2,2
experiment_2,5c6d938c79151c00017c7560,59.97250648,1.80237217e-07,45.92657572,312.40456408,0,0
experiment_2,5c74f0d525c76b0010706736,75.57640332,377.294713,75.01941666,309.017564,0,1
experiment_2,5c9124ef3b7f9e0013728485,42.59716463,472.044746,69.27844359,40.38668776,0,1
experiment_2,5cae09506d573900175d4727,76.1136938,149.650028,66.53165281,309.017564,0,0
experiment_2,5cb304b63742a400153b756d,47.99627363,499.999901,54.62809709,309.017564,0,1
experiment_2,5ccc758ab11510001584a1af,60.86721701,499.814026,57.81189276,309.017564,1,1
experiment_2,5cd98287b0c5ec0001e0965a,51.72148347,268.425892,66.57751371,309.017564,1,1
experiment_2,5cdeaeb3557fbd00018a2c59,30.56161699,190.993968,38.97417517,309.017564,1,0
experiment_2,5cf92c7255e1370001e54adb,56.89214414,4.97391307,77.22731329,310.5540977,0,0
experiment_2,5d29fbc8f91bdd0016e98503,79.82448261,1.05735391,81.25464188,1.35637306,2,2
experiment_2,5d36ff998129260015c6de19,67.41128324,162.64358734,75.36698031,13.06317826,0,0
experiment_2,5d6e3252dfe6d10001dbe508,70.2731283,4.56665587,74.70264321,309.01756359,0,0
experiment_2,5d94c6f5dc0b0e001465072e,56.89593217,45.58126396,73.88025575,309.01756359,0,0
experiment_2,5da60411423c170017b7dc0f,60.86749186,499.999917,70.48245358,499.999633,0,1
experiment_2,5dc56fbac34fc53e4e78b820,71.36552049,136.62056314,77.45222841,10.69966724,0,0
experiment_2,5e29e902c2253a0587298e26,64.04973116,0.19326485,68.91422115,135.335707,0,1
experiment_2,5e5eb4843accc91e2443212f,77.50274982,499.999901,82.11676232,10.74188629,2,0
experiment_2,5e87a0b5fc57a7415442f97e,52.54159221,499.645339,66.04013492,372.080521,1,0
experiment_2,5e9948b69223aa17c21564f4,56.89234937,280.667648,67.02990942,308.31386169,0,0
experiment_2,5e99e838545b26058749d068,56.89467192,458.88367603,65.89841299,309.01756359,1,1
experiment_2,5ecba4b6ef75d53505406d57,36.17544472,309.01781461,43.28279921,309.017564,1,0
experiment_2,5ecd7b06a1a9170e7806f51e,40.48957326,1.60723573e-08,44.51536307,0.000589754983,0,0
experiment_2,5ed8be74a4175a01156004b0,72.48226104,28.18872127,62.71934237,3.90747694,0,0
experiment_2,5edaa4924ea9bd6f14f3d618,79.17514339,313.48027615,74.51914708,310.46113024,0,0
experiment_2,5edbaae1b9f9f68349ce80f3,72.61314416,30.13787977,68.59221984,308.835659,0,0
experiment_2,5ef109c89196fa6d5cf6c005,64.4859601,0.000363228829,63.46735441,309.0175609,1,0
experiment_2,5ef8a0b375e30603ebc12510,63.67396134,2.02861915e-07,67.43183189,309.01756359,0,0
experiment_2,5f1b69a1459c1e0009a83009,70.59161338,238.60093514,57.15828418,132.608113,0,0
experiment_2,5f2dbc04160a0f0d88ee4440,78.23036498,108.70090775,72.44965682,0.000650069553,0,0
experiment_2,5f31671e69023f000b0c0547,56.89227294,6.30009485,57.31672344,17.62028261,0,0
experiment_2,5f3c2701fa55251a108b07e6,65.31707549,39.54859841,73.55388343,309.01756359,0,0
experiment_2,5f64b5eed3b0d9015f58920c,47.78650236,72.22849614,41.75671544,309.01778886,0,0
experiment_2,5f6875b05e3bc74d0dee825e,56.82578298,0.01509932,65.19059181,15.44154149,0,0
experiment_2,5f6a7d0d9d705213a0db27e2,68.27569742,0.0080091,67.23434007,14.57140172,0,0
experiment_2,5f75cc1fb0741626d6634281,71.3880078,472.013792,69.01901904,0.000645372838,0,0
experiment_2,5f7728b294840b203855824d,75.58385067,265.16933875,79.39615846,312.90838167,2,1
experiment_2,5f91ad02439b5e04b51d69a0,67.76156359,427.47951851,61.6135719,309.01756359,0,1
experiment_2,5f958e181381b5079be5d02f,70.70063353,141.21961,79.23316068,309.01756359,0,0
experiment_2,5f9a893d999ea71a0c6c4851,80.23297932,312.47423415,80.17448198,310.340026,2,2
experiment_2,5fa01b6003aed3026366571c,47.91813723,0.000688947198,53.54641693,345.052921,0,0
experiment_2,5fa91c5d816c5c831297d606,80.67045955,499.999939,82.7507949,439.774734,2,2
experiment_2,5fb6ed2116919c000a99249e,36.876176,309.016994,40.85642561,43.98713058,0,0
experiment_2,5fb91837b8c8756d924f7351,60.86451022,0.000549935174,71.20469791,304.591061,0,0
experiment_2,5fbeef08fae48b16613fbe94,56.89204927,425.8231095,64.96065698,345.438129,1,1
experiment_2,5fc64e35746dd626bb337f76,56.89227294,117.54212844,69.87139149,3.09333991,0,0
experiment_2,5fc7efbee5390f0b42e30f22,42.58535022,434.23732432,72.18968451,307.547432,0,1
experiment_2,5fc86c1b2df6ff1ff7a51ea5,65.31707886,0.000318911678,81.28667657,11.44731191,2,0
experiment_2,5fcb705d9b31048d04ac0a8a,52.41720978,0.00054808047,58.42326829,309.017564,0,0
experiment_2,5fd761f02e24f003c7dbc814,64.04040369,390.77586984,65.62302279,309.017564,0,1
experiment_2,5fecb4e73e41f76583b6023a,70.70101242,0.01588086,70.42328069,74.60600952,0,0
experiment_2,5fedf2023cc53c06d3406a14,75.73004658,411.560792,74.67512557,309.017564,0,0
experiment_2,5ffb3cdfa301645772b03b49,56.89381374,129.40275041,65.18167976,308.89059785,1,1
experiment_2,600090cc2864f714e71d0e45,36.87617725,0.000415850922,48.16996944,17.31178761,0,0
experiment_2,60042af01e4c4b52c5ee0c01,76.25385498,486.707904,82.78356277,27.64263794,2,1
experiment_2,600a9ab59e9b701db49fbec1,58.60540251,356.40434272,68.2963766,309.017564,1,1
experiment_2,600ec679c144277505d6428d,69.52236714,109.474929,75.59059939,310.10485251,0,1
experiment_2,60142d5718e5943b09fd9298,67.76163489,186.25909,66.34083313,14.53467949,0,1
experiment_2,601859370b15830bb219db7a,56.89772875,341.03185318,73.30020738,309.01756359,1,1
experiment_2,6023df50d5c2d7069115de3f,49.30679899,143.773443,61.00349761,1.37459006e-11,0,1
experiment_2,60358e8f4cf36d6725a603dd,79.6957592,499.99998957,81.84984463,321.39703291,2,2
experiment_2,603691e060f42aaf3b034a94,79.78249731,319.94865681,81.73098455,295.80883633,2,0
experiment_2,603bf563c71a1c8ca72cbbac,57.0015601,447.165651,69.10648753,305.940773,1,1
experiment_2,603c11e7db9042987c7180be,71.59358662,89.37102708,69.76088823,309.01756359,0,0
experiment_2,6040a6019923db2cb26b04e0,56.89227333,1.09309203,53.28260043,0.43497823,0,0
experiment_2,604258da4004870ebf00822d,47.78712768,162.358338,53.87250885,303.939766,0,1
experiment_2,604b859f965723dde6768f6c,52.93700691,159.004673,66.22809942,0.000179692681,0,1
experiment_2,604e2e30b9ef1f91e2e6a67a,63.21678294,209.817498,58.39485973,309.01756359,1,1
experiment_2,6052554f2d140e57270e22f9,64.03982926,279.089817,65.6907037,30.160551,0,1
experiment_2,605260141614ee63870d2394,73.40399087,196.97553486,74.34428502,1.33893336e-05,0,1
experiment_2,6055511b69c5e470713c8717,47.78650236,118.01915651,39.30222,309.017564,0,0
experiment_2,6055b240728724a27d38b40a,64.48604795,0.000818905081,65.46799136,1.29780312e-07,0,0
experiment_2,605b2e99ac3c7259bbbefc2f,71.83557989,37.06962334,71.14037171,309.01756488,0,0
