session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
624446f1fa727b9781fdfdab,60e0fb829cfeffe79084eaf0,RETURNED,2022-03-30 12:02:57.754000,,85878.989224,21,71,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624446f653b93074b535845a,5e55b9b8bcdb1e5d38a9dc27,RETURNED,2022-03-30 12:03:05.929000,,85870.842717,32,185,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624447037b4adcae2fe96f0a,60d6e2dd110d9cbe0c20bbc7,APPROVED,2022-03-30 12:03:15.778000,2022-03-30 12:25:31.348000,1335.57,35,81,1,99,2022-03-30 14:23:17.657000,29551DF4,Turkey,Belgium,DATA EXPIRED,Turkish,Turkey,Female,No
624447072546714a16a30614,615b15cea55b3f1c3967519b,RETURNED,2022-03-30 12:03:19.349000,,85857.450224,26,71,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6244470e9269c2b1c367c371,5fb26f723d8b23832ff835c6,APPROVED,2022-03-30 12:03:40.974000,2022-03-30 12:28:04.998000,1464.024,64,261,2,100,2022-03-30 14:21:28.721000,29551DF4,United Kingdom,France,Part-Time,English,United Kingdom,Female,No
62444712574f4c397d85a561,5ef601b056fe3607b3410b33,APPROVED,2022-03-30 12:03:30.953000,2022-03-30 12:29:43.370000,1572.417,19,257,0,100,2022-03-30 14:21:28.425000,29551DF4,Hungary,Hungary,Unemployed (and job seeking),Hungarian,Hungary,Male,Yes
624447140264d3deafbd6941,5ffc58b66496f8025379ee77,TIMED-OUT,2022-03-30 12:03:32.656000,,85844.182573,21,82,3,97,,,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
6244471585b5c59155d82e49,6166a5e657c7e3a99ec14d63,RETURNED,2022-03-30 12:03:33.586000,,85843.265452,31,60,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624447172f83e1bc41866f30,616316ba176f119eb215ce4a,RETURNED,2022-03-30 12:03:43.194000,,85833.671215,39,19,1,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624447210c88d598edb104ec,60c928ebf77fd46f7f748f55,RETURNED,2022-03-30 12:03:45.151000,,85831.729874,20,61,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62444721835b3e54cbfeef06,60549a977b25b1960301c82c,RETURNED,2022-03-30 12:03:49.422000,,85827.473274,19,48,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
624447265fbfb22f2aff65fe,611231e33c2e4198943389a9,APPROVED,2022-03-30 12:03:50.237000,2022-03-30 12:23:22.604000,1172.367,19,74,3,96,2022-03-30 14:23:17.840000,29551DF4,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
62444728ff7b4bdbd46f109b,615ec387ec57223c894f6fc2,APPROVED,2022-03-30 12:03:52.961000,2022-03-30 13:03:43.401000,3590.44,25,83,0,100,2022-03-30 14:23:18.239000,29551DF4,Italy,Italy,Other,Italian,Italy,Male,Yes
6244472c6153ed59afa1358f,5c06fc4918ac7e00016bf76d,APPROVED,2022-03-30 12:04:44.586000,2022-03-30 12:31:09.951000,1585.365,23,198,2,100,2022-03-30 14:21:28.222000,29551DF4,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
624447356ffa79a2005b1881,610161a193f1e50e912bd6c7,RETURNED,2022-03-30 12:04:08.802000,,85808.153993,20,47,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
