submission_id,participant_id,status,started_at,completed_at,reviewed_at,Archived at,time_taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62a460576bdd685c697ef2bd,5e89d0a17ec160000888ee98,APPROVED,2022-06-11T09:28:55.551000Z,2022-06-11T09:52:20.055000Z,2022-06-27T11:25:08.403000Z,,1405,29551DF4,815,0,100,37,Male,White,United States,Portugal,United States,Portuguese,DATA_EXPIRED,Full-Time
62a460588e0c9cf0eadeef11,6017acc5665c42a2ae18dc42,APPROVED,2022-06-11T09:28:56.357000Z,2022-06-11T09:54:22.918000Z,2022-06-27T11:25:13.593000Z,,1527,29551DF4,81,4,95,20,Female,White,Poland,Poland,Poland,Polish,Yes,DATA_EXPIRED
62a46079fb4d90a7d2ffb071,6159dadf97b3d488c08d4f01,APPROVED,2022-06-11T09:29:43.099000Z,2022-06-11T10:04:00.361000Z,2022-06-27T11:25:13.754000Z,,2058,29551DF4,91,1,100,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
62a4607fac2e3d8a9b6eedc8,605b98c83da1ded576bcf096,APPROVED,2022-06-11T09:29:35.057000Z,2022-06-11T09:55:13.553000Z,2022-06-27T11:25:13.827000Z,,1539,29551DF4,149,2,100,19,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
62a460878da3c7a5844425ca,607ef0b00dba56a5a84bcc96,APPROVED,2022-06-11T09:29:43.477000Z,2022-06-11T10:13:27.146000Z,2022-06-27T11:25:08.477000Z,,2624,29551DF4,155,3,99,26,Male,Asian,India,Italy,India,Urdu,Yes,Other
62a4608a2bb077e50e9af8e2,6105c826905d93532f4c8cd3,APPROVED,2022-06-11T09:29:46.245000Z,2022-06-11T10:00:40.492000Z,2022-06-27T11:25:13.933000Z,,1855,29551DF4,130,0,100,19,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,DATA_EXPIRED
62a4608c770f9e7f2193a1c9,5bf1ecfcaf38d100016c1171,APPROVED,2022-06-11T09:29:48.647000Z,2022-06-11T09:49:33.063000Z,2022-06-27T11:25:14.006000Z,,1185,29551DF4,262,7,97,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
62a4608d9993cfca844a5c5f,5c7e388fffd1190017be7f83,APPROVED,2022-06-11T09:29:49.597000Z,2022-06-11T09:49:29.687000Z,2022-06-27T11:25:14.077000Z,,1181,29551DF4,418,6,99,33,Female,White,Spain,France,Spain,Spanish,DATA_EXPIRED,Full-Time
62a4608f0bf7bdd991d8d516,5f7644463bf0b60ced3a6757,APPROVED,2022-06-11T09:29:51.158000Z,2022-06-11T10:24:41.145000Z,2022-06-27T11:25:08.544000Z,,3290,29551DF4,101,0,100,22,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
62a46094583749dfc1bdcddc,5ed9111a0e4140448926fcd4,APPROVED,2022-06-11T09:29:56.790000Z,2022-06-11T10:39:34.941000Z,2022-06-27T11:25:14.149000Z,,4179,29551DF4,277,3,99,53,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
