,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
31662,3-56cb8858edf8da000b6df354-crime_0-congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,1,0.886039423540362,0.8143046618229481,8.708587586
31670,3-56cb8858edf8da000b6df354-finance_0-incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,1,1.0,0.9105572809000084,8.708587586
31678,3-571de12713b1b70012be47f6-crime_1-incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,1,0.8613249509436928,0.919417703597462,7.867281088
31686,3-571de12713b1b70012be47f6-finance_1-congruent,571de12713b1b70012be47f6,experiment_3,1,finance,1,0.9246221638555591,0.889903623487364,7.867281088
31694,3-572f526c3c27e7000e0b8aaa-crime_0-congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,1,0.8769085090206673,0.8769085090206673,12.55388644
31702,3-572f526c3c27e7000e0b8aaa-finance_0-incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,1,0.8817375208021835,0.5825764450316391,12.55388231
31710,3-5831960ab232860001b110dc-crime_1-incongruent,5831960ab232860001b110dc,experiment_3,2,crime,1,0.5527864045000421,0.4979715941052706,13.93156857
31718,3-5831960ab232860001b110dc-finance_1-congruent,5831960ab232860001b110dc,experiment_3,1,finance,1,0.4861906968533949,0.4861906968533949,13.93156857
31726,3-594abd98215cbd000146debc-crime_1-incongruent,594abd98215cbd000146debc,experiment_3,2,crime,1,0.5149287499273341,0.47209042006214363,13.93156857
31734,3-594abd98215cbd000146debc-finance_1-congruent,594abd98215cbd000146debc,experiment_3,1,finance,1,0.676770032422273,0.5755895576184717,13.93156857
31742,3-5acc65f668b65b00018db322-crime_1-incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,1,0.6606601774746808,0.7556611112873896,12.32367367
31750,3-5acc65f668b65b00018db322-finance_1-congruent,5acc65f668b65b00018db322,experiment_3,1,finance,1,0.7538170180413345,0.6892092197459695,12.29976135
31758,3-5b339152afe1d00001c6c509-crime_1-incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,1,1.0,0.9157848078933482,8.723473055
31766,3-5b339152afe1d00001c6c509-finance_1-congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,1,0.91695452014626,0.8778305556436947,8.723466725
31774,3-5b84a7ea4f38790001778d53-crime_1-incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,1,0.8852921330647191,0.8921672267965616,9.512252369
