,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
29727,2-59402f40e9b44100013b1789-crime_3-congruent,59402f40e9b44100013b1789,experiment_2,1,crime,TA,0.9241901956421097,1.0,8.768316162
29731,2-59402f40e9b44100013b1789-estate_3-incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,TA,0.68637497590641,1.0,8.768316162
29735,2-59402f40e9b44100013b1789-finance_3-implausible,59402f40e9b44100013b1789,experiment_2,3,finance,TA,0.5130570854177507,0.8769085090206673,8.768316162
29743,2-59de425bbe399f0001e4975e-crime_5-incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,TA,0.6871068906126281,0.8196660730665135,12.45418829
29747,2-59de425bbe399f0001e4975e-estate_5-implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,TA,0.5588712267437154,0.752202686108324,12.45418829
29751,2-59de425bbe399f0001e4975e-finance_5-congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,TA,0.9216739550012043,0.6755571577384749,12.36146653
29759,2-5b6baad47e435d0001c1c88f-crime_5-incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,TA,0.8726570920065974,0.8639172365120457,12.87923836
29763,2-5b6baad47e435d0001c1c88f-estate_5-implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,TA,0.7994261107285615,0.7846125524146785,12.87919517
29767,2-5b6baad47e435d0001c1c88f-finance_5-congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,TA,1.0,0.8960249510179927,12.87919517
29779,2-5b74413e722bd2000195c067-crime_1-implausible,5b74413e722bd2000195c067,experiment_2,3,crime,TA,0.8356010126946427,0.7548280407194038,11.46990892
29783,2-5b74413e722bd2000195c067-estate_1-congruent,5b74413e722bd2000195c067,experiment_2,1,estate,TA,1.0,0.9211889593760899,11.46990892
