,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
31664,3-56cb8858edf8da000b6df354-crime_0-congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,1,0.886039423540362,0.91695452014626,4.75178768
31672,3-56cb8858edf8da000b6df354-finance_0-incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,1,1.0,0.9105572809000084,4.751787645
31680,3-571de12713b1b70012be47f6-crime_1-incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,1,0.8867722965855405,1.0,1.999293768
31688,3-571de12713b1b70012be47f6-finance_1-congruent,571de12713b1b70012be47f6,experiment_3,1,finance,1,0.9246221638555591,1.0,1.999293768
31696,3-572f526c3c27e7000e0b8aaa-crime_0-congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,1,0.9129611720221511,0.9129611720221511,11.68962887
31704,3-572f526c3c27e7000e0b8aaa-finance_0-incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,1,0.8817375208021835,0.5825764450316391,12.25634067
31712,3-5831960ab232860001b110dc-crime_1-incongruent,5831960ab232860001b110dc,experiment_3,2,crime,1,0.5527864045000421,0.4979715941052706,13.93156857
31720,3-5831960ab232860001b110dc-finance_1-congruent,5831960ab232860001b110dc,experiment_3,1,finance,1,0.4861906968533949,0.4861906968533949,13.93156857
31728,3-594abd98215cbd000146debc-crime_1-incongruent,594abd98215cbd000146debc,experiment_3,2,crime,1,0.5149287499273341,0.47209042006214363,13.93156857
31736,3-594abd98215cbd000146debc-finance_1-congruent,594abd98215cbd000146debc,experiment_3,1,finance,1,0.676770032422273,0.5755895576184717,13.93156857
31744,3-5acc65f668b65b00018db322-crime_1-incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,1,0.6606601774746808,0.7556611112873896,11.65282226
31752,3-5acc65f668b65b00018db322-finance_1-congruent,5acc65f668b65b00018db322,experiment_3,1,finance,1,0.7664503167515431,0.6984886554222364,11.23069012
31760,3-5b339152afe1d00001c6c509-crime_1-incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,1,1.0,0.9157848078933482,8.725193213
31768,3-5b339152afe1d00001c6c509-finance_1-congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,1,0.91695452014626,0.8778305556436947,9.027426476
31776,3-5b84a7ea4f38790001778d53-crime_1-incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,1,0.8852921330647191,1.0,6.934499026
31784,3-5b84a7ea4f38790001778d53-finance_1-congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,1,0.9216739550012043,0.8248576389739852,6.929826333
31792,3-5c018eb6067bbf00019ba43d-crime_0-congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,1,0.889903623487364,1.0,4.761386376
31800,3-5c018eb6067bbf00019ba43d-finance_0-incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,1,1.0,0.6438179234692023,4.761386376
31808,3-5c06fc4918ac7e00016bf76d-crime_1-incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,1,0.9241901956421097,0.8314500343841895,7.867897853
31816,3-5c06fc4918ac7e00016bf76d-finance_1-congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,1,0.91695452014626,0.8867722965855405,7.867668746
31824,3-5c17c149f596b100011ca8b8-crime_0-congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,1,0.7491273969978728,0.7771875450722694,10.56901979
31832,3-5c17c149f596b100011ca8b8-finance_0-incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,1,0.796580948913757,0.752202686108324,10.56901979
31840,3-5c6400cbcb937d00012d8866-crime_0-congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,1,0.7046877883906908,0.740839472325592,13.46799034
31848,3-5c6400cbcb937d00012d8866-finance_0-incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,1,0.827226314883728,0.8675467642934956,13.58064303
31856,3-5c7dd22debc24800018e7ca0-crime_0-congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,1,1.0,0.7635668781282698,12.4819806
