,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
33560,4-576d8e821a48240001867c54-crime_1-incongruent,576d8e821a48240001867c54,experiment_4,2,crime,TA,0.7075511740671991,0.6676370714428732,13.93156857
33568,4-576d8e821a48240001867c54-finance_1-congruent,576d8e821a48240001867c54,experiment_4,1,finance,TA,0.6861770427695761,0.6133676991216666,13.93156857
33580,4-57dd3b0e91b7fc0001493db9-crime_0-congruent,57dd3b0e91b7fc0001493db9,experiment_4,1,crime,TA,0.5162205531531032,0.5411685322588764,13.93156857
33588,4-57dd3b0e91b7fc0001493db9-finance_0-incongruent,57dd3b0e91b7fc0001493db9,experiment_4,2,finance,TA,0.5675744342448066,0.5394338135281617,13.93156857
33600,4-57fe48c390de420001673796-crime_1-incongruent,57fe48c390de420001673796,experiment_4,2,crime,TA,1.0,1.0,5.900098455
33608,4-57fe48c390de420001673796-finance_1-congruent,57fe48c390de420001673796,experiment_4,1,finance,TA,1.0,1.0,5.900098455
33620,4-5ab15ab4c42b630001cd36fb-crime_0-congruent,5ab15ab4c42b630001cd36fb,experiment_4,1,crime,TA,1.0,0.7449693147746647,11.58071929
33628,4-5ab15ab4c42b630001cd36fb-finance_0-incongruent,5ab15ab4c42b630001cd36fb,experiment_4,2,finance,TA,0.919417703597462,0.7784604897513154,11.58071929
33640,4-5abc0d68436f550001ff83ff-crime_1-incongruent,5abc0d68436f550001ff83ff,experiment_4,2,crime,TA,0.5527864045000421,0.4516394427939764,13.93156857
33648,4-5abc0d68436f550001ff83ff-finance_1-congruent,5abc0d68436f550001ff83ff,experiment_4,1,finance,TA,0.4777670321329065,0.4674757380623501,13.93156857
33660,4-5b06c34ed424fd0001eebda1-crime_1-incongruent,5b06c34ed424fd0001eebda1,experiment_4,2,crime,TA,1.0,0.8475014296673953,6.238190728
33668,4-5b06c34ed424fd0001eebda1-finance_1-congruent,5b06c34ed424fd0001eebda1,experiment_4,1,finance,TA,1.0,0.9129611720221511,6.238190728
33680,4-5b1e7a55c813a60001480313-crime_1-incongruent,5b1e7a55c813a60001480313,experiment_4,2,crime,TA,0.8892302448756577,0.8885443574849294,4.955746702
33688,4-5b1e7a55c813a60001480313-finance_1-congruent,5b1e7a55c813a60001480313,experiment_4,1,finance,TA,1.0,1.0,4.95451297
33700,4-5b58d79b71a4100001555c56-crime_0-congruent,5b58d79b71a4100001555c56,experiment_4,1,crime,TA,0.8679323640511565,0.9319586182560229,2.920069875
33708,4-5b58d79b71a4100001555c56-finance_0-incongruent,5b58d79b71a4100001555c56,experiment_4,2,finance,TA,0.919417703597462,0.889903623487364,2.920069853
33720,4-5b7af290db11320001c3ff1d-crime_0-congruent,5b7af290db11320001c3ff1d,experiment_4,1,crime,TA,0.8892302448756577,0.8954583253021366,5.900431731
33728,4-5b7af290db11320001c3ff1d-finance_0-incongruent,5b7af290db11320001c3ff1d,experiment_4,2,finance,TA,0.919417703597462,0.6677506803775057,5.900134543
33740,4-5b8c8e7d0c740e00019d55c3-crime_1-incongruent,5b8c8e7d0c740e00019d55c3,experiment_4,2,crime,TA,0.9098330365332568,1.0,2.920156012
33748,4-5b8c8e7d0c740e00019d55c3-finance_1-congruent,5b8c8e7d0c740e00019d55c3,experiment_4,1,finance,TA,0.9098330365332568,0.9163757989992909,2.920156012
33760,4-5ba57e0438803d0001264be3-crime_1-incongruent,5ba57e0438803d0001264be3,experiment_4,2,crime,TA,0.8492443277111181,0.8356010126946427,10.08128126
33768,4-5ba57e0438803d0001264be3-finance_1-congruent,5ba57e0438803d0001264be3,experiment_4,1,finance,TA,0.886039423540362,0.886039423540362,10.08128126
33780,4-5bb511c6689fc5000149c703-crime_1-incongruent,5bb511c6689fc5000149c703,experiment_4,2,crime,TA,0.9129611720221511,0.8604273684402294,7.502661677
33788,4-5bb511c6689fc5000149c703-finance_1-congruent,5bb511c6689fc5000149c703,experiment_4,1,finance,TA,0.91695452014626,1.0,7.502661677
33800,4-5bb64eb80b5da70001c7cfca-crime_0-congruent,5bb64eb80b5da70001c7cfca,experiment_4,1,crime,TA,0.8921672267965616,0.5708024623605239,12.56938253
33808,4-5bb64eb80b5da70001c7cfca-finance_0-incongruent,5bb64eb80b5da70001c7cfca,experiment_4,2,finance,TA,1.0,0.8259223440443022,12.56938287
33820,4-5bc1c9dd9fffb200019bebe1-crime_0-congruent,5bc1c9dd9fffb200019bebe1,experiment_4,1,crime,TA,1.0,1.0,4.976006122
33828,4-5bc1c9dd9fffb200019bebe1-finance_0-incongruent,5bc1c9dd9fffb200019bebe1,experiment_4,2,finance,TA,1.0,0.919417703597462,4.976006122
33840,4-5bc1f0157870b900012dcb8a-crime_1-incongruent,5bc1f0157870b900012dcb8a,experiment_4,2,crime,TA,0.8367006838144548,0.8237731557874397,11.95376512
33848,4-5bc1f0157870b900012dcb8a-finance_1-congruent,5bc1f0157870b900012dcb8a,experiment_4,1,finance,TA,0.8259223440443022,0.8130106019983085,12.47262794
33860,4-5bf1ecfcaf38d100016c1171-crime_1-incongruent,5bf1ecfcaf38d100016c1171,experiment_4,2,crime,TA,0.9098330365332568,0.8845299461620748,8.219844341
33868,4-5bf1ecfcaf38d100016c1171-finance_1-congruent,5bf1ecfcaf38d100016c1171,experiment_4,1,finance,TA,0.9129611720221511,0.8443002111676954,8.219844341
33880,4-5c0e104111d18f0001995175-crime_0-congruent,5c0e104111d18f0001995175,experiment_4,1,crime,TA,0.9246221638555591,0.9246221638555591,11.58050917
33888,4-5c0e104111d18f0001995175-finance_0-incongruent,5c0e104111d18f0001995175,experiment_4,2,finance,TA,0.913613157441864,0.6545753601461213,11.58050917
33900,4-5c3885dcf5ebd5000184defb-crime_0-congruent,5c3885dcf5ebd5000184defb,experiment_4,1,crime,TA,0.9163757989992909,0.9216739550012043,8.88774528
33908,4-5c3885dcf5ebd5000184defb-finance_0-incongruent,5c3885dcf5ebd5000184defb,experiment_4,2,finance,TA,0.9163757989992909,0.8438262381113939,8.88774528
33920,4-5c7e388fffd1190017be7f83-crime_0-congruent,5c7e388fffd1190017be7f83,experiment_4,1,crime,TA,0.9129611720221511,0.8604273684402294,11.12473709
33928,4-5c7e388fffd1190017be7f83-finance_0-incongruent,5c7e388fffd1190017be7f83,experiment_4,2,finance,TA,1.0,0.913613157441864,11.40087993
33940,4-5c88d569d47e6a0001a6192a-crime_0-congruent,5c88d569d47e6a0001a6192a,experiment_4,1,crime,TA,0.9188892894346188,0.6088408706410211,11.71799029
33948,4-5c88d569d47e6a0001a6192a-finance_0-incongruent,5c88d569d47e6a0001a6192a,experiment_4,2,finance,TA,0.919417703597462,0.5460610106406302,11.58073847
33960,4-5cb450df19eba3001270131f-crime_0-congruent,5cb450df19eba3001270131f,experiment_4,1,crime,TA,1.0,0.8825559560970593,7.509513758
33968,4-5cb450df19eba3001270131f-finance_0-incongruent,5cb450df19eba3001270131f,experiment_4,2,finance,TA,0.91695452014626,0.8778305556436947,7.502661916
33980,4-5d00bb3b51669b000136a986-crime_0-congruent,5d00bb3b51669b000136a986,experiment_4,1,crime,TA,0.8686935671402775,0.6953961504599143,13.89392203
33988,4-5d00bb3b51669b000136a986-finance_0-incongruent,5d00bb3b51669b000136a986,experiment_4,2,finance,TA,0.7664503167515431,0.7635668781282698,13.8652902
34000,4-5d77679546b49c0001fe0c03-crime_0-congruent,5d77679546b49c0001fe0c03,experiment_4,1,crime,TA,1.0,0.919417703597462,8.887745483
34008,4-5d77679546b49c0001fe0c03-finance_0-incongruent,5d77679546b49c0001fe0c03,experiment_4,2,finance,TA,1.0,0.740839472325592,8.887745483
34020,4-5d7e41aea60f7b00013cf1af-crime_0-congruent,5d7e41aea60f7b00013cf1af,experiment_4,1,crime,TA,1.0,0.7582531107923859,8.219844422
34028,4-5d7e41aea60f7b00013cf1af-finance_0-incongruent,5d7e41aea60f7b00013cf1af,experiment_4,2,finance,TA,0.9221501055838477,0.6107505279192385,8.219844422
34040,4-5dab6e7d80e1780016d5bc9b-crime_0-congruent,5dab6e7d80e1780016d5bc9b,experiment_4,1,crime,TA,1.0,0.8475014296673953,7.502661677
34048,4-5dab6e7d80e1780016d5bc9b-finance_0-incongruent,5dab6e7d80e1780016d5bc9b,experiment_4,2,finance,TA,0.9098330365332568,0.798380540363622,7.502661677
34060,4-5ddb0d8c9dac7ca8a61b00fd-crime_1-incongruent,5ddb0d8c9dac7ca8a61b00fd,experiment_4,2,crime,TA,0.9157848078933482,0.8259223440443022,8.286839205
34068,4-5ddb0d8c9dac7ca8a61b00fd-finance_1-congruent,5ddb0d8c9dac7ca8a61b00fd,experiment_4,1,finance,TA,1.0,0.9129611720221511,8.219843976
34080,4-5ddd2275946f7cc8b0efb547-crime_1-incongruent,5ddd2275946f7cc8b0efb547,experiment_4,2,crime,TA,1.0,0.9129611720221511,9.911642116
34088,4-5ddd2275946f7cc8b0efb547-finance_1-congruent,5ddd2275946f7cc8b0efb547,experiment_4,1,finance,TA,0.6307255270620018,0.8541350085021054,11.2516176
34100,4-5e04595a4fa02aefdb9c9ced-crime_1-incongruent,5e04595a4fa02aefdb9c9ced,experiment_4,2,crime,TA,0.8885443574849294,0.9188892894346188,6.731368093
34108,4-5e04595a4fa02aefdb9c9ced-finance_1-congruent,5e04595a4fa02aefdb9c9ced,experiment_4,1,finance,TA,0.8643353105061596,0.8143046618229481,6.731368093
34120,4-5e3df819d96094073a9c939a-crime_0-congruent,5e3df819d96094073a9c939a,experiment_4,1,crime,TA,0.4257790236070005,0.6170291568974647,13.93156857
34128,4-5e3df819d96094073a9c939a-finance_0-incongruent,5e3df819d96094073a9c939a,experiment_4,2,finance,TA,0.8984653834866381,0.5162205531531032,13.93156857
34140,4-5e482f13410cd9000bc937bb-crime_1-incongruent,5e482f13410cd9000bc937bb,experiment_4,2,crime,TA,0.9163757989992909,0.8130106019983085,8.219844382
34148,4-5e482f13410cd9000bc937bb-finance_1-congruent,5e482f13410cd9000bc937bb,experiment_4,1,finance,TA,1.0,0.9221501055838477,8.219844382
34160,4-5e6de0802649e039418cabd5-crime_0-congruent,5e6de0802649e039418cabd5,experiment_4,1,crime,TA,1.0,0.8778305556436947,6.731568578
34168,4-5e6de0802649e039418cabd5-finance_0-incongruent,5e6de0802649e039418cabd5,experiment_4,2,finance,TA,1.0,0.9098330365332568,6.731568578
34180,4-5e7b1409f898741063f7a2f1-crime_1-incongruent,5e7b1409f898741063f7a2f1,experiment_4,2,crime,TA,0.9241901956421097,0.8315696157866962,9.508645927
34188,4-5e7b1409f898741063f7a2f1-finance_1-congruent,5e7b1409f898741063f7a2f1,experiment_4,1,finance,TA,0.8867722965855405,0.8347050987731784,9.50912649
34200,4-5e7cb947659c7606131b5257-crime_0-congruent,5e7cb947659c7606131b5257,experiment_4,1,crime,TA,0.9183503419072274,0.9183503419072274,10.21088476
34208,4-5e7cb947659c7606131b5257-finance_0-incongruent,5e7cb947659c7606131b5257,experiment_4,2,finance,TA,1.0,0.8174258141649446,10.21088476
34220,4-5e89d0a17ec160000888ee98-crime_0-congruent,5e89d0a17ec160000888ee98,experiment_4,1,crime,TA,0.91695452014626,0.7616343526886019,9.509775091
34228,4-5e89d0a17ec160000888ee98-finance_0-incongruent,5e89d0a17ec160000888ee98,experiment_4,2,finance,TA,0.9163757989992909,0.8778305556436947,9.509775091
34240,4-5e8ef2059eeb7a1af7502f3c-crime_1-incongruent,5e8ef2059eeb7a1af7502f3c,experiment_4,2,crime,TA,0.8143046618229481,0.8984653834866381,7.504655632
34248,4-5e8ef2059eeb7a1af7502f3c-finance_1-congruent,5e8ef2059eeb7a1af7502f3c,experiment_4,1,finance,TA,1.0,0.8521557458090854,7.502563866
34260,4-5e99df633de3190530449f5c-crime_1-incongruent,5e99df633de3190530449f5c,experiment_4,2,crime,TA,0.8377785788692375,0.8984653834866381,9.220295444
34268,4-5e99df633de3190530449f5c-finance_1-congruent,5e99df633de3190530449f5c,experiment_4,1,finance,TA,1.0,0.886039423540362,8.887741463
34280,4-5ea1fd326a1a5b0f94637a31-crime_0-congruent,5ea1fd326a1a5b0f94637a31,experiment_4,1,crime,TA,0.8521557458090854,0.68637497590641,9.509774451
34288,4-5ea1fd326a1a5b0f94637a31-finance_0-incongruent,5ea1fd326a1a5b0f94637a31,experiment_4,2,finance,TA,0.8825559560970593,0.7113248654051871,9.509774506
