,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
0,3-56cb8858edf8da000b6df354-crime_0-congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,OA,1.0,0.8561610095543848,7.334717774
2,3-56cb8858edf8da000b6df354-finance_0-incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,OA,0.9142507074287456,0.8735088935932649,7.334717774
4,3-571de12713b1b70012be47f6-crime_1-incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,OA,0.9199359230974564,0.919417703597462,5.900134543
6,3-571de12713b1b70012be47f6-finance_1-congruent,571de12713b1b70012be47f6,experiment_3,1,finance,OA,0.9246221638555591,0.889903623487364,5.900134543
8,3-572f526c3c27e7000e0b8aaa-crime_0-congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,OA,1.0,1.0,11.98336852
10,3-572f526c3c27e7000e0b8aaa-finance_0-incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,OA,0.9163757989992909,0.6518446880886043,11.98336854
12,3-5831960ab232860001b110dc-crime_1-incongruent,5831960ab232860001b110dc,experiment_3,2,crime,OA,1.0,0.5967610807272441,12.87083265
14,3-5831960ab232860001b110dc-finance_1-congruent,5831960ab232860001b110dc,experiment_3,1,finance,OA,1.0,1.0,12.87083275
16,3-594abd98215cbd000146debc-crime_1-incongruent,594abd98215cbd000146debc,experiment_3,2,crime,OA,1.0,0.615889360201312,13.93156857
18,3-594abd98215cbd000146debc-finance_1-congruent,594abd98215cbd000146debc,experiment_3,1,finance,OA,0.913613157441864,0.8069531643736639,13.93156857
20,3-5acc65f668b65b00018db322-crime_1-incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,OA,1.0,0.8068331476784361,10.22660373
22,3-5acc65f668b65b00018db322-finance_1-congruent,5acc65f668b65b00018db322,experiment_3,1,finance,OA,1.0,0.9246221638555591,10.22660373
24,3-5b339152afe1d00001c6c509-crime_1-incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,OA,0.8769085090206673,0.8541350085021054,11.46836322
26,3-5b339152afe1d00001c6c509-finance_1-congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,OA,0.91695452014626,0.8778305556436947,11.46836322
28,3-5b84a7ea4f38790001778d53-crime_1-incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,OA,0.9188892894346188,0.8679323640511565,11.47016367
30,3-5b84a7ea4f38790001778d53-finance_1-congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,OA,0.9216739550012043,0.8248576389739852,11.46951404
32,3-5c018eb6067bbf00019ba43d-crime_0-congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,OA,0.8651600275073517,0.8719631200671041,8.72518684
34,3-5c018eb6067bbf00019ba43d-finance_0-incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,OA,1.0,0.6438179234692023,8.72518684
36,3-5c06fc4918ac7e00016bf76d-crime_1-incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,OA,0.9241901956421097,0.8314500343841895,8.616688471
38,3-5c06fc4918ac7e00016bf76d-finance_1-congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,OA,1.0,0.9199359230974564,7.867668786
40,3-5c17c149f596b100011ca8b8-crime_0-congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,OA,0.9163757989992909,0.8541350085021054,10.87521414
42,3-5c17c149f596b100011ca8b8-finance_0-incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,OA,1.0,0.752202686108324,10.87521423
44,3-5c6400cbcb937d00012d8866-crime_0-congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,OA,0.8475014296673953,0.7883963152424205,13.22638643
46,3-5c6400cbcb937d00012d8866-finance_0-incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,OA,1.0,0.7705842661294382,13.22638644
48,3-5c7dd22debc24800018e7ca0-crime_0-congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,OA,1.0,0.7635668781282698,13.21632038
50,3-5c7dd22debc24800018e7ca0-finance_0-incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,OA,1.0,0.7309862065755148,13.21632037
52,3-5c8bafb53b6f3d00013d7c30-crime_0-congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,OA,0.9221501055838477,0.6388424407426925,13.86766568
54,3-5c8bafb53b6f3d00013d7c30-finance_0-incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,OA,1.0,0.7075511740671991,13.86766568
56,3-5cf9179b8c98dc0001d5a431-crime_1-incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,OA,0.8304841240947974,0.7046877883906908,8.432558289
58,3-5cf9179b8c98dc0001d5a431-finance_1-congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,OA,0.9216739550012043,0.8852921330647191,7.86192402
60,3-5cfddbd3ee0b1500019fa84c-crime_0-congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,OA,1.0,0.913613157441864,9.238056694
62,3-5cfddbd3ee0b1500019fa84c-finance_0-incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,OA,1.0,0.9098330365332568,9.238056694
64,3-5d1a69d8f97a18001977e0d7-crime_1-incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,OA,0.8817375208021835,0.8817375208021835,12.46993838
66,3-5d1a69d8f97a18001977e0d7-finance_1-congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,OA,1.0,0.8604273684402294,12.46991824
68,3-5d1c9f75328d1c001af3af0f-crime_0-congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,OA,0.8867722965855405,0.8143046618229481,8.72518684
70,3-5d1c9f75328d1c001af3af0f-finance_0-incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,OA,0.9163757989992909,0.8867722965855405,8.72518684
72,3-5d470786da637a00014ba26f-crime_0-congruent,5d470786da637a00014ba26f,experiment_3,1,crime,OA,0.8719631200671041,0.7904709112691266,11.46990899
74,3-5d470786da637a00014ba26f-finance_0-incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,OA,1.0,0.43702585253816273,11.46990899
76,3-5d67b6d92b7448000173d95a-crime_0-congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,OA,1.0,0.9163757989992909,10.86371441
78,3-5d67b6d92b7448000173d95a-finance_0-incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,OA,1.0,0.850373599583855,10.86371441
80,3-5d70ec2138ac7e00012f817b-crime_1-incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,OA,0.8960249510179927,0.818928507914963,10.22660404
