,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8682,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,SA,0.919417703597462,0.83390904029252,7.334717774
8706,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,SA,1.0,0.9105572809000084,7.334717774
8730,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,SA,0.8867722965855405,1.0,5.900134543
8754,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,SA,0.9246221638555591,0.889903623487364,5.900134543
8778,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,SA,1.0,1.0,11.98336852
8802,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,SA,0.9163757989992909,0.6518446880886043,11.98336852
8826,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,SA,1.0,0.5967610807272441,12.87083265
8850,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,SA,0.9105572809000084,0.9105572809000084,12.87083265
8874,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,SA,1.0,0.615889360201312,13.93156857
8898,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,SA,0.913613157441864,0.8069531643736639,13.93156857
8922,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,SA,0.8651600275073517,0.8778305556436947,10.22660373
8946,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,SA,0.9221501055838477,0.8933996418221948,10.22660373
8970,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,SA,1.0,0.9157848078933482,11.47599514
8994,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,SA,0.91695452014626,0.8778305556436947,11.46836322
9018,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,SA,0.8377785788692375,0.7843344535931231,11.46951404
9042,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,SA,0.8892302448756577,0.7784604897513154,11.46951404
9066,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,SA,0.8651600275073517,0.8719631200671041,8.72518684
9090,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,SA,0.9163757989992909,0.654452629767456,8.72518684
9114,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,SA,0.8686935671402775,0.7738664915666773,7.867668786
9138,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,SA,1.0,0.9199359230974564,7.867668786
9162,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,SA,1.0,0.8809017331649173,10.87521414
9186,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,SA,0.91695452014626,0.7350935285869913,10.87521414
9210,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,SA,0.8475014296673953,0.7883963152424205,13.22638643
9234,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,SA,0.913613157441864,0.7190242565254918,13.22638643
9258,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,SA,1.0,0.7635668781282698,13.21632037
9282,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,SA,1.0,0.7309862065755148,13.21632037
9306,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,SA,0.889903623487364,0.6847558375043598,13.86766568
9330,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,SA,1.0,0.7075511740671991,13.86766568
9354,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,SA,0.8483803912842194,0.7358647281023128,7.861924029
9378,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,SA,1.0,0.8595121282627459,7.86192402
9402,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,SA,1.0,0.913613157441864,9.238056694
9426,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,SA,0.913613157441864,0.8724846573873324,9.238056694
9450,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,SA,0.9163757989992909,0.9163757989992909,12.46991824
9474,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,SA,0.8327515979985818,0.8604273684402294,12.46991824
9498,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,SA,0.8613249509436928,0.796580948913757,8.733743813
9522,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,SA,0.9163757989992909,0.8867722965855405,8.72518684
9546,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,SA,0.8521557458090854,0.8024540806700821,11.47780032
9570,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,SA,1.0,0.43702585253816273,11.46990899
9594,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,SA,0.919417703597462,0.8817375208021835,10.86371441
9618,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,SA,0.9163757989992909,0.8778305556436947,10.86371441
9642,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,SA,0.8356010126946427,0.8719631200671041,10.22660404
9666,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,SA,0.9241901956421097,0.8954583253021366,10.22660404
9690,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,SA,1.0,0.8196660730665135,13.86504872
9714,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,SA,1.0,0.779136947850307,13.86504872
9738,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,SA,0.8927887465162205,0.8475014296673953,9.037595637
9762,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,SA,0.9221501055838477,0.886039423540362,9.037595637
9786,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,SA,1.0,1.0,10.87921246
9810,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,SA,0.91695452014626,0.8438262381113939,10.89052428
9834,3_5e1b65eeb287dc38d94b694e_crime_incongruent,5e1b65eeb287dc38d94b694e,experiment_3,2,crime,SA,0.9157848078933482,0.8852921330647191,10.8792125
9858,3_5e1b65eeb287dc38d94b694e_finance_congruent,5e1b65eeb287dc38d94b694e,experiment_3,1,finance,SA,1.0,0.798380540363622,10.8792125
9882,3_5e31e6491faa251bf58151ce_crime_congruent,5e31e6491faa251bf58151ce,experiment_3,1,crime,SA,1.0,0.8529570755812385,7.867668746
9906,3_5e31e6491faa251bf58151ce_finance_incongruent,5e31e6491faa251bf58151ce,experiment_3,2,finance,SA,0.9142507074287456,0.913613157441864,7.867668746
9930,3_5e3b5fa9255e7a37bc841135_crime_congruent,5e3b5fa9255e7a37bc841135,experiment_3,1,crime,SA,0.9163757989992909,0.9163757989992909,9.509716691
9954,3_5e3b5fa9255e7a37bc841135_finance_incongruent,5e3b5fa9255e7a37bc841135,experiment_3,2,finance,SA,0.919417703597462,0.8198125074608882,9.509716691
9978,3_5e7d3b58d638273c7f823c7b_crime_incongruent,5e7d3b58d638273c7f823c7b,experiment_3,2,crime,SA,0.9211889593760899,0.8483803912842194,7.867688577
10002,3_5e7d3b58d638273c7f823c7b_finance_congruent,5e7d3b58d638273c7f823c7b,experiment_3,1,finance,SA,0.9221501055838477,0.886039423540362,7.867668706
10026,3_5e822d17f956a29530ccc2f8_crime_incongruent,5e822d17f956a29530ccc2f8,experiment_3,2,crime,SA,0.8643353105061596,0.8044204353205106,10.22660404
10050,3_5e822d17f956a29530ccc2f8_finance_congruent,5e822d17f956a29530ccc2f8,experiment_3,1,finance,SA,0.919417703597462,0.919417703597462,10.22660404
10074,3_5e9fdd5effe6a51855448d1b_crime_congruent,5e9fdd5effe6a51855448d1b,experiment_3,1,crime,SA,0.9246221638555591,0.889903623487364,11.99998533
10098,3_5e9fdd5effe6a51855448d1b_finance_incongruent,5e9fdd5effe6a51855448d1b,experiment_3,2,finance,SA,0.8143046618229481,0.6454819326052766,11.99998533
10122,3_5ec3b9e83f187802a6aa041e_crime_congruent,5ec3b9e83f187802a6aa041e,experiment_3,1,crime,SA,0.7867992836443896,0.763475041604367,10.226604
10146,3_5ec3b9e83f187802a6aa041e_finance_incongruent,5ec3b9e83f187802a6aa041e,experiment_3,2,finance,SA,0.91695452014626,0.7883963152424205,10.226604
10170,3_5eea0a01da0cfc0a744df4d9_crime_congruent,5eea0a01da0cfc0a744df4d9,experiment_3,1,crime,SA,0.8927887465162205,0.8927887465162205,12.43455365
10194,3_5eea0a01da0cfc0a744df4d9_finance_incongruent,5eea0a01da0cfc0a744df4d9,experiment_3,2,finance,SA,1.0,0.772570586926329,12.43455365
10218,3_5ef601b056fe3607b3410b33_crime_congruent,5ef601b056fe3607b3410b33,experiment_3,1,crime,SA,0.7867992836443896,0.818928507914963,12.46991808
10242,3_5ef601b056fe3607b3410b33_finance_incongruent,5ef601b056fe3607b3410b33,experiment_3,2,finance,SA,0.91695452014626,0.8867722965855405,12.46994109
10266,3_5eff4206a352be49f1aef4cc_crime_congruent,5eff4206a352be49f1aef4cc,experiment_3,1,crime,SA,0.8686935671402775,0.8289202154463398,10.22660381
10290,3_5eff4206a352be49f1aef4cc_finance_incongruent,5eff4206a352be49f1aef4cc,experiment_3,2,finance,SA,1.0,0.886039423540362,10.22660381
10314,3_5f0559d1bc410b85707c58a3_crime_congruent,5f0559d1bc410b85707c58a3,experiment_3,1,crime,SA,0.8561610095543848,0.8778305556436947,3.482901112
10338,3_5f0559d1bc410b85707c58a3_finance_incongruent,5f0559d1bc410b85707c58a3,experiment_3,2,finance,SA,1.0,1.0,3.482901112
10362,3_5f120176fbc66510873bcbf8_crime_congruent,5f120176fbc66510873bcbf8,experiment_3,1,crime,SA,0.7846125524146785,0.6709902392323104,10.22660411
10386,3_5f120176fbc66510873bcbf8_finance_incongruent,5f120176fbc66510873bcbf8,experiment_3,2,finance,SA,0.91695452014626,0.91695452014626,10.22660411
10410,3_5f1b2fe23bcef80c38d2a362_crime_incongruent,5f1b2fe23bcef80c38d2a362,experiment_3,2,crime,SA,0.8954583253021366,0.6695527238743666,12.94616627
10434,3_5f1b2fe23bcef80c38d2a362_finance_congruent,5f1b2fe23bcef80c38d2a362,experiment_3,1,finance,SA,1.0,1.0,12.87921191
10458,3_5f2448855226b0000a8129e1_crime_congruent,5f2448855226b0000a8129e1,experiment_3,1,crime,SA,0.9221501055838477,0.7418011102528389,5.89947871
10482,3_5f2448855226b0000a8129e1_finance_incongruent,5f2448855226b0000a8129e1,experiment_3,2,finance,SA,0.91695452014626,0.886039423540362,5.89947871
10506,3_5f2c226f8cea75078acb6377_crime_incongruent,5f2c226f8cea75078acb6377,experiment_3,2,crime,SA,0.8143046618229481,0.8634952734420129,12.47250293
10530,3_5f2c226f8cea75078acb6377_finance_congruent,5f2c226f8cea75078acb6377,experiment_3,1,finance,SA,0.919417703597462,0.8604273684402294,12.46579128
10554,3_5f343de4d0c07630b7f90b92_crime_congruent,5f343de4d0c07630b7f90b92,experiment_3,1,crime,SA,0.919417703597462,0.889903623487364,8.72518684
10578,3_5f343de4d0c07630b7f90b92_finance_incongruent,5f343de4d0c07630b7f90b92,experiment_3,2,finance,SA,1.0,0.7355570573260275,8.72518684
10602,3_5f3aee04e30eac7cb73b416e_crime_incongruent,5f3aee04e30eac7cb73b416e,experiment_3,2,crime,SA,0.886039423540362,0.7602683492573079,11.99977731
10626,3_5f3aee04e30eac7cb73b416e_finance_congruent,5f3aee04e30eac7cb73b416e,experiment_3,1,finance,SA,0.8825559560970593,0.796580948913757,11.99977731
10650,3_5f3e8506cb479c0a96cf4aac_crime_incongruent,5f3e8506cb479c0a96cf4aac,experiment_3,2,crime,SA,0.7485673235146281,0.6002578150445094,12.87921191
10674,3_5f3e8506cb479c0a96cf4aac_finance_congruent,5f3e8506cb479c0a96cf4aac,experiment_3,1,finance,SA,0.8679323640511565,0.8892302448756577,12.87921191
10698,3_5f466020c3a053038da47399_crime_incongruent,5f466020c3a053038da47399,experiment_3,2,crime,SA,0.9211889593760899,0.8044204353205106,11.99998533
10722,3_5f466020c3a053038da47399_finance_congruent,5f466020c3a053038da47399,experiment_3,1,finance,SA,0.919417703597462,0.6348516283298893,11.99998533
10746,3_5f4e97aae4fe380a7bad99c7_crime_incongruent,5f4e97aae4fe380a7bad99c7,experiment_3,2,crime,SA,0.8686935671402775,0.8954583253021366,7.867668706
10770,3_5f4e97aae4fe380a7bad99c7_finance_congruent,5f4e97aae4fe380a7bad99c7,experiment_3,1,finance,SA,0.9221501055838477,0.8933996418221948,7.867668706
10794,3_5f600669b846780f0fe45709_crime_incongruent,5f600669b846780f0fe45709,experiment_3,2,crime,SA,1.0,1.0,10.226604
10818,3_5f600669b846780f0fe45709_finance_congruent,5f600669b846780f0fe45709,experiment_3,1,finance,SA,1.0,1.0,10.226604
10842,3_5f6b8c1f5622370b0c94d597_crime_congruent,5f6b8c1f5622370b0c94d597,experiment_3,1,crime,SA,0.8634952734420129,0.5557383416806807,12.46991813
10866,3_5f6b8c1f5622370b0c94d597_finance_incongruent,5f6b8c1f5622370b0c94d597,experiment_3,2,finance,SA,0.9163757989992909,0.827226314883728,12.46991813
10890,3_5f75ce20817166287293b825_crime_incongruent,5f75ce20817166287293b825,experiment_3,2,crime,SA,0.8927887465162205,0.8564083682764524,11.89637998
10914,3_5f75ce20817166287293b825_finance_congruent,5f75ce20817166287293b825,experiment_3,1,finance,SA,0.9246221638555591,0.8604273684402294,11.89637998
10938,3_5f761e5106b786071f45b4aa_crime_congruent,5f761e5106b786071f45b4aa,experiment_3,1,crime,SA,0.8852921330647191,0.8778305556436947,13.86441364
10962,3_5f761e5106b786071f45b4aa_finance_incongruent,5f761e5106b786071f45b4aa,experiment_3,2,finance,SA,1.0,0.6871068906126281,13.86441364
10986,3_5f8836a5fb70462a169fc0ac_crime_incongruent,5f8836a5fb70462a169fc0ac,experiment_3,2,crime,SA,0.8634952734420129,0.838835407194924,10.38069679
11010,3_5f8836a5fb70462a169fc0ac_finance_congruent,5f8836a5fb70462a169fc0ac,experiment_3,1,finance,SA,0.8327515979985818,0.8327515979985818,10.22593039
11034,3_5f97e6601f6d0e016087fc91_crime_congruent,5f97e6601f6d0e016087fc91,experiment_3,1,crime,SA,0.9221501055838477,0.8933996418221948,13.22660394
11058,3_5f97e6601f6d0e016087fc91_finance_incongruent,5f97e6601f6d0e016087fc91,experiment_3,2,finance,SA,0.7857142857142857,0.6269379974696447,13.22660394
11082,3_5f9aba6600cdf11f1c9b915c_crime_incongruent,5f9aba6600cdf11f1c9b915c,experiment_3,2,crime,SA,0.81004612605476,0.5077926846976841,13.2266387
11106,3_5f9aba6600cdf11f1c9b915c_finance_congruent,5f9aba6600cdf11f1c9b915c,experiment_3,1,finance,SA,0.8885443574849294,0.8885443574849294,13.2648369
11130,3_5fa107215a15fe19519b484d_crime_congruent,5fa107215a15fe19519b484d,experiment_3,1,crime,SA,1.0,0.8132281580905929,11.46989236
11154,3_5fa107215a15fe19519b484d_finance_incongruent,5fa107215a15fe19519b484d,experiment_3,2,finance,SA,0.919417703597462,0.919417703597462,11.46989236
11178,3_5fad2378719b9d3a961834c9_crime_congruent,5fad2378719b9d3a961834c9,experiment_3,1,crime,SA,0.9264785377906193,0.8719631200671041,10.87921239
11202,3_5fad2378719b9d3a961834c9_finance_incongruent,5fad2378719b9d3a961834c9,experiment_3,2,finance,SA,0.8314500343841895,0.889903623487364,10.87921239
