,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
19328,4-576d8e821a48240001867c54-crime_1-incongruent,576d8e821a48240001867c54,experiment_4,2,crime,1,0.8852921330647191,0.6112034070395236,13.82495857
19344,4-576d8e821a48240001867c54-finance_1-congruent,576d8e821a48240001867c54,experiment_4,1,finance,1,0.8492443277111181,0.81004612605476,13.81666086
19368,4-57dd3b0e91b7fc0001493db9-crime_0-congruent,57dd3b0e91b7fc0001493db9,experiment_4,1,crime,1,0.8541350085021054,0.8377785788692375,12.72280577
19384,4-57dd3b0e91b7fc0001493db9-finance_0-incongruent,57dd3b0e91b7fc0001493db9,experiment_4,2,finance,1,0.8724846573873324,0.6411297187173632,12.72280553
19408,4-57fe48c390de420001673796-crime_1-incongruent,57fe48c390de420001673796,experiment_4,2,crime,1,1.0,1.0,10.08801692
19424,4-57fe48c390de420001673796-finance_1-congruent,57fe48c390de420001673796,experiment_4,1,finance,1,1.0,1.0,10.08801692
19448,4-5ab15ab4c42b630001cd36fb-crime_0-congruent,5ab15ab4c42b630001cd36fb,experiment_4,1,crime,1,1.0,0.7449693147746647,12.35623995
19464,4-5ab15ab4c42b630001cd36fb-finance_0-incongruent,5ab15ab4c42b630001cd36fb,experiment_4,2,finance,1,0.8604273684402294,0.8433479100024085,12.42402571
19488,4-5abc0d68436f550001ff83ff-crime_1-incongruent,5abc0d68436f550001ff83ff,experiment_4,2,crime,1,0.8367006838144548,0.6354905586035762,13.90266167
19504,4-5abc0d68436f550001ff83ff-finance_1-congruent,5abc0d68436f550001ff83ff,experiment_4,1,finance,1,0.8492443277111181,0.850373599583855,13.90266167
19528,4-5b06c34ed424fd0001eebda1-crime_1-incongruent,5b06c34ed424fd0001eebda1,experiment_4,2,crime,1,0.9129611720221511,0.8679323640511565,7.496979802
19544,4-5b06c34ed424fd0001eebda1-finance_1-congruent,5b06c34ed424fd0001eebda1,experiment_4,1,finance,1,1.0,0.9129611720221511,7.496979802
19568,4-5b1e7a55c813a60001480313-crime_1-incongruent,5b1e7a55c813a60001480313,experiment_4,2,crime,1,0.8892302448756577,0.8885443574849294,8.887065597
19584,4-5b1e7a55c813a60001480313-finance_1-congruent,5b1e7a55c813a60001480313,experiment_4,1,finance,1,0.8450806661517034,0.8450806661517034,8.887065598
