,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
19329,4-576d8e821a48240001867c54-crime_1-incongruent,576d8e821a48240001867c54,experiment_4,2,crime,SA,1.0,0.6264563161811858,13.81668543
19345,4-576d8e821a48240001867c54-finance_1-congruent,576d8e821a48240001867c54,experiment_4,1,finance,SA,0.9129611720221511,0.7411365045466037,13.81668543
19369,4-57dd3b0e91b7fc0001493db9-crime_0-congruent,57dd3b0e91b7fc0001493db9,experiment_4,1,crime,SA,0.9157848078933482,0.8013201464402434,12.38033638
19385,4-57dd3b0e91b7fc0001493db9-finance_0-incongruent,57dd3b0e91b7fc0001493db9,experiment_4,2,finance,SA,1.0,0.7388835160664533,12.38033638
19409,4-57fe48c390de420001673796-crime_1-incongruent,57fe48c390de420001673796,experiment_4,2,crime,SA,1.0,1.0,10.0895409
19425,4-57fe48c390de420001673796-finance_1-congruent,57fe48c390de420001673796,experiment_4,1,finance,SA,0.9163757989992909,0.9163757989992909,10.0895409
19449,4-5ab15ab4c42b630001cd36fb-crime_0-congruent,5ab15ab4c42b630001cd36fb,experiment_4,1,crime,SA,1.0,0.7449693147746647,12.3562403
19465,4-5ab15ab4c42b630001cd36fb-finance_0-incongruent,5ab15ab4c42b630001cd36fb,experiment_4,2,finance,SA,0.838835407194924,0.7402218974265015,12.3562403
19489,4-5abc0d68436f550001ff83ff-crime_1-incongruent,5abc0d68436f550001ff83ff,experiment_4,2,crime,SA,0.8585786437626906,0.6655031959971637,13.90266167
19505,4-5abc0d68436f550001ff83ff-finance_1-congruent,5abc0d68436f550001ff83ff,experiment_4,1,finance,SA,0.9129611720221511,0.8068331476784361,13.90266167
19529,4-5b06c34ed424fd0001eebda1-crime_1-incongruent,5b06c34ed424fd0001eebda1,experiment_4,2,crime,SA,0.9129611720221511,0.8679323640511565,7.496979563
19545,4-5b06c34ed424fd0001eebda1-finance_1-congruent,5b06c34ed424fd0001eebda1,experiment_4,1,finance,SA,1.0,0.9129611720221511,7.496979563
19569,4-5b1e7a55c813a60001480313-crime_1-incongruent,5b1e7a55c813a60001480313,experiment_4,2,crime,SA,0.8892302448756577,0.8885443574849294,8.219038945
19585,4-5b1e7a55c813a60001480313-finance_1-congruent,5b1e7a55c813a60001480313,experiment_4,1,finance,SA,0.9105572809000084,0.9105572809000084,8.219038945
19609,4-5b58d79b71a4100001555c56-crime_0-congruent,5b58d79b71a4100001555c56,experiment_4,1,crime,SA,0.8295014151323816,0.7958758547680684,8.875956534
19625,4-5b58d79b71a4100001555c56-finance_0-incongruent,5b58d79b71a4100001555c56,experiment_4,2,finance,SA,0.919417703597462,0.889903623487364,8.875956534
19649,4-5b7af290db11320001c3ff1d-crime_0-congruent,5b7af290db11320001c3ff1d,experiment_4,1,crime,SA,0.9216739550012043,0.9260778729045427,8.223451104
19665,4-5b7af290db11320001c3ff1d-finance_0-incongruent,5b7af290db11320001c3ff1d,experiment_4,2,finance,SA,0.919417703597462,0.6677506803775057,8.223451104
19689,4-5b8c8e7d0c740e00019d55c3-crime_1-incongruent,5b8c8e7d0c740e00019d55c3,experiment_4,2,crime,SA,0.9098330365332568,1.0,8.889732772
19705,4-5b8c8e7d0c740e00019d55c3-finance_1-congruent,5b8c8e7d0c740e00019d55c3,experiment_4,1,finance,SA,1.0,0.8817375208021835,8.889732772
