,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15296,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,SA,0.8927887465162205,0.8356010126946427,13.29864771
15300,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,SA,0.9260778729045427,0.6564706382850973,13.29864771
15304,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,SA,0.8756459991565483,0.456442693495391,13.29864771
15312,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,SA,0.9163757989992909,0.7294991095997703,1.72e-14
15316,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,SA,0.8054804949681451,0.5607023148930206,1.72e-14
15320,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,SA,0.9216739550012043,0.6026402928804868,1.78e-14
15328,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,SA,0.8960249510179927,0.882148869802242,10.87921253
15332,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,SA,0.8686935671402775,0.9282041841382261,10.88224829
15336,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,SA,0.889903623487364,0.8960249510179927,10.87921253
15348,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,SA,0.8726570920065974,0.8347050987731784,11.63652136
15352,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,SA,0.8921672267965616,0.9211889593760899,11.74118531
15356,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,SA,0.8892302448756577,0.8315696157866962,11.63652136
15360,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,SA,0.8564083682764524,0.7969307669732761,10.22667443
15364,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,SA,0.8686935671402775,0.7857142857142857,10.2489581
15368,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,SA,0.889903623487364,0.8960249510179927,10.22667443
15380,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,SA,0.8892302448756577,0.600613968128594,13.90209322
15384,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,SA,1.0,0.7247590587184098,13.90209221
15388,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,SA,0.8564083682764524,0.5441576941614482,13.90209221
15392,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,SA,0.9211889593760899,0.8639172365120457,10.12785497
15396,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,SA,0.8954583253021366,0.9012270403350411,10.12785497
15400,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,SA,0.91695452014626,0.8927887465162205,10.12785497
15412,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,SA,0.8927887465162205,0.5344001537981173,13.22660403
15416,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,SA,1.0,0.8514778685534988,13.22660403
15420,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,SA,0.8756459991565483,0.526334533284329,13.22660605
15424,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,SA,0.8927887465162205,0.9260778729045427,8.725161226
15428,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,SA,0.8571428571428572,0.8475014296673953,8.725161225
15432,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,SA,0.8492443277111181,0.9260778729045427,8.725161225
15444,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,SA,0.8651600275073517,0.6963578066864164,12.81922756
15448,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,SA,0.91695452014626,0.7268208176459234,12.81922756
15452,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,SA,0.8289202154463398,0.6871068906126281,12.81922756
15460,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,SA,0.8719631200671041,0.8,8.724760973
15464,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,SA,0.9216739550012043,0.8852921330647191,8.726432791
15468,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,SA,1.0,1.0,8.724760972
15476,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,SA,0.8756459991565483,0.9237507148336976,10.88589242
15480,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,SA,1.0,0.9237507148336976,10.87921257
15484,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,SA,0.8927887465162205,0.7137008328430658,10.87921257
15492,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,SA,0.9221501055838477,0.6432469659936622,10.03759694
15496,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,SA,1.0,0.8817375208021835,10.03759694
15500,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,SA,0.8762820851736516,0.7909166506042733,10.03759694
15504,2_5cdeaeb3557fbd00018a2c59_crime_incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,SA,0.8790283242181732,0.9260778729045427,4.761383189
15508,2_5cdeaeb3557fbd00018a2c59_estate_implausible,5cdeaeb3557fbd00018a2c59,experiment_2,3,estate,SA,0.9260778729045427,0.9260778729045427,4.761383869
15512,2_5cdeaeb3557fbd00018a2c59_finance_congruent,5cdeaeb3557fbd00018a2c59,experiment_2,1,finance,SA,1.0,1.0,4.761383189
15524,2_5cf92c7255e1370001e54adb_crime_implausible,5cf92c7255e1370001e54adb,experiment_2,3,crime,SA,0.8603139408460844,0.8954583253021366,9.530892778
