,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15297,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,RA,0.6444204988906203,0.617971276019792,5.03510026
15301,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,RA,0.8044204353205106,0.6564706382850973,5.03510026
15305,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,RA,0.8241368854718353,0.591751709536137,5.03510026
15313,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,RA,0.8551586351244197,0.7614406381931511,9.75e-26
15317,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,RA,0.4647556758951231,0.4538813187272498,
15321,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,RA,0.792768763753932,0.6026402928804868,9.850000000000001e-26
15329,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,RA,0.7152526012742503,0.7454124613913422,10.88005032
15333,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,RA,0.4858328908886197,0.49232691743319046,
15337,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,RA,0.6984886554222364,0.75615689581319,10.87921431
15349,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,RA,0.7059141511624769,0.6088408706410211,10.87921253
15353,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,RA,0.8679323640511565,0.8885443574849294,10.87921253
15357,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,RA,0.8248576389739852,0.7206898061345359,10.87921253
15361,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,RA,0.6789193504660322,0.62009225210952,10.22659645
15365,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,RA,0.7485673235146281,0.6574406054776629,10.22659645
15369,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,RA,0.7193082138931053,0.6630823342216774,10.22659645
15381,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,RA,0.6966445321453714,0.5638990379742845,
15385,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,RA,0.7705842661294382,0.6984886554222364,13.24741409
15389,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,RA,0.6953961504599143,0.589109298193341,13.24741409
15393,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,RA,0.726990546884026,0.736476861652635,10.2263716
15397,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,RA,0.68637497590641,0.6578404308926794,10.2263716
15401,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,RA,0.7508635604387801,0.7163456855344124,10.2263716
15413,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,RA,0.7994261107285615,0.6077677297236319,12.87934702
15417,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,RA,0.798380540363622,0.7288369277266797,12.87934456
15421,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,RA,0.7729616954067501,0.5763407271318384,12.87934456
15425,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,RA,0.7163456855344124,0.7548280407194038,6.981834305
15429,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,RA,0.5714285714285714,0.6590028302647633,
15433,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,RA,0.6984886554222364,0.7334699803659629,6.981527574
15445,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,RA,0.7418011102528389,0.7206898061345359,12.23060285
15449,2_5cae09506d573900175d4727_estate_congruent,5cae09506d573900175d4727,experiment_2,1,estate,RA,0.4429139854688444,0.5268397765926162,
15453,2_5cae09506d573900175d4727_finance_implausible,5cae09506d573900175d4727,experiment_2,3,finance,RA,0.738671312468705,0.763475041604367,12.10353801
15461,2_5cb304b63742a400153b756d_crime_implausible,5cb304b63742a400153b756d,experiment_2,3,crime,RA,0.47209042006214363,0.49667770431528335,
15465,2_5cb304b63742a400153b756d_estate_incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,RA,0.7650218650036128,0.7705842661294382,8.725950468
15469,2_5cb304b63742a400153b756d_finance_congruent,5cb304b63742a400153b756d,experiment_2,1,finance,RA,0.5654759053732592,0.5654759053732592,
15477,2_5ccc758ab11510001584a1af_crime_implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,RA,0.6953961504599143,0.7147012989212722,10.22729391
15481,2_5ccc758ab11510001584a1af_estate_congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,RA,0.6847558375043598,0.6676370714428732,10.22660415
15485,2_5ccc758ab11510001584a1af_finance_incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,RA,0.7163456855344124,0.7548280407194038,10.226611
15493,2_5cd98287b0c5ec0001e0965a_crime_incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,RA,0.7193082138931053,0.5807654883509997,8.406131831
15497,2_5cd98287b0c5ec0001e0965a_estate_congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,RA,0.4516394427939764,0.4516394427939764,
15501,2_5cd98287b0c5ec0001e0965a_finance_implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,RA,0.5896740966758551,0.6230696314539774,8.406789466
15505,2_5cdeaeb3557fbd00018a2c59_crime_incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,RA,0.7904709112691266,0.8044204353205106,4.761492126
15509,2_5cdeaeb3557fbd00018a2c59_estate_implausible,5cdeaeb3557fbd00018a2c59,experiment_2,3,estate,RA,0.6303893645227137,0.6019171626970194,4.761492126
15513,2_5cdeaeb3557fbd00018a2c59_finance_congruent,5cdeaeb3557fbd00018a2c59,experiment_2,1,finance,RA,0.5268397765926162,0.5268397765926162,
15525,2_5cf92c7255e1370001e54adb_crime_implausible,5cf92c7255e1370001e54adb,experiment_2,3,crime,RA,0.4726966902362504,0.5152601959858997,
15529,2_5cf92c7255e1370001e54adb_estate_incongruent,5cf92c7255e1370001e54adb,experiment_2,2,estate,RA,0.8433479100024085,0.7618802172690495,9.509275737
15533,2_5cf92c7255e1370001e54adb_finance_congruent,5cf92c7255e1370001e54adb,experiment_2,1,finance,RA,0.7402218974265015,0.7635668781282698,9.509275726
15541,2_5d29fbc8f91bdd0016e98503_crime_implausible,5d29fbc8f91bdd0016e98503,experiment_2,3,crime,RA,0.779136947850307,0.6331003071473287,2.92e-09
15545,2_5d29fbc8f91bdd0016e98503_estate_congruent,5d29fbc8f91bdd0016e98503,experiment_2,1,estate,RA,0.8327515979985818,0.779136947850307,2.92e-09
15549,2_5d29fbc8f91bdd0016e98503_finance_incongruent,5d29fbc8f91bdd0016e98503,experiment_2,2,finance,RA,0.6194378024463063,0.5654759053732592,
15557,2_5d36ff998129260015c6de19_crime_congruent,5d36ff998129260015c6de19,experiment_2,1,crime,RA,0.7787511605656451,0.6966445321453714,11.39660232
15561,2_5d36ff998129260015c6de19_estate_implausible,5d36ff998129260015c6de19,experiment_2,3,estate,RA,0.6881952177688382,0.7286706210123193,11.39660232
15565,2_5d36ff998129260015c6de19_finance_incongruent,5d36ff998129260015c6de19,experiment_2,2,finance,RA,0.8551586351244197,0.8643353105061596,11.39660232
15569,2_5d6e3252dfe6d10001dbe508_crime_congruent,5d6e3252dfe6d10001dbe508,experiment_2,1,crime,RA,0.5847726007313001,0.6150998205402495,
15573,2_5d6e3252dfe6d10001dbe508_estate_incongruent,5d6e3252dfe6d10001dbe508,experiment_2,2,estate,RA,0.8126828376836612,0.8438262381113939,11.31196792
15577,2_5d6e3252dfe6d10001dbe508_finance_implausible,5d6e3252dfe6d10001dbe508,experiment_2,3,finance,RA,0.5813620514588257,0.7206898061345359,11.26219181
15589,2_5d94c6f5dc0b0e001465072e_crime_congruent,5d94c6f5dc0b0e001465072e,experiment_2,1,crime,RA,0.6676370714428732,0.650581879039146,9.962345195
15593,2_5d94c6f5dc0b0e001465072e_estate_incongruent,5d94c6f5dc0b0e001465072e,experiment_2,2,estate,RA,0.7190242565254918,0.6454819326052766,9.536178024
15597,2_5d94c6f5dc0b0e001465072e_finance_implausible,5d94c6f5dc0b0e001465072e,experiment_2,3,finance,RA,0.7548280407194038,0.7635668781282698,9.536178014
15601,2_5da60411423c170017b7dc0f_crime_congruent,5da60411423c170017b7dc0f,experiment_2,1,crime,RA,0.7614406381931511,0.7614406381931511,10.22659489
15605,2_5da60411423c170017b7dc0f_estate_implausible,5da60411423c170017b7dc0f,experiment_2,3,estate,RA,0.8289202154463398,0.8174258141649446,10.22659488
15609,2_5da60411423c170017b7dc0f_finance_incongruent,5da60411423c170017b7dc0f,experiment_2,2,finance,RA,0.6444204988906203,0.5789240394667405,
15621,2_5dc56fbac34fc53e4e78b820_crime_implausible,5dc56fbac34fc53e4e78b820,experiment_2,3,crime,RA,0.9301569704230421,0.8026144915120693,10.89462267
15625,2_5dc56fbac34fc53e4e78b820_estate_congruent,5dc56fbac34fc53e4e78b820,experiment_2,1,estate,RA,0.8643353105061596,0.8237731557874397,10.89462267
15629,2_5dc56fbac34fc53e4e78b820_finance_incongruent,5dc56fbac34fc53e4e78b820,experiment_2,2,finance,RA,0.4501585852308424,0.5789240394667405,
15633,2_5e29e902c2253a0587298e26_crime_incongruent,5e29e902c2253a0587298e26,experiment_2,2,crime,RA,0.7523112976909649,0.7618802172690495,10.85259937
15637,2_5e29e902c2253a0587298e26_estate_congruent,5e29e902c2253a0587298e26,experiment_2,1,estate,RA,0.4870108239574229,0.5347099341692059,
15641,2_5e29e902c2253a0587298e26_finance_implausible,5e29e902c2253a0587298e26,experiment_2,3,finance,RA,0.7206278816921687,0.7219360008399758,10.85422963
15649,2_5e5eb4843accc91e2443212f_crime_congruent,5e5eb4843accc91e2443212f,experiment_2,1,crime,RA,0.7063898902426482,0.705607971122405,13.22647946
15653,2_5e5eb4843accc91e2443212f_estate_implausible,5e5eb4843accc91e2443212f,experiment_2,3,estate,RA,0.6632477737925551,0.8259223440443022,13.22657413
15657,2_5e5eb4843accc91e2443212f_finance_incongruent,5e5eb4843accc91e2443212f,experiment_2,2,finance,RA,0.6790166623790216,0.6170291568974647,
15669,2_5e87a0b5fc57a7415442f97e_crime_incongruent,5e87a0b5fc57a7415442f97e,experiment_2,2,crime,RA,0.7313646552413323,0.7137008328430658,8.725192151
15673,2_5e87a0b5fc57a7415442f97e_estate_implausible,5e87a0b5fc57a7415442f97e,experiment_2,3,estate,RA,0.6953961504599143,0.68056171750003,
15677,2_5e87a0b5fc57a7415442f97e_finance_congruent,5e87a0b5fc57a7415442f97e,experiment_2,1,finance,RA,0.7113248654051871,0.7113248654051871,8.725185742
15685,2_5e9948b69223aa17c21564f4_crime_incongruent,5e9948b69223aa17c21564f4,experiment_2,2,crime,RA,0.7662377088939077,0.8892302448756577,9.509222485
15689,2_5e9948b69223aa17c21564f4_estate_implausible,5e9948b69223aa17c21564f4,experiment_2,3,estate,RA,0.8199099324437007,0.6709902392323104,9.509222485
15693,2_5e9948b69223aa17c21564f4_finance_congruent,5e9948b69223aa17c21564f4,experiment_2,1,finance,RA,0.803883864861816,0.803883864861816,9.509259293
15701,2_5e99e838545b26058749d068_crime_congruent,5e99e838545b26058749d068,experiment_2,1,crime,RA,0.7914855859429253,0.7690598923241496,9.550884476
15705,2_5e99e838545b26058749d068_estate_implausible,5e99e838545b26058749d068,experiment_2,3,estate,RA,0.6530556667556446,0.5503492551438096,9.550884476
15709,2_5e99e838545b26058749d068_finance_incongruent,5e99e838545b26058749d068,experiment_2,2,finance,RA,0.8954583253021366,0.8492443277111181,9.550884476
15713,2_5ecba4b6ef75d53505406d57_crime_congruent,5ecba4b6ef75d53505406d57,experiment_2,1,crime,RA,0.7286706210123193,0.6654251974408971,5.765911528
15717,2_5ecba4b6ef75d53505406d57_estate_implausible,5ecba4b6ef75d53505406d57,experiment_2,3,estate,RA,0.5813620514588257,0.6150998205402495,
15721,2_5ecba4b6ef75d53505406d57_finance_incongruent,5ecba4b6ef75d53505406d57,experiment_2,2,finance,RA,0.45505073908693394,0.46891499545620563,
15729,2_5ecd7b06a1a9170e7806f51e_crime_implausible,5ecd7b06a1a9170e7806f51e,experiment_2,3,crime,RA,0.840280858750015,0.7485673235146281,6.954773652
15733,2_5ecd7b06a1a9170e7806f51e_estate_incongruent,5ecd7b06a1a9170e7806f51e,experiment_2,2,estate,RA,0.6944949536696107,0.7358647281023128,
15737,2_5ecd7b06a1a9170e7806f51e_finance_congruent,5ecd7b06a1a9170e7806f51e,experiment_2,1,finance,RA,0.8604273684402294,0.7867992836443896,6.954773652
15749,2_5ed8be74a4175a01156004b0_crime_implausible,5ed8be74a4175a01156004b0,experiment_2,3,crime,RA,0.7618802172690495,0.7219360008399758,12.21784687
15753,2_5ed8be74a4175a01156004b0_estate_congruent,5ed8be74a4175a01156004b0,experiment_2,1,estate,RA,0.7994261107285615,0.785401231180262,12.21784708
15757,2_5ed8be74a4175a01156004b0_finance_incongruent,5ed8be74a4175a01156004b0,experiment_2,2,finance,RA,0.8604273684402294,0.8196660730665135,12.21785871
15761,2_5edaa4924ea9bd6f14f3d618_crime_implausible,5edaa4924ea9bd6f14f3d618,experiment_2,3,crime,RA,0.7219360008399758,0.7770887149698589,13.20881516
15765,2_5edaa4924ea9bd6f14f3d618_estate_incongruent,5edaa4924ea9bd6f14f3d618,experiment_2,2,estate,RA,0.49232691743319046,0.615889360201312,
15769,2_5edaa4924ea9bd6f14f3d618_finance_congruent,5edaa4924ea9bd6f14f3d618,experiment_2,1,finance,RA,0.5847726007313001,0.44622507580546167,
15777,2_5edbaae1b9f9f68349ce80f3_crime_implausible,5edbaae1b9f9f68349ce80f3,experiment_2,3,crime,RA,0.4726966902362504,0.5068030380839281,
15781,2_5edbaae1b9f9f68349ce80f3_estate_incongruent,5edbaae1b9f9f68349ce80f3,experiment_2,2,estate,RA,0.6952112619150963,0.6947661521663201,12.44019193
15785,2_5edbaae1b9f9f68349ce80f3_finance_congruent,5edbaae1b9f9f68349ce80f3,experiment_2,1,finance,RA,0.6879061080338204,0.6655031959971637,12.47362011
15797,2_5ef109c89196fa6d5cf6c005_crime_incongruent,5ef109c89196fa6d5cf6c005,experiment_2,2,crime,RA,0.6556793630481499,0.6545753601461213,10.87924338
15801,2_5ef109c89196fa6d5cf6c005_estate_congruent,5ef109c89196fa6d5cf6c005,experiment_2,1,estate,RA,0.8054804949681451,0.6032539761920639,10.87924338
15805,2_5ef109c89196fa6d5cf6c005_finance_implausible,5ef109c89196fa6d5cf6c005,experiment_2,3,finance,RA,0.8241368854718353,0.7373871342805549,10.87924338
15809,2_5ef8a0b375e30603ebc12510_crime_implausible,5ef8a0b375e30603ebc12510,experiment_2,3,crime,RA,0.6880748530539782,0.6002578150445094,10.87287219
15813,2_5ef8a0b375e30603ebc12510_estate_incongruent,5ef8a0b375e30603ebc12510,experiment_2,2,estate,RA,0.8367006838144548,0.7334699803659629,10.87300861
15817,2_5ef8a0b375e30603ebc12510_finance_congruent,5ef8a0b375e30603ebc12510,experiment_2,1,finance,RA,0.8053752639596192,0.7094563984260118,10.87286675
15825,2_5f1b69a1459c1e0009a83009_crime_implausible,5f1b69a1459c1e0009a83009,experiment_2,3,crime,RA,0.4532193564463456,0.49232691743319046,
15829,2_5f1b69a1459c1e0009a83009_estate_incongruent,5f1b69a1459c1e0009a83009,experiment_2,2,estate,RA,0.8081411561826762,0.736476861652635,11.33887078
15833,2_5f1b69a1459c1e0009a83009_finance_congruent,5f1b69a1459c1e0009a83009,experiment_2,1,finance,RA,0.8643353105061596,0.8643353105061596,11.3388708
15841,2_5f2dbc04160a0f0d88ee4440_crime_implausible,5f2dbc04160a0f0d88ee4440,experiment_2,3,crime,RA,0.7920499020359855,0.7714418980430813,12.3685014
15845,2_5f2dbc04160a0f0d88ee4440_estate_incongruent,5f2dbc04160a0f0d88ee4440,experiment_2,2,estate,RA,0.8068331476784361,0.688527809631206,12.30496884
15849,2_5f2dbc04160a0f0d88ee4440_finance_congruent,5f2dbc04160a0f0d88ee4440,experiment_2,1,finance,RA,0.8327515979985818,0.913613157441864,12.3049642
15861,2_5f31671e69023f000b0c0547_crime_implausible,5f31671e69023f000b0c0547,experiment_2,3,crime,RA,0.4429139854688444,0.5108540057600577,
15865,2_5f31671e69023f000b0c0547_estate_incongruent,5f31671e69023f000b0c0547,experiment_2,2,estate,RA,0.8686935671402775,0.8081411561826762,9.509836931
15869,2_5f31671e69023f000b0c0547_finance_congruent,5f31671e69023f000b0c0547,experiment_2,1,finance,RA,0.7899579873957986,0.5595118040783968,9.509840801
15877,2_5f3c2701fa55251a108b07e6_crime_congruent,5f3c2701fa55251a108b07e6,experiment_2,1,crime,RA,0.37235408553915217,0.3603978509331688,
15881,2_5f3c2701fa55251a108b07e6_estate_incongruent,5f3c2701fa55251a108b07e6,experiment_2,2,estate,RA,0.7309862065755148,0.6303434530095278,10.76521477
15885,2_5f3c2701fa55251a108b07e6_finance_implausible,5f3c2701fa55251a108b07e6,experiment_2,3,finance,RA,0.633911733926501,0.6799390301985513,10.76521477
15889,2_5f64b5eed3b0d9015f58920c_crime_incongruent,5f64b5eed3b0d9015f58920c,experiment_2,2,crime,RA,0.5015174541823471,0.5301285061006352,
15893,2_5f64b5eed3b0d9015f58920c_estate_congruent,5f64b5eed3b0d9015f58920c,experiment_2,1,estate,RA,0.5425042890021861,0.47209042006214363,
