,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
13,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,1.0,0.8483803912842194,8.521223328669823
61,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,0.919417703597462,0.8825559560970593,4.761387619779673
93,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,1.0,0.9105572809000084,4.761386659750318
125,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,0.8867722965855405,1.0,2.001238511552112
157,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,0.9246221638555591,1.0,2.0012385115311653
189,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,1.0,1.0,10.22623604218016
221,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,0.7951633774003244,0.7113248654051871,10.226609144017589
253,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,0.5157658018884976,0.779136947850307,10.682955118074208
285,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,1.0,1.0,10.682939351420805
317,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.6570028297149824,0.8044204353205106,12.303345265955205
349,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,1.0,0.7635668781282698,12.403562764376735
381,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,0.9221501055838477,0.8778305556436947,8.141295377749548
413,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,1.0,0.9246221638555591,7.883389629312897
445,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,1.0,0.9157848078933482,8.725187242480686
477,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,1.0,0.913613157441864,8.725189080824071
