,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
17233,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,SA,1.0,0.8561610095543848,4.76138668
17241,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,SA,1.0,0.9105572809000084,4.76138666
17249,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,SA,0.8867722965855405,1.0,2.00123856
17257,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,SA,0.9246221638555591,1.0,2.001238512
17265,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,SA,1.0,1.0,10.22623604
17273,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,SA,0.9163757989992909,0.6518446880886043,10.22623604
17281,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,SA,1.0,0.5967610807272441,10.68293612
17289,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,SA,1.0,1.0,10.68293612
17297,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,SA,1.0,0.615889360201312,5.76e-25
17305,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,SA,0.913613157441864,0.8069531643736639,5.76e-25
17313,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,SA,0.889903623487364,0.850373599583855,7.867722951
17321,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,SA,0.9221501055838477,1.0,7.867722951
17329,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,SA,1.0,0.9157848078933482,8.725186759
17337,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,SA,1.0,0.913613157441864,8.725874156
17345,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,SA,0.8852921330647191,0.8132281580905929,6.92970994
17353,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,SA,0.9216739550012043,0.8248576389739852,6.929721418
17361,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,SA,0.9221501055838477,0.9260778729045427,1.999286328
17369,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,SA,0.9163757989992909,0.654452629767456,1.999286328
17377,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,SA,0.8927887465162205,0.7867992836443896,7.856848926
17385,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,SA,0.91695452014626,0.8867722965855405,7.856848924
17393,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,SA,1.0,0.8809017331649173,8.841111973
17401,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,SA,0.91695452014626,0.7350935285869913,8.841111974
17409,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,SA,0.9237507148336976,0.7714418980430813,11.56462428
17417,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,SA,1.0,0.7705842661294382,11.62499214
17425,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,SA,1.0,0.7635668781282698,12.38543046
17433,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,SA,1.0,0.7309862065755148,12.38543046
17441,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,SA,0.8651600275073517,0.7158427519578168,13.69281559
17449,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,SA,1.0,0.7075511740671991,13.69281559
17457,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,SA,0.8927887465162205,0.7358647281023128,10.22636602
17465,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,SA,1.0,0.8595121282627459,10.22636602
17473,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,SA,1.0,0.913613157441864,7.852240144
17481,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,SA,0.913613157441864,0.8724846573873324,7.852240144
17489,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,SA,1.0,0.8817375208021835,10.24084414
17497,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,SA,0.8817375208021835,0.8604273684402294,10.24084414
17505,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,SA,0.9199359230974564,0.83390904029252,4.75940943
17513,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,SA,1.0,0.8613249509436928,4.75940943
17521,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,SA,0.8954583253021366,0.7036811210051231,12.00041842
17529,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,SA,0.8719631200671041,0.45177883287177634,12.00041842
17537,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,SA,1.0,0.9163757989992909,10.15389153
17545,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,SA,0.9163757989992909,0.8778305556436947,10.15389153
17553,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,SA,0.9264785377906193,0.8347050987731784,6.828506047
17561,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,SA,0.9241901956421097,0.8954583253021366,6.828506047
17569,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,SA,1.0,0.8196660730665135,11.53974978
17577,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,SA,1.0,0.779136947850307,11.53974978
17585,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,SA,0.9241901956421097,0.8679323640511565,6.92970577
17593,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,SA,0.9221501055838477,0.886039423540362,6.92970577
17601,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,SA,1.0,1.0,9.510796952
