,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
25680,2-59402f40e9b44100013b1789-crime_3-congruent,59402f40e9b44100013b1789,experiment_2,1,crime,1,0.8304841240947974,0.8529570755812385,13.90023274
25682,2-59402f40e9b44100013b1789-estate_3-incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,1,0.7909166506042733,0.7770887149698589,13.75120642
25684,2-59402f40e9b44100013b1789-finance_3-implausible,59402f40e9b44100013b1789,experiment_2,3,finance,1,0.9282041841382261,0.456442693495391,13.6933222
25688,2-59de425bbe399f0001e4975e-crime_5-incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,1,0.5654759053732592,0.6507848521152109,13.93156857
25690,2-59de425bbe399f0001e4975e-estate_5-implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,1,0.4647556758951231,0.4538813187272498,13.93156857
25692,2-59de425bbe399f0001e4975e-finance_5-congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,1,0.5638990379742845,0.6026402928804868,13.93156857
25696,2-5b6baad47e435d0001c1c88f-crime_5-incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,1,0.8726570920065974,0.8639172365120457,12.83927777
25698,2-5b6baad47e435d0001c1c88f-estate_5-implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,1,0.8686935671402775,0.8756459991565483,12.90287511
25700,2-5b6baad47e435d0001c1c88f-finance_5-congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,1,1.0,0.8960249510179927,12.8321935
25706,2-5b74413e722bd2000195c067-crime_1-implausible,5b74413e722bd2000195c067,experiment_2,3,crime,1,0.8356010126946427,0.7548280407194038,11.57496714
25708,2-5b74413e722bd2000195c067-estate_1-congruent,5b74413e722bd2000195c067,experiment_2,1,estate,1,0.9237507148336976,0.8885443574849294,11.32013342
25710,2-5b74413e722bd2000195c067-finance_1-incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,1,0.8643353105061596,0.8541350085021054,11.30777369
25712,2-5ba4d6c929629d00014e6c28-crime_4-implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,1,0.7846125524146785,0.7618802172690495,12.24408296
25714,2-5ba4d6c929629d00014e6c28-estate_4-incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,1,0.8143046618229481,0.8989847455447789,12.24407317
25716,2-5ba4d6c929629d00014e6c28-finance_4-congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,1,0.8651600275073517,0.8054804949681451,12.4469882
25722,2-5badf0aeae1d020001df2cc7-crime_2-incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,1,0.792768763753932,0.5638990379742845,13.84029746
25724,2-5badf0aeae1d020001df2cc7-estate_2-congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,1,0.5224330670590808,0.5394338135281617,13.93156857
25726,2-5badf0aeae1d020001df2cc7-finance_2-implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,1,0.7411365045466037,0.6677506803775057,13.76694399
25728,2-5c6d938c79151c00017c7560-crime_0-congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,1,1.0,0.8478548451374539,10.95135085
25730,2-5c6d938c79151c00017c7560-estate_0-implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,1,0.8719631200671041,0.8790283242181732,10.87921163
25732,2-5c6d938c79151c00017c7560-finance_0-incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,1,0.91695452014626,0.8483803912842194,11.11072262
25738,2-5c74f0d525c76b0010706736-crime_2-incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,1,0.8927887465162205,0.5989524207289604,13.22574752
25740,2-5c74f0d525c76b0010706736-estate_2-congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,1,1.0,0.8514778685534988,13.20466594
25742,2-5c74f0d525c76b0010706736-finance_2-implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,1,0.9282041841382261,0.5129892329942929,13.20518986
25744,2-5c9124ef3b7f9e0013728485-crime_0-congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,1,0.9241901956421097,0.8521557458090854,8.387463658
25746,2-5c9124ef3b7f9e0013728485-estate_0-implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,1,0.8762820851736516,0.8295014151323816,8.405731365
25748,2-5c9124ef3b7f9e0013728485-finance_0-incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,1,0.8005689911956335,0.8954583253021366,8.909610728
25754,2-5cae09506d573900175d4727-crime_2-incongruent,5cae09506d573900175d4727,experiment_2,2,crime,1,0.9221501055838477,0.6963578066864164,13.09363862
25756,2-5cae09506d573900175d4727-estate_2-congruent,5cae09506d573900175d4727,experiment_2,1,estate,1,0.8825559560970593,0.8068331476784361,13.09667751
25758,2-5cae09506d573900175d4727-finance_2-implausible,5cae09506d573900175d4727,experiment_2,3,finance,1,0.8024540806700821,0.7103172702488394,13.08829053
25762,2-5cb304b63742a400153b756d-crime_4-implausible,5cb304b63742a400153b756d,experiment_2,3,crime,1,0.8954583253021366,0.8585786437626906,9.036214593
25764,2-5cb304b63742a400153b756d-estate_4-incongruent,5cb304b63742a400153b756d,experiment_2,2,estate,1,0.8433479100024085,0.8595121282627459,8.695668502
25766,2-5cb304b63742a400153b756d-finance_4-congruent,5cb304b63742a400153b756d,experiment_2,1,finance,1,1.0,1.0,8.696077623
25770,2-5ccc758ab11510001584a1af-crime_1-implausible,5ccc758ab11510001584a1af,experiment_2,3,crime,1,0.8984653834866381,0.8921672267965616,10.90681199
25772,2-5ccc758ab11510001584a1af-estate_1-congruent,5ccc758ab11510001584a1af,experiment_2,1,estate,1,1.0,0.9237507148336976,10.91104723
25774,2-5ccc758ab11510001584a1af-finance_1-incongruent,5ccc758ab11510001584a1af,experiment_2,2,finance,1,0.8927887465162205,0.7137008328430658,10.91352755
25778,2-5cd98287b0c5ec0001e0965a-crime_2-incongruent,5cd98287b0c5ec0001e0965a,experiment_2,2,crime,1,0.8093074821508816,0.6348516283298893,10.70166765
25780,2-5cd98287b0c5ec0001e0965a-estate_2-congruent,5cd98287b0c5ec0001e0965a,experiment_2,1,estate,1,1.0,0.8817375208021835,10.69845608
25782,2-5cd98287b0c5ec0001e0965a-finance_2-implausible,5cd98287b0c5ec0001e0965a,experiment_2,3,finance,1,0.840280858750015,0.7234087271072401,10.71362725
25784,2-5cdeaeb3557fbd00018a2c59-crime_5-incongruent,5cdeaeb3557fbd00018a2c59,experiment_2,2,crime,1,0.9012270403350411,0.8954583253021366,6.920760323
25786,2-5cdeaeb3557fbd00018a2c59-estate_5-implausible,5cdeaeb3557fbd00018a2c59,experiment_2,3,estate,1,0.8954583253021366,0.8521557458090854,6.919685062
25788,2-5cdeaeb3557fbd00018a2c59-finance_5-congruent,5cdeaeb3557fbd00018a2c59,experiment_2,1,finance,1,1.0,1.0,6.919597525
25794,2-5cf92c7255e1370001e54adb-crime_4-implausible,5cf92c7255e1370001e54adb,experiment_2,3,crime,1,0.8438262381113939,0.8719631200671041,12.50450199
25796,2-5cf92c7255e1370001e54adb-estate_4-incongruent,5cf92c7255e1370001e54adb,experiment_2,2,estate,1,0.8643353105061596,0.8984653834866381,12.3863545
25798,2-5cf92c7255e1370001e54adb-finance_4-congruent,5cf92c7255e1370001e54adb,experiment_2,1,finance,1,0.9216739550012043,0.8634952734420129,12.71891889
25802,2-5d29fbc8f91bdd0016e98503-crime_1-implausible,5d29fbc8f91bdd0016e98503,experiment_2,3,crime,1,0.6507848521152109,0.7226499018873855,13.93156857
25804,2-5d29fbc8f91bdd0016e98503-estate_1-congruent,5d29fbc8f91bdd0016e98503,experiment_2,1,estate,1,0.5654759053732592,0.5675744342448066,13.93156857
25806,2-5d29fbc8f91bdd0016e98503-finance_1-incongruent,5d29fbc8f91bdd0016e98503,experiment_2,2,finance,1,0.6194378024463063,0.5654759053732592,13.93156857
25810,2-5d36ff998129260015c6de19-crime_0-congruent,5d36ff998129260015c6de19,experiment_2,1,crime,1,1.0,0.8892302448756577,12.45669217
