,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
27597,4-576d8e821a48240001867c54-crime_1-incongruent,576d8e821a48240001867c54,experiment_4,2,crime,1,0.5708024623605239,0.6264563161811858,13.86415556
27601,4-576d8e821a48240001867c54-finance_1-congruent,576d8e821a48240001867c54,experiment_4,1,finance,1,1.0,0.7313646552413323,13.86415556
27607,4-57dd3b0e91b7fc0001493db9-crime_0-congruent,57dd3b0e91b7fc0001493db9,experiment_4,1,crime,1,1.0,0.785401231180262,12.44748582
27611,4-57dd3b0e91b7fc0001493db9-finance_0-incongruent,57dd3b0e91b7fc0001493db9,experiment_4,2,finance,1,0.8724846573873324,0.7697169067640808,12.40795573
27617,4-57fe48c390de420001673796-crime_1-incongruent,57fe48c390de420001673796,experiment_4,2,crime,1,1.0,1.0,7.953367448
27621,4-57fe48c390de420001673796-finance_1-congruent,57fe48c390de420001673796,experiment_4,1,finance,1,1.0,1.0,7.952756934
27627,4-5ab15ab4c42b630001cd36fb-crime_0-congruent,5ab15ab4c42b630001cd36fb,experiment_4,1,crime,1,1.0,0.7449693147746647,11.19983498
27631,4-5ab15ab4c42b630001cd36fb-finance_0-incongruent,5ab15ab4c42b630001cd36fb,experiment_4,2,finance,1,1.0,0.792768763753932,11.58919808
27637,4-5abc0d68436f550001ff83ff-crime_1-incongruent,5abc0d68436f550001ff83ff,experiment_4,2,crime,1,0.7690598923241496,0.6761248621843521,13.26619299
27641,4-5abc0d68436f550001ff83ff-finance_1-congruent,5abc0d68436f550001ff83ff,experiment_4,1,finance,1,1.0,0.7883963152424205,13.25540428
27647,4-5b06c34ed424fd0001eebda1-crime_1-incongruent,5b06c34ed424fd0001eebda1,experiment_4,2,crime,1,1.0,0.8475014296673953,7.730042788
27651,4-5b06c34ed424fd0001eebda1-finance_1-congruent,5b06c34ed424fd0001eebda1,experiment_4,1,finance,1,1.0,0.9129611720221511,7.354954811
27657,4-5b1e7a55c813a60001480313-crime_1-incongruent,5b1e7a55c813a60001480313,experiment_4,2,crime,1,0.8433479100024085,0.8423779187521798,9.270040366
27661,4-5b1e7a55c813a60001480313-finance_1-congruent,5b1e7a55c813a60001480313,experiment_4,1,finance,1,1.0,1.0,8.853733476
27667,4-5b58d79b71a4100001555c56-crime_0-congruent,5b58d79b71a4100001555c56,experiment_4,1,crime,1,0.9237507148336976,0.882148869802242,8.15439395
27671,4-5b58d79b71a4100001555c56-finance_0-incongruent,5b58d79b71a4100001555c56,experiment_4,2,finance,1,0.886039423540362,0.8651600275073517,7.456040728
27677,4-5b7af290db11320001c3ff1d-crime_0-congruent,5b7af290db11320001c3ff1d,experiment_4,1,crime,1,0.9216739550012043,0.9260778729045427,7.288637671
