,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8676,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,1,0.886039423540362,0.91695452014626,4.76134407
8700,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,1,1.0,0.9105572809000084,4.761344073
8724,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,1,0.8867722965855405,1.0,1.999293752
8748,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,1,0.9246221638555591,1.0,1.999293753
8772,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,1,0.9129611720221511,0.9129611720221511,11.4187271
8796,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,1,0.8817375208021835,0.5825764450316391,12.25634069
8820,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,1,0.5527864045000421,0.4979715941052706,13.93156857
8844,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,1,0.4861906968533949,0.4861906968533949,13.93156857
8868,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,1,0.5149287499273341,0.47209042006214363,13.93156857
8892,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,1,0.676770032422273,0.5755895576184717,13.93156857
8916,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,1,0.9221501055838477,0.8778305556436947,6.496555849
8940,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,1,0.9221501055838477,1.0,6.457631911
