,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2869,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,SA,0.8927887465162205,0.8356010126946427,2.088538574
2881,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,SA,0.9260778729045427,0.6564706382850973,2.088538574
2893,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,SA,0.8756459991565483,0.456442693495391,2.088538574
2917,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,SA,0.9163757989992909,0.7294991095997703,0.017289479
2929,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,SA,0.8726570920065974,0.6755571577384749,0.017289479
2941,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,SA,0.9216739550012043,0.6495616779747688,0.018270624
2965,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,SA,0.9264785377906193,0.8333333333333334,11.88793384
2977,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,SA,0.9241901956421097,0.8756459991565483,11.88789353
2989,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,SA,0.889903623487364,0.8960249510179927,11.88789309
3025,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,SA,0.9264785377906193,0.7548280407194038,11.46991139
3037,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,SA,0.9237507148336976,1.0,11.46991139
3049,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,SA,0.9216739550012043,0.8541350085021054,11.46991139
3061,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,SA,0.8564083682764524,0.7969307669732761,10.21703283
3073,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,SA,0.8927887465162205,0.8250364469440588,10.54508571
3085,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,SA,0.889903623487364,0.8960249510179927,10.21703283
3121,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,SA,0.8892302448756577,0.600613968128594,13.49773828
3133,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,SA,1.0,0.7247590587184098,13.49773661
3145,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,SA,0.8756459991565483,0.5812821053206881,13.49805075
3157,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,SA,1.0,0.8478548451374539,9.509775011
3169,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,SA,0.8954583253021366,0.9012270403350411,9.509775011
3181,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,SA,0.91695452014626,0.8927887465162205,9.509775011
3217,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,SA,0.8927887465162205,0.5344001537981173,13.1469027
