,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
1,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,1.0,0.8483803912842194,5.939857456862672
49,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,0.919417703597462,0.8825559560970593,4.7779450866899165
81,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,1.0,0.9105572809000084,4.761362146877358
113,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,0.8867722965855405,1.0,2.0444290677499506
145,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,0.9246221638555591,1.0,1.9992954559886151
177,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,1.0,1.0,9.508395375957017
209,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,0.8327515979985818,0.7697169067640808,9.766878298631948
241,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,0.5157658018884976,0.779136947850307,9.90682621763733
273,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,1.0,1.0,9.8911144348612
305,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.6570028297149824,0.8044204353205106,12.6690416692454
337,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,1.0,0.7635668781282698,12.789135371929822
369,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,0.9221501055838477,0.8778305556436947,5.141545619245426
401,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,0.9221501055838477,1.0,4.755262375853039
433,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,1.0,0.9157848078933482,9.049804806680308
465,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,1.0,0.913613157441864,9.049806100765162
497,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,CI,0.8852921330647191,0.8475014296673953,8.763281948871736
529,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,CI,0.9216739550012043,0.8643353105061596,8.715516098717407
561,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,CI,0.9221501055838477,0.9260778729045427,1.999293736757585
593,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,CI,0.9163757989992909,0.654452629767456,1.999293736757584
625,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,CI,0.8686935671402775,0.7738664915666773,8.563750370208009
657,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,CI,1.0,0.9199359230974564,8.563750370208009
689,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,CI,0.9163757989992909,0.8541350085021054,11.050197160725652
721,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,CI,0.6380131455997045,0.6253656753673225,11.055576161942964
753,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,CI,1.0,0.7556611112873896,12.090775838249773
785,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,CI,0.7268208176459234,0.7038255611204538,12.091043100136414
817,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,CI,1.0,0.7635668781282698,11.428068780745129
849,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,CI,0.8541350085021054,0.7435054119787115,11.428068780753232
881,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,CI,1.0,0.6475463115748793,13.23326362855251
913,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,CI,0.779136947850307,0.7566678683038561,13.23343832266492
