,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8677,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,RA,0.886039423540362,0.91695452014626,4.761362147
8701,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,RA,1.0,0.9105572809000084,4.761362147
8725,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,RA,0.8867722965855405,1.0,1.999295456
8749,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,RA,0.9246221638555591,1.0,1.999295456
8773,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,RA,1.0,1.0,9.508395376
8797,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,RA,0.9163757989992909,0.6518446880886043,9.508395376
8821,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,RA,0.91695452014626,0.5868030647293314,9.881713356
8845,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,RA,0.9105572809000084,0.9105572809000084,9.881713356
8869,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,RA,1.0,0.615889360201312,0.017289479
8893,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,RA,0.913613157441864,0.8069531643736639,0.017289479
8917,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,RA,0.889903623487364,0.850373599583855,4.625323576
8941,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,RA,0.889903623487364,0.9246221638555591,4.625323576
8965,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,RA,1.0,0.9157848078933482,9.049804645
8989,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,RA,0.91695452014626,0.8778305556436947,9.049804645
9013,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,RA,0.8852921330647191,0.8475014296673953,8.715516043
9037,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,RA,0.8892302448756577,0.8433479100024085,8.715516043
9061,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,RA,0.889903623487364,0.8954583253021366,1.999293737
9085,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,RA,0.9163757989992909,0.654452629767456,1.999293737
9109,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,RA,0.8927887465162205,0.8153627635310009,8.56375037
9133,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,RA,0.91695452014626,0.8867722965855405,8.56375037
9157,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,RA,0.9163757989992909,0.8541350085021054,9.758305645
9181,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,RA,0.8825559560970593,0.752202686108324,9.758305672
9205,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,RA,0.8921672267965616,0.827226314883728,12.09077584
9229,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,RA,0.913613157441864,0.7190242565254918,12.09077584
9253,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,RA,1.0,0.7635668781282698,11.42806878
9277,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,RA,0.8809017331649173,0.7309862065755148,11.42818947
9301,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,RA,0.8443002111676954,0.7051160876902057,13.2334875
9325,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,RA,1.0,0.7075511740671991,13.23326363
9349,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,RA,0.8686935671402775,0.6343212745693864,10.22360407
9373,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,RA,0.8433479100024085,0.8595121282627459,10.22360407
