,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8677,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,TA,0.886039423540362,0.91695452014626,4.761362147
8701,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,TA,1.0,0.9105572809000084,4.761362147
8725,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,TA,0.8867722965855405,1.0,1.999295456
8749,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,TA,0.9246221638555591,1.0,1.999295456
8773,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,TA,1.0,1.0,9.508395376
8797,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,TA,0.8551586351244197,0.6743305263605353,9.527829895
8821,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,TA,0.5157658018884976,0.779136947850307,9.906826218
8845,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,TA,1.0,1.0,9.891114435
8869,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,TA,0.6570028297149824,0.8044204353205106,12.66904167
8893,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,TA,1.0,0.7635668781282698,12.78913537
8917,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,TA,0.8443002111676954,0.913613157441864,6.19065083
8941,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,TA,1.0,0.9246221638555591,6.386968486
8965,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,TA,1.0,0.9157848078933482,9.049804645
8989,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,TA,0.91695452014626,0.8778305556436947,9.049804645
9013,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,TA,0.8595121282627459,0.9237507148336976,8.758492899
9037,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,TA,0.8892302448756577,0.8433479100024085,8.778517801
9061,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,TA,0.889903623487364,1.0,1.999293737
9085,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,TA,0.9163757989992909,0.654452629767456,1.999293737
9109,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,TA,0.8927887465162205,0.8153627635310009,9.226080835
9133,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,TA,0.91695452014626,0.8867722965855405,8.56375037
9157,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,TA,0.9163757989992909,0.8541350085021054,11.11684107
9181,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,TA,0.647667868291178,0.752202686108324,11.0664925
9205,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,TA,0.8295014151323816,0.7714418980430813,12.31528314
9229,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,TA,0.7714418980430813,0.7905730458541522,12.09077613
9253,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,TA,1.0,0.7635668781282698,11.42806878
9277,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,TA,0.8315696157866962,0.7075511740671991,11.52121285
9301,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,TA,1.0,0.6475463115748793,13.23326363
9325,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,TA,0.779136947850307,0.7566678683038561,13.23326363
9349,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,TA,0.8483803912842194,0.6423591511807046,10.22360407
9373,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,TA,0.8892302448756577,0.9188892894346188,10.32326467
9397,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,TA,1.0,0.913613157441864,7.164665248
9421,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,TA,1.0,0.9098330365332568,7.164665248
9445,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,TA,0.9163757989992909,0.9163757989992909,10.34402796
9469,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,TA,0.8817375208021835,0.919417703597462,10.34353048
9493,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,TA,0.8398718461949128,0.91695452014626,4.761385682
9517,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,TA,0.8817375208021835,0.9199359230974564,4.761392187
9541,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,TA,0.8347050987731784,0.5987823411711574,11.8878027
9565,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,TA,0.7909166506042733,0.4669399607319258,12.13804229
9589,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,TA,0.886039423540362,0.9163757989992909,9.242427388
9613,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,TA,0.8817375208021835,0.913613157441864,9.823351173
9637,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,TA,0.8356010126946427,0.9260778729045427,5.900134579
9661,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,TA,0.8483803912842194,0.9260778729045427,5.900134579
9685,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,TA,0.8619868881315291,0.779136947850307,12.01699351
9709,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,TA,0.9098330365332568,0.798380540363622,12.05962293
9733,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,TA,0.8686935671402775,0.8679323640511565,6.914304442
9757,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,TA,0.889903623487364,0.919417703597462,6.91431262
9781,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,TA,0.9129611720221511,0.9129611720221511,9.509775011
9805,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,TA,0.91695452014626,0.8438262381113939,9.509775011
9829,3_5e1b65eeb287dc38d94b694e_crime_incongruent,5e1b65eeb287dc38d94b694e,experiment_3,2,crime,TA,0.8809017331649173,0.8595121282627459,10.76521488
9853,3_5e1b65eeb287dc38d94b694e_finance_congruent,5e1b65eeb287dc38d94b694e,experiment_3,1,finance,TA,1.0,0.798380540363622,10.76521488
9877,3_5e31e6491faa251bf58151ce_crime_congruent,5e31e6491faa251bf58151ce,experiment_3,1,crime,TA,0.8356010126946427,0.9264785377906193,7.867871364
9901,3_5e31e6491faa251bf58151ce_finance_incongruent,5e31e6491faa251bf58151ce,experiment_3,2,finance,TA,0.9142507074287456,0.913613157441864,7.867621801
9925,3_5e3b5fa9255e7a37bc841135_crime_congruent,5e3b5fa9255e7a37bc841135,experiment_3,1,crime,TA,0.9163757989992909,0.9163757989992909,5.90013411
9949,3_5e3b5fa9255e7a37bc841135_finance_incongruent,5e3b5fa9255e7a37bc841135,experiment_3,2,finance,TA,0.919417703597462,0.8198125074608882,5.90013411
9973,3_5e7d3b58d638273c7f823c7b_crime_incongruent,5e7d3b58d638273c7f823c7b,experiment_3,2,crime,TA,0.9211889593760899,0.8927887465162205,4.761386691
9997,3_5e7d3b58d638273c7f823c7b_finance_congruent,5e7d3b58d638273c7f823c7b,experiment_3,1,finance,TA,0.889903623487364,0.919417703597462,4.761386691
