,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
10,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,0.6953961504599143,0.7163456855344124,13.509787204246413
58,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,0.8026144915120693,0.7802823127989794,11.99997707993684
90,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,0.8787321874818335,0.9105572809000084,11.99997707993684
122,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,0.8867722965855405,0.886039423540362,9.509583422120633
154,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,0.7388835160664533,0.7418011102528389,9.509583422120633
186,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,0.8492443277111181,0.8492443277111181,10.226544898853628
218,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,0.8551586351244197,0.7538170180413345,10.226544898853628
250,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,0.7508635604387801,0.8438262381113939,10.22654489885363
282,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,0.8,0.8,10.22654489885363
314,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.757464374963667,0.7137008328430658,13.687350440893931
346,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,0.7883963152424205,0.7635668781282698,13.687350440893931
378,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,0.8093074821508816,0.913613157441864,5.900091051205887
410,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,0.8093074821508816,0.75,5.900091051205887
442,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,0.8769085090206673,0.9157848078933482,8.725246316378351
474,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,0.8561610095543848,0.8778305556436947,9.312522767625316
506,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,CI,0.8852921330647191,0.8132281580905929,12.654642593805056
538,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,CI,0.8643353105061596,0.8643353105061596,12.469854862066766
570,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,CI,0.7940285397822251,0.8044204353205106,10.038095782617454
602,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,CI,0.8551586351244197,0.7268208176459234,9.509774944326937
634,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,CI,0.8483803912842194,0.7867992836443896,10.22660401754979
666,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,CI,0.7005752641918288,0.7226499018873855,10.22660401754979
698,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,CI,0.7491273969978728,0.8541350085021054,9.509775124326932
730,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,CI,0.7802823127989794,0.8126828376836612,10.038095948467076
762,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,CI,0.7250792926154213,0.688527809631206,13.509787204246413
794,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,CI,0.850373599583855,0.7190242565254918,13.509787204246413
826,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,CI,0.8367006838144548,0.7158427519578168,13.22649541805952
