,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8686,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,SA,0.886039423540362,0.8561610095543848,12.29246103
8710,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,SA,0.8514778685534988,0.8735088935932649,11.99997708
8734,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,SA,0.8398718461949128,0.886039423540362,9.509583422
8758,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,SA,0.8492443277111181,0.8651600275073517,9.509583422
8782,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,SA,0.9129611720221511,0.9129611720221511,10.84215577
8806,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,SA,0.9163757989992909,0.6984886554222364,10.69591093
8830,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,SA,0.91695452014626,0.6069713182025425,10.69591093
8854,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,SA,0.8735088935932649,0.8735088935932649,11.16527696
8878,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,SA,0.757464374963667,0.7137008328430658,13.68735044
8902,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,SA,0.7883963152424205,0.7635668781282698,13.68735044
8926,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,SA,0.8651600275073517,0.8778305556436947,5.900091051
8950,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,SA,0.8651600275073517,0.8492443277111181,5.900091051
8974,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,SA,0.9129611720221511,0.8315696157866962,8.725246316
8998,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,SA,0.8561610095543848,0.8778305556436947,8.725246316
9022,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,SA,0.8852921330647191,0.8475014296673953,12.46985486
9046,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,SA,0.792768763753932,0.7402218974265015,12.46985486
9070,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,SA,0.8443002111676954,0.8521557458090854,9.509774944
9094,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,SA,0.8817375208021835,0.6438179234692023,9.509774944
9118,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,SA,0.8927887465162205,0.8492443277111181,10.69596496
9142,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,SA,0.8561610095543848,0.8398718461949128,10.22660402
9166,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,SA,0.8817375208021835,0.8809017331649173,9.509775124
9190,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,SA,0.8561610095543848,0.8675467642934956,9.509775124
9214,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,SA,0.7982633538035178,0.688527809631206,13.5097872
9238,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,SA,0.8778305556436947,0.7705842661294382,13.5097872
9262,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,SA,0.6258342613226059,0.726990546884026,13.31151524
9286,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,SA,0.8315696157866962,0.7566678683038561,13.22649542
9310,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,SA,0.8651600275073517,0.7635668781282698,13.68752154
9334,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,SA,0.8724846573873324,0.7309862065755148,13.68752154
9358,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,SA,0.7855774930324411,0.7147012989212722,8.725246316
9382,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,SA,0.8643353105061596,0.8852921330647191,8.725246316
9406,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,SA,0.8561610095543848,0.8778305556436947,6.929830431
9430,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,SA,0.850373599583855,0.8724846573873324,6.929830431
9454,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,SA,0.8551586351244197,0.8551586351244197,11.47001811
9478,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,SA,0.8551586351244197,0.838835407194924,11.47001811
9502,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,SA,0.8613249509436928,0.796580948913757,12.46985486
9526,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,SA,0.9163757989992909,0.8398718461949128,12.46985486
9550,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,SA,0.7548280407194038,0.8438262381113939,13.6877454
9574,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,SA,0.8521557458090854,0.5564672374272563,13.6877454
9598,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,SA,0.8026144915120693,0.8551586351244197,10.87944433
