,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8678,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,RA,0.886039423540362,0.91695452014626,8.22071141
8702,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,RA,0.8082587527881574,0.7809109769979335,8.231004268
8726,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,RA,0.8867722965855405,1.0,2.54908005
8750,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,RA,0.8492443277111181,0.9221501055838477,2.54907234
8774,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,RA,1.0,1.0,10.72639959
8798,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,RA,0.9163757989992909,0.6518446880886043,10.66869509
8822,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,RA,0.91695452014626,0.5868030647293314,4.444420467
8846,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,RA,0.9105572809000084,0.9105572809000084,4.444199159
8870,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,RA,1.0,0.615889360201312,0.085154935
8894,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,RA,0.676770032422273,0.6388424407426925,0.059553456
8918,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,RA,0.8651600275073517,0.827226314883728,4.36404675
8942,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,RA,0.889903623487364,0.9246221638555591,4.171378148
8966,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,RA,0.6861770427695761,0.6427051994947518,8.011002331
8990,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,RA,0.91695452014626,0.8778305556436947,8.154658761
9014,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,RA,0.8595121282627459,0.7982633538035178,5.967146555
9038,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,RA,0.8643353105061596,0.8248576389739852,6.493022003
9062,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,RA,0.8093074821508816,0.8954583253021366,3.905472312
9086,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,RA,0.7951633774003244,0.6041257549291091,3.969306346
9110,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,RA,0.8927887465162205,0.8153627635310009,8.250796921
9134,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,RA,0.91695452014626,0.8867722965855405,8.294394301
9158,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,RA,0.9163757989992909,0.8541350085021054,10.04852552
9182,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,RA,0.6380131455997045,0.7038255611204538,10.09680106
9206,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,RA,0.8679323640511565,0.850373599583855,12.00692868
9230,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,RA,0.913613157441864,0.7190242565254918,11.99809814
9254,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,RA,0.8585786437626906,0.726990546884026,13.31126122
9278,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,RA,0.9157848078933482,0.7190242565254918,13.17855262
9302,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,RA,0.7940285397822251,0.6947661521663201,12.37969686
9326,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,RA,1.0,0.7075511740671991,12.42989129
9350,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,RA,0.8927887465162205,0.6423591511807046,10.48885125
9374,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,RA,0.8643353105061596,0.8852921330647191,10.78667953
9398,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,RA,0.91695452014626,0.8778305556436947,2.909248853
9422,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,RA,0.7883963152424205,0.7614406381931511,2.90922488
9446,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,RA,0.8817375208021835,1.0,8.488322486
9470,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,RA,0.9163757989992909,0.886039423540362,8.389169089
9494,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,RA,0.9199359230974564,0.83390904029252,5.170471708
9518,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,RA,0.8817375208021835,0.9199359230974564,5.16631553
9542,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,RA,0.8719631200671041,0.6955612921633185,12.1185273
9566,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,RA,0.8719631200671041,0.45177883287177634,12.1187804
9590,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,RA,0.886039423540362,0.9163757989992909,7.478158343
