,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2871,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,RA,0.8483803912842194,0.8356010126946427,0.416558353
2883,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,RA,0.8719631200671041,0.7386133489130333,0.386650087
2895,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,RA,0.8394596752330161,0.5153883154024401,1.6594938
2919,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,RA,0.9163757989992909,0.7294991095997703,0.036769221
2931,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,RA,0.8529570755812385,0.6893696279013022,0.408291432
2943,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,RA,0.8643353105061596,0.7038255611204538,0.048734181
2967,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,RA,0.8960249510179927,0.8478548451374539,9.064039002
2979,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,RA,0.8686935671402775,0.8756459991565483,9.656837401
2991,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,RA,0.8651600275073517,0.8726570920065974,10.17698562
3027,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,RA,0.8054804949681451,0.7548280407194038,10.13606031
3039,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,RA,0.8679323640511565,0.8885443574849294,10.14930317
3051,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,RA,0.8081411561826762,0.8315696157866962,10.10601899
3063,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,RA,0.7411365045466037,0.8756459991565483,8.572193781
3075,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,RA,0.8686935671402775,0.7857142857142857,8.817003613
3087,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,RA,0.7538170180413345,0.8199099324437007,8.978459324
3123,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,RA,0.8643353105061596,0.6083697750060213,13.160066
3135,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,RA,1.0,0.7247590587184098,13.10462456
3147,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,RA,0.8241368854718353,0.589109298193341,13.11059284
3159,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,RA,0.8634952734420129,0.9037749551350623,7.314454332
3171,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,RA,0.818928507914963,0.8603139408460844,7.953395696
3183,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,RA,0.8825559560970593,0.9241901956421097,7.679469922
3219,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,RA,0.8686935671402775,0.5903267548006488,11.17604935
3231,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,RA,1.0,0.8514778685534988,11.13819062
3243,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,RA,0.8756459991565483,0.526334533284329,11.21785203
3255,2_5c9124ef3b7f9e0013728485_crime_congruent,5c9124ef3b7f9e0013728485,experiment_2,1,crime,RA,0.8927887465162205,0.8719631200671041,11.14101802
3267,2_5c9124ef3b7f9e0013728485_estate_implausible,5c9124ef3b7f9e0013728485,experiment_2,3,estate,RA,0.8571428571428572,0.8475014296673953,10.77836135
3279,2_5c9124ef3b7f9e0013728485_finance_incongruent,5c9124ef3b7f9e0013728485,experiment_2,2,finance,RA,0.8005689911956335,0.8954583253021366,11.25518883
3315,2_5cae09506d573900175d4727_crime_incongruent,5cae09506d573900175d4727,experiment_2,2,crime,RA,0.7538170180413345,0.6631392315733924,12.35108882
