,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
2871,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,SA,0.9241901956421097,0.8960249510179927,0.948547778
2883,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,SA,0.8719631200671041,0.6388424407426925,2.521226751
2895,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,SA,0.8984653834866381,0.49248078107744764,0.668004729
2919,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,SA,0.6354905586035762,0.6507848521152109,0.322434041
2931,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,SA,0.8726570920065974,0.6755571577384749,0.034669142
2943,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,SA,0.8892302448756577,0.6893696279013022,0.019757825
2967,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,SA,0.8960249510179927,0.819979425044226,9.947093497
2979,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,SA,0.8927887465162205,0.8984653834866381,10.05857653
2991,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,SA,0.9221501055838477,0.9264785377906193,9.677807107
3027,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,SA,0.9264785377906193,0.7548280407194038,10.16201023
3039,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,SA,0.9237507148336976,1.0,10.92550966
3051,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,SA,0.8248576389739852,0.6738359634732789,10.79692522
3063,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,SA,0.7512919983130966,0.8564083682764524,8.522410543
3075,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,SA,0.8686935671402775,0.7857142857142857,9.02737078
3087,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,SA,0.7418011102528389,0.75615689581319,10.04920851
3123,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,SA,0.8892302448756577,0.600613968128594,13.27065566
3135,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,SA,1.0,0.7247590587184098,13.10516207
3147,2_5badf0aeae1d020001df2cc7_finance_implausible,5badf0aeae1d020001df2cc7,experiment_2,3,finance,SA,0.8756459991565483,0.49676372025980353,13.17789229
3159,2_5c6d938c79151c00017c7560_crime_congruent,5c6d938c79151c00017c7560,experiment_2,1,crime,SA,1.0,0.8478548451374539,6.501216957
3171,2_5c6d938c79151c00017c7560_estate_implausible,5c6d938c79151c00017c7560,experiment_2,3,estate,SA,0.8954583253021366,0.9012270403350411,7.254773579
3183,2_5c6d938c79151c00017c7560_finance_incongruent,5c6d938c79151c00017c7560,experiment_2,2,finance,SA,0.91695452014626,0.8927887465162205,6.635841978
3219,2_5c74f0d525c76b0010706736_crime_incongruent,5c74f0d525c76b0010706736,experiment_2,2,crime,SA,0.9241901956421097,0.5419713875856556,11.64485832
3231,2_5c74f0d525c76b0010706736_estate_congruent,5c74f0d525c76b0010706736,experiment_2,1,estate,SA,1.0,0.8514778685534988,11.41933108
3243,2_5c74f0d525c76b0010706736_finance_implausible,5c74f0d525c76b0010706736,experiment_2,3,finance,SA,0.7618802172690495,0.5129892329942929,11.46031449
