,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
3,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,1.0,0.8483803912842194,7.575580366026424
51,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,0.886039423540362,0.91695452014626,8.473848669216085
83,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,0.757464374963667,0.7316718427000253,8.590715134783197
115,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,0.8209712814901418,0.919417703597462,2.8940217729044475
147,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,0.5604754635042337,0.5527864045000421,2.570864169638745
179,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,1.0,1.0,11.210420928421367
211,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,0.8817375208021835,0.7113248654051871,10.758914210991597
243,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,0.5157658018884976,0.779136947850307,10.645696495942436
275,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,1.0,1.0,10.645696495942436
307,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.6570028297149824,0.8044204353205106,13.653001602066166
339,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,1.0,0.7635668781282698,13.687330410300849
371,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,0.6186149643017631,0.6041257549291091,4.047987963280686
403,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,0.6606601774746808,0.6464466094067263,7.897292779317311
435,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,0.8259223440443022,0.8541350085021054,9.071309157009043
467,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,0.7802823127989794,0.827226314883728,10.005255888740331
499,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,CI,0.7566678683038561,0.7471097305705634,5.990735412515568
531,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,CI,0.7069307751534678,0.686695820004817,6.579772664400918
563,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,CI,0.8259223440443022,0.8719631200671041,4.978550107299741
595,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,CI,0.8130106019983085,0.5948097922239335,4.295238861955221
627,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,CI,0.7855774930324411,0.7179619625911169,8.280664284522441
659,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,CI,0.91695452014626,0.8867722965855405,8.988565080679923
691,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,CI,1.0,0.8809017331649173,11.125285613362363
723,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,CI,0.647667868291178,0.6138357771393835,11.118997364036437
755,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,CI,0.7358647281023128,0.676770032422273,12.615819042084574
787,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,CI,0.740839472325592,0.6893696279013022,13.314933586580183
819,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,CI,0.8845299461620748,0.7386133489130333,13.12125851712982
851,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,CI,0.7937157507482413,0.6110066973922504,13.19387210378454
883,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,CI,0.7418011102528389,0.6947661521663201,13.101420618693318
915,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,CI,0.7148670257438995,0.6858595687812283,12.528352538926807
947,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,CI,0.8143046618229481,0.5965267076070355,10.276278763334725
979,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,CI,1.0,0.8595121282627459,10.69456777728831
1011,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,CI,0.7373871342805549,0.7134872564111572,3.5952032754622385
1043,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,CI,0.8778305556436947,0.8438262381113939,4.679608153198087
1075,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,CI,0.7226499018873854,0.7491273969978728,9.353331355097003
1107,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,CI,0.8551586351244197,0.886039423540362,9.260826952844427
1139,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,CI,0.9199359230974564,0.83390904029252,5.20590751734283
1171,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,CI,0.8551586351244197,0.8398718461949128,6.832560973388008
1203,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,CI,0.8347050987731784,0.5751614366867707,12.498448479931312
1235,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,CI,0.8719631200671041,0.45177883287177634,12.619197562107344
1267,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,CI,0.7094563984260118,0.763475041604367,8.619944146228503
1299,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,CI,0.8551586351244197,0.8778305556436947,7.578308812619952
