,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
17234,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,SA,0.838835407194924,0.7508635604387801,9.65215433
17242,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,SA,1.0,0.9105572809000084,9.152644958
17250,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,SA,0.8867722965855405,1.0,3.658188096
17258,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,SA,1.0,0.9221501055838477,3.556289962
17266,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,SA,0.9129611720221511,0.9129611720221511,10.03365767
17274,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,SA,1.0,0.6411297187173632,9.549940974
17282,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,SA,1.0,0.5967610807272441,8.961145822
17290,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,SA,1.0,1.0,8.06869202
17298,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,SA,0.8787321874818335,0.6019171626970194,1.81e-08
17306,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,SA,0.8068331476784361,0.7051160876902057,1.72e-14
17314,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,SA,0.889903623487364,0.850373599583855,4.864680237
17322,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,SA,0.9221501055838477,1.0,4.878123135
17330,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,SA,1.0,0.9157848078933482,9.348051973
17338,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,SA,1.0,0.913613157441864,10.07531874
