,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
19334,4-576d8e821a48240001867c54-crime_1-incongruent,576d8e821a48240001867c54,experiment_4,2,crime,TA,0.7190242565254918,0.6590028302647633,13.91144576
19350,4-576d8e821a48240001867c54-finance_1-congruent,576d8e821a48240001867c54,experiment_4,1,finance,TA,0.6307255270620018,0.5237604345380991,13.89078808
19374,4-57dd3b0e91b7fc0001493db9-crime_0-congruent,57dd3b0e91b7fc0001493db9,experiment_4,1,crime,TA,0.5162205531531032,0.5411685322588764,13.93156857
19390,4-57dd3b0e91b7fc0001493db9-finance_0-incongruent,57dd3b0e91b7fc0001493db9,experiment_4,2,finance,TA,0.5675744342448066,0.5394338135281617,13.93156857
19414,4-57fe48c390de420001673796-crime_1-incongruent,57fe48c390de420001673796,experiment_4,2,crime,TA,0.9098330365332568,0.9098330365332568,9.62908391
19430,4-57fe48c390de420001673796-finance_1-congruent,57fe48c390de420001673796,experiment_4,1,finance,TA,0.7787511605656451,0.7787511605656451,9.672237246
19454,4-5ab15ab4c42b630001cd36fb-crime_0-congruent,5ab15ab4c42b630001cd36fb,experiment_4,1,crime,TA,0.7614406381931511,0.8438262381113939,12.47943664
19470,4-5ab15ab4c42b630001cd36fb-finance_0-incongruent,5ab15ab4c42b630001cd36fb,experiment_4,2,finance,TA,0.6581182706210862,0.7650218650036128,12.4983526
19494,4-5abc0d68436f550001ff83ff-crime_1-incongruent,5abc0d68436f550001ff83ff,experiment_4,2,crime,TA,0.5527864045000421,0.4516394427939764,13.93156857
19510,4-5abc0d68436f550001ff83ff-finance_1-congruent,5abc0d68436f550001ff83ff,experiment_4,1,finance,TA,0.4777670321329065,0.4674757380623501,13.93156857
19534,4-5b06c34ed424fd0001eebda1-crime_1-incongruent,5b06c34ed424fd0001eebda1,experiment_4,2,crime,TA,0.9129611720221511,0.8295014151323816,8.361378341
19550,4-5b06c34ed424fd0001eebda1-finance_1-congruent,5b06c34ed424fd0001eebda1,experiment_4,1,finance,TA,0.798380540363622,0.8769085090206673,7.872456899
19574,4-5b1e7a55c813a60001480313-crime_1-incongruent,5b1e7a55c813a60001480313,experiment_4,2,crime,TA,0.8433479100024085,0.8069531643736639,7.443334017
19590,4-5b1e7a55c813a60001480313-finance_1-congruent,5b1e7a55c813a60001480313,experiment_4,1,finance,TA,0.9105572809000084,0.9105572809000084,6.570837643
19614,4-5b58d79b71a4100001555c56-crime_0-congruent,5b58d79b71a4100001555c56,experiment_4,1,crime,TA,0.8475014296673953,0.9037749551350623,4.55271528
19630,4-5b58d79b71a4100001555c56-finance_0-incongruent,5b58d79b71a4100001555c56,experiment_4,2,finance,TA,0.919417703597462,0.889903623487364,4.934161876
19654,4-5b7af290db11320001c3ff1d-crime_0-congruent,5b7af290db11320001c3ff1d,experiment_4,1,crime,TA,0.8643353105061596,0.9260778729045427,6.721052163
19670,4-5b7af290db11320001c3ff1d-finance_0-incongruent,5b7af290db11320001c3ff1d,experiment_4,2,finance,TA,0.886039423540362,0.7451764042811873,6.871548576
19694,4-5b8c8e7d0c740e00019d55c3-crime_1-incongruent,5b8c8e7d0c740e00019d55c3,experiment_4,2,crime,TA,0.8196660730665135,0.850373599583855,8.226599856
19710,4-5b8c8e7d0c740e00019d55c3-finance_1-congruent,5b8c8e7d0c740e00019d55c3,experiment_4,1,finance,TA,1.0,0.8817375208021835,8.163535471
19734,4-5ba57e0438803d0001264be3-crime_1-incongruent,5ba57e0438803d0001264be3,experiment_4,2,crime,TA,0.8492443277111181,0.8356010126946427,9.657683513
19750,4-5ba57e0438803d0001264be3-finance_1-congruent,5ba57e0438803d0001264be3,experiment_4,1,finance,TA,0.919417703597462,0.919417703597462,9.892533239
19774,4-5bb511c6689fc5000149c703-crime_1-incongruent,5bb511c6689fc5000149c703,experiment_4,2,crime,TA,0.9129611720221511,0.8604273684402294,9.08716493
19790,4-5bb511c6689fc5000149c703-finance_1-congruent,5bb511c6689fc5000149c703,experiment_4,1,finance,TA,0.91695452014626,1.0,9.997371637
