,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,1.0,0.8483803912842194,6.37303553756957
63,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,0.919417703597462,0.8825559560970593,8.326223337990184
95,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,0.7427521222862368,0.717157287525381,8.339296406781587
127,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,0.8209712814901418,0.919417703597462,5.312369814279518
159,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,0.5604754635042337,0.5527864045000421,5.304195007475283
191,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,0.9129611720221511,0.9129611720221511,11.447090873062468
223,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,0.9163757989992909,0.6518446880886043,10.62934509154348
255,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,0.5157658018884976,0.779136947850307,12.719980552359631
287,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,1.0,1.0,12.719980552359637
319,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.6570028297149824,0.8044204353205106,12.438735163898906
351,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,1.0,0.7635668781282698,12.565231309735404
383,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,0.8259223440443022,0.7268208176459234,6.7891771699001335
415,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,0.889903623487364,0.9246221638555591,7.12037779758709
447,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,0.8259223440443022,0.8541350085021054,9.46951318513129
479,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,0.7802823127989794,0.827226314883728,11.14681989402623
511,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,CI,0.7566678683038561,0.7471097305705634,8.35920104468929
543,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,CI,0.6966445321453714,0.6966445321453714,8.078750211721836
575,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,CI,0.8093074821508816,0.8521557458090854,5.127648844089557
607,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,CI,0.8130106019983085,0.5948097922239335,3.417593261269668
639,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,CI,0.7855774930324411,0.7179619625911169,7.86807009535569
671,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,CI,0.8825559560970593,0.9199359230974564,8.651202712215344
703,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,CI,1.0,0.8809017331649173,9.579454591977942
735,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,CI,0.647667868291178,0.6138357771393835,9.549224488056735
767,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,CI,0.758878588914794,0.676770032422273,13.402679009609162
799,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,CI,0.8068331476784361,0.8377785788692375,13.572863637141584
831,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,CI,0.8585786437626906,0.726990546884026,11.727726445426416
863,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,CI,0.8809017331649173,0.7075511740671991,12.176211661911143
895,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,CI,0.7418011102528389,0.6947661521663201,12.811417308208004
927,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,CI,0.7009500136951298,0.7190242565254918,12.516264913067763
959,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,CI,0.8143046618229481,0.5965267076070355,11.366596065750675
991,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,CI,1.0,0.8595121282627459,11.14849280079402
1023,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,CI,0.8143046618229481,0.7883963152424205,6.510327144352498
1055,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,CI,0.7883963152424205,0.7614406381931511,5.26568135120115
1087,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,CI,0.8327515979985818,0.8817375208021835,10.959892478292192
1119,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,CI,0.8551586351244197,0.886039423540362,10.44307210476058
1151,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,CI,0.9199359230974564,0.83390904029252,5.571898603212025
1183,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,CI,0.9163757989992909,0.8867722965855405,5.621488723195698
1215,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,CI,0.8521557458090854,0.5809418225382531,11.443703541282693
1247,3_5d470786da637a00014ba26f_finance_incongruent,5d470786da637a00014ba26f,experiment_3,2,finance,CI,0.8521557458090854,0.41793658918666754,11.313997383336678
1279,3_5d67b6d92b7448000173d95a_crime_congruent,5d67b6d92b7448000173d95a,experiment_3,1,crime,CI,0.613540882691779,0.6655031959971637,10.035729076361632
1311,3_5d67b6d92b7448000173d95a_finance_incongruent,5d67b6d92b7448000173d95a,experiment_3,2,finance,CI,0.8551586351244197,0.8778305556436947,9.33208095007828
1343,3_5d70ec2138ac7e00012f817b_crime_incongruent,5d70ec2138ac7e00012f817b,experiment_3,2,crime,CI,0.6968632455608659,0.6777809182993317,8.3934563890004
1375,3_5d70ec2138ac7e00012f817b_finance_congruent,5d70ec2138ac7e00012f817b,experiment_3,1,finance,CI,0.772570586926329,0.743926240134208,8.703926746844882
1407,3_5dafea4de40355001651fa2f_crime_incongruent,5dafea4de40355001651fa2f,experiment_3,2,crime,CI,0.6619382981085934,0.5967610807272441,13.191679476466998
1439,3_5dafea4de40355001651fa2f_finance_congruent,5dafea4de40355001651fa2f,experiment_3,1,finance,CI,0.7614406381931511,0.7294991095997703,13.262764292505492
1471,3_5dde680c40460edc4a5dc1a2_crime_congruent,5dde680c40460edc4a5dc1a2,experiment_3,1,crime,CI,0.8483803912842194,1.0,9.574615451100325
1503,3_5dde680c40460edc4a5dc1a2_finance_incongruent,5dde680c40460edc4a5dc1a2,experiment_3,2,finance,CI,0.8093074821508816,0.8198125074608882,8.564656830551085
1535,3_5de2b59d8fde1c2eb47f92d8_crime_congruent,5de2b59d8fde1c2eb47f92d8,experiment_3,1,crime,CI,0.5825764450316391,0.5825764450316391,10.675364846090927
1567,3_5de2b59d8fde1c2eb47f92d8_finance_incongruent,5de2b59d8fde1c2eb47f92d8,experiment_3,2,finance,CI,0.8825559560970593,0.8196660730665135,10.967656974175313
