,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
17235,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,RA,0.5970885179873099,0.647667868291178,8.446843345
17243,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,RA,0.5149287499273341,0.5527864045000421,
17251,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,RA,0.7226499018873855,0.7451764042811873,5.300787534
17259,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,RA,0.6385005972593893,0.6348516283298893,6.000011477
17267,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,RA,0.6206065446803359,0.6206065446803359,10.2820018
17275,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,RA,0.4777670321329065,0.591751709536137,10.27664044
17283,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,RA,0.6104821725119189,0.4742407735211466,2.263154794
17291,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,RA,0.4861906968533949,0.4861906968533949,
17299,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,RA,0.8514778685534988,0.6230696314539774,1.1e-34
17307,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,RA,0.7268208176459234,0.7635668781282698,1.29e-40
17315,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,RA,0.5527864045000421,0.5268397765926162,
17323,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,RA,0.37235408553915217,0.3603978509331688,7.093314248
