,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8,3_566feba6b937e400052d33b2_finance_congruent,566feba6b937e400052d33b2,experiment_3,1,finance,CI,1.0,0.8483803912842194,13.931458648941756
56,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,CI,1.0,0.8561610095543848,13.930334803376596
88,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,CI,1.0,0.9105572809000084,13.930334803376596
120,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,CI,1.0,0.886039423540362,13.929832559109707
152,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,CI,1.0,0.9221501055838477,13.92983255910971
184,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,CI,1.0,1.0,13.931102721248967
216,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,CI,1.0,0.6411297187173632,13.931102721248958
248,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,CI,1.0,0.5967610807272441,13.9312267848672
280,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,CI,1.0,1.0,13.931258345178405
312,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,CI,0.5149287499273341,0.47209042006214363,13.931568569324174
344,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,CI,0.676770032422273,0.5755895576184717,13.931568569324174
376,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,CI,1.0,0.8068331476784361,13.930924343202468
408,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,CI,1.0,0.9246221638555591,13.930924343202468
440,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,CI,1.0,0.9157848078933482,13.929824334196187
472,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,CI,1.0,0.913613157441864,13.929824334196187
504,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,CI,1.0,0.8921672267965616,13.931407763549458
536,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,CI,1.0,0.8433479100024085,13.931407763549457
568,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,CI,1.0,0.8954583253021366,13.930679439637364
600,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,CI,1.0,0.6438179234692023,13.930679439637364
632,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,CI,1.0,0.8933996418221948,13.929063343770787
664,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,CI,1.0,0.9199359230974564,13.929063343770787
696,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,CI,1.0,0.8809017331649173,13.930679439714096
728,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,CI,1.0,0.752202686108324,13.930679439714096
