,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
1650,3-56cb8858edf8da000b6df354-crime_0-congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,OA,1.0,0.8561610095543848,13.9303348
1652,3-56cb8858edf8da000b6df354-finance_0-incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,OA,1.0,0.9105572809000084,13.9303348
1654,3-571de12713b1b70012be47f6-crime_1-incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,OA,1.0,0.886039423540362,13.92983256
1656,3-571de12713b1b70012be47f6-finance_1-congruent,571de12713b1b70012be47f6,experiment_3,1,finance,OA,1.0,0.9221501055838477,13.92983256
1658,3-572f526c3c27e7000e0b8aaa-crime_0-congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,OA,1.0,1.0,13.93110272
1660,3-572f526c3c27e7000e0b8aaa-finance_0-incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,OA,1.0,0.6411297187173632,13.93110272
1662,3-5831960ab232860001b110dc-crime_1-incongruent,5831960ab232860001b110dc,experiment_3,2,crime,OA,1.0,0.5967610807272441,13.93122677
1664,3-5831960ab232860001b110dc-finance_1-congruent,5831960ab232860001b110dc,experiment_3,1,finance,OA,1.0,1.0,13.93122677
1666,3-594abd98215cbd000146debc-crime_1-incongruent,594abd98215cbd000146debc,experiment_3,2,crime,OA,0.5149287499273341,0.47209042006214363,13.93156857
1668,3-594abd98215cbd000146debc-finance_1-congruent,594abd98215cbd000146debc,experiment_3,1,finance,OA,0.676770032422273,0.5755895576184717,13.93156857
1670,3-5acc65f668b65b00018db322-crime_1-incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,OA,1.0,0.8068331476784361,13.93092434
1672,3-5acc65f668b65b00018db322-finance_1-congruent,5acc65f668b65b00018db322,experiment_3,1,finance,OA,1.0,0.9246221638555591,13.93092434
1674,3-5b339152afe1d00001c6c509-crime_1-incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,OA,1.0,0.9157848078933482,13.92982433
1676,3-5b339152afe1d00001c6c509-finance_1-congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,OA,1.0,0.913613157441864,13.92982433
1678,3-5b84a7ea4f38790001778d53-crime_1-incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,OA,1.0,0.8921672267965616,13.93140776
1680,3-5b84a7ea4f38790001778d53-finance_1-congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,OA,1.0,0.8433479100024085,13.93140776
1682,3-5c018eb6067bbf00019ba43d-crime_0-congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,OA,1.0,0.8954583253021366,13.93067944
1684,3-5c018eb6067bbf00019ba43d-finance_0-incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,OA,1.0,0.6438179234692023,13.93067944
1686,3-5c06fc4918ac7e00016bf76d-crime_1-incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,OA,1.0,0.8933996418221948,13.92906334
