utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,56da8da8c5b248000ae2adaf,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.  0.  0.5],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,0.0001176392819545,12.986186134045589,
1-56da8da8c5b248000ae2adaf-collider_2-generic_1,56da8da8c5b248000ae2adaf,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[ 0 -1  0 -1  0  0],[ 0.  -0.5  0.  -1.   0.   0. ],[0.  0.5 0.  0.5 0.  0. ],,13.931568569324178,0.0001022223722107,12.986185875967983,
1-56da8da8c5b248000ae2adaf-crime_4-label,56da8da8c5b248000ae2adaf,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.   0.   0.   0.5],[-0.5  0.   0.5 -0.5  0.   0. ],[-0.5  0.5  0.5 -0.5  0.  -0.5],13.931568569324178,0.0074865784506872,12.986429675919984,
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,56da8da8c5b248000ae2adaf,experiment_1,generic_2,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],[1.  0.5 0.  0.5 0.  0.5],,13.931568569324178,1.1594471209375306e-05,12.98618389241464,
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,57e91ff08dcd2c00014bea18,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,0.0010700318676301,12.986213421149865,
1-57e91ff08dcd2c00014bea18-collider_2-generic_1,57e91ff08dcd2c00014bea18,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],[ 0. -1.  0. -1.  0.  0.],,13.931568569324178,0.0030904619972885,12.986282225980164,
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,57e91ff08dcd2c00014bea18,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.   0.   1.  -0.5  0.5  0.5],[-1.  -0.5  0.5 -0.5  0.   0. ],,13.931568569324178,0.0080292519821113,12.986445360519513,
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,57e91ff08dcd2c00014bea18,experiment_1,generic_3,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[1.  0.5 0.  1.  0.  0. ],,13.931568569324178,0.0001200205563387,12.986186350442896,
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,5999ad2a0ed7ae0001991b57,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 1.],[ 1.   1.   0.  -0.5  0.   0. ],,13.931568569324178,2.716584638499539e-07,12.986183675483597,
1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,5999ad2a0ed7ae0001991b57,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[0.  0.5 0.5 1.  0.  0. ],,13.931568569324178,4.373146398538819e-06,12.986183750162736,
1-5999ad2a0ed7ae0001991b57-crime_3-label,5999ad2a0ed7ae0001991b57,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -1.  -0.5  0.5],[-1.  -0.5  1.  -1.   0.5  0.5],[-0.5  0.5  0.5 -0.5  0.   0. ],13.931568569324178,0.0095448842761671,12.986536394741904,
1-5999ad2a0ed7ae0001991b57-pos_chain_3-generic_2,5999ad2a0ed7ae0001991b57,experiment_1,generic_2,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[ 1.  -0.5  0.   1.   0.   0.5],[1.  0.5 0.  0.5 0.  0. ],,13.931568569324178,7.144330177863709e-05,12.986185219717283,
1-5aead02c78b0060001e6b394-ccause_3-generic_0,5aead02c78b0060001e6b394,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[ 1.  1.  0. -1.  0.  0.],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,0.0026963663455843,12.986268489252396,
1-5aead02c78b0060001e6b394-collider_3-generic_1,5aead02c78b0060001e6b394,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[0.  0.5 0.5 0.5 0.  0. ],,13.931568569324178,1.6472713916415786e-05,12.986183992837397,
1-5aead02c78b0060001e6b394-crime_control_1-nolabel_control,5aead02c78b0060001e6b394,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.  -0.5],[-0.5  0.   0.5 -0.5  0.   0. ],,13.931568569324178,0.0054382561080781,12.98636553125876,
1-5aead02c78b0060001e6b394-pos_chain_3-generic_3,5aead02c78b0060001e6b394,experiment_1,generic_3,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[ 1.   1.   0.   1.   0.  -0.5],[-0.5  0.5 -0.5  0.5 -0.5 -0.5],,13.931568569324178,0.0029479278042999,12.986277630309186,
1-5b8bbd437073290001839123-ccause_2-generic_0,5b8bbd437073290001839123,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[ 1.   1.   0.  -0.5  0.  -0.5],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,0.0025211357444908,12.986255331216125,
1-5b8bbd437073290001839123-collider_3-generic_1,5b8bbd437073290001839123,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0.  0.5 0.  1.  0.  0. ],[ 0.  -0.5 -0.5  0.5  0.   0. ],,13.931568569324178,6.752102754365099e-05,12.986185090760522,
1-5b8bbd437073290001839123-crime_2-label,5b8bbd437073290001839123,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  0.5 -0.5  0.   0. ],[-0.5  0.   1.  -0.5  0.   0.5],13.931568569324178,1.8135186456769595e-05,12.986184026851369,
1-5b8bbd437073290001839123-pos_chain_2-generic_2,5b8bbd437073290001839123,experiment_1,generic_2,neg_chain,Adaptive_Selective_LC_&_1,[-1  0  0 -1  0  0],[-1.  -0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -0.5  0.   0. ],,13.931568569324178,0.0005219051492188,12.98619741699742,
1-5bcdd6be25295a0001a71beb-ccause_2-generic_0,5bcdd6be25295a0001a71beb,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.  0.  0.5],[ 1.   1.   0.  -0.5  0.   0. ],,13.931568569324178,0.0090283623939388,12.986511014091649,
1-5bcdd6be25295a0001a71beb-collider_3-generic_1,5bcdd6be25295a0001a71beb,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[ 0.   1.  -0.5  1.   0.  -0.5],,13.931568569324178,2.7512381719847568e-05,12.986184204487303,
1-5bcdd6be25295a0001a71beb-crime_3-label,5bcdd6be25295a0001a71beb,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0.5],[-1.  -0.5  1.  -1.   0.  -0.5],[-1.  1.  1. -1.  0. -1.],13.931568569324178,0.0009411618589585,12.986209833596224,
1-5bcdd6be25295a0001a71beb-pos_chain_3-generic_2,5bcdd6be25295a0001a71beb,experiment_1,generic_2,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[ 1.   1.  -0.5  1.   0.  -0.5],,13.931568569324178,0.0036329364550649,12.986293430703942,
1-5be87e33a14b540001aa2ea5-ccause_3-generic_0,5be87e33a14b540001aa2ea5,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0.5],[ 0.5  0.5  0.   0.   0.  -0.5],,13.931568569324178,0.0022542956646035,12.98624949497718,
1-5be87e33a14b540001aa2ea5-collider_3-generic_1,5be87e33a14b540001aa2ea5,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0.  0.5 0.  1.  0.  0. ],[ 0.   0.5  0.   0.5  0.  -0.5],,13.931568569324178,1.954714616275464e-05,12.986184061904511,
1-5be87e33a14b540001aa2ea5-crime_2-label,5be87e33a14b540001aa2ea5,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5 -0.5  0. ],[-1.  -0.5  1.  -1.  -0.5 -0.5],[-1.   0.5  1.  -1.   0.  -0.5],13.931568569324178,0.0002910255867985,12.98619047394996,
1-5be87e33a14b540001aa2ea5-pos_chain_3-generic_2,5be87e33a14b540001aa2ea5,experiment_1,generic_2,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[ 1.  -0.5  0.   1.   0.   0. ],[1.  0.5 0.  0.5 0.  0. ],,13.931568569324178,1.2624024438443456e-06,12.98618369222575,
1-5bfd745a8acfed00011a6975-ccause_2-generic_0,5bfd745a8acfed00011a6975,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.  0.  0.5],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,3.144361110841139e-06,12.986183725172651,
1-5bfd745a8acfed00011a6975-collider_3-generic_1,5bfd745a8acfed00011a6975,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0.  0.5 0.  1.  0.  0. ],[0.  0.5 0.  0.5 0.  0. ],,13.931568569324178,0.0001048126486846,12.986185980475293,
1-5bfd745a8acfed00011a6975-crime_control_4-nolabel_control,5bfd745a8acfed00011a6975,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1. -1.  1. -1.  0.  0.],[ 1.   0.5  0.5 -0.5  0.   0. ],,13.931568569324178,0.0051015169825445,12.98635661537422,
1-5bfd745a8acfed00011a6975-pos_chain_3-generic_3,5bfd745a8acfed00011a6975,experiment_1,generic_3,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[ 1.   0.5  0.   1.   0.  -0.5],[1.  0.5 0.  1.  0.  0. ],,13.931568569324178,0.000632986401974,12.986200236448598,
1-5c3f62338cb6f5000180b697-ccause_3-generic_0,5c3f62338cb6f5000180b697,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0.5],[1. 1. 0. 0. 0. 0.],,13.931568569324178,0.0005359020840044,12.986196221002889,
1-5c3f62338cb6f5000180b697-collider_3-generic_1,5c3f62338cb6f5000180b697,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[0. 1. 0. 1. 0. 0.],,13.931568569324178,0.0016970988113248,12.986231616944591,
1-5c3f62338cb6f5000180b697-crime_0-label,5c3f62338cb6f5000180b697,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.   0.  -0.5  0. ],[-1.  -0.5  1.  -1.   0.   0. ],[-0.5  0.   1.  -1.   0.   0. ],13.931568569324178,0.0064103275474967,12.986392885114238,
1-5c3f62338cb6f5000180b697-pos_chain_3-generic_2,5c3f62338cb6f5000180b697,experiment_1,generic_2,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],[1.  0.5 0.  1.  0.  0. ],,13.931568569324178,2.4487233797036883e-07,12.9861836750703,
1-5c405aee40de0b0001437db0-ccause_2-generic_0,5c405aee40de0b0001437db0,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0. ],[1. 1. 0. 0. 0. 0.],,13.931568569324178,0.0024649389385567,12.986260081011515,
1-5c405aee40de0b0001437db0-collider_3-generic_1,5c405aee40de0b0001437db0,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[0. 1. 0. 1. 0. 0.],,13.931568569324178,1.854075854039084e-05,12.986184038838758,
1-5c405aee40de0b0001437db0-crime_control_0-nolabel_control,5c405aee40de0b0001437db0,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -1.   0.  -1. ],[-1.  -0.5  1.  -1.   0.   0. ],,13.931568569324178,0.0025973874417235,12.986263827688214,
1-5c405aee40de0b0001437db0-pos_chain_3-generic_3,5c405aee40de0b0001437db0,experiment_1,generic_3,pos_chain,Adaptive_Selective_LC_&_1,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],[-1.  0.  0.  1.  0.  0.],,13.931568569324178,3.412716857747464e-06,12.986183731143068,
1-5c48734767be2c0001074eb6-ccause_2-generic_0,5c48734767be2c0001074eb6,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[ 1.   1.   0.   1.   0.  -0.5],[1. 1. 0. 0. 0. 0.],,13.931568569324178,0.0001440975797607,12.98618680803759,
1-5c48734767be2c0001074eb6-collider_2-generic_1,5c48734767be2c0001074eb6,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[ 0 -1  0 -1  0  0],[ 0.  -0.5  0.  -1.   0.   0. ],[ 0. -1.  0. -1.  0.  0.],,13.931568569324178,0.0003165237873392,12.98619165118606,
1-5c48734767be2c0001074eb6-crime_control_1-nolabel_control,5c48734767be2c0001074eb6,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -1.   0.   0. ],,13.931568569324178,0.0027423047522193,12.98626664433718,
1-5c48734767be2c0001074eb6-pos_chain_2-generic_3,5c48734767be2c0001074eb6,experiment_1,generic_3,neg_chain,Adaptive_Selective_LC_&_1,[-1  0  0 -1  0  0],[-1.  0.  0. -1.  0.  0.],[-1.  0.  0. -1.  0.  0.],,13.931568569324178,0.0001365453882251,12.986186820282237,
1-5c5af8dfe7f42600017cde68-ccause_2-generic_0,5c5af8dfe7f42600017cde68,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[ 1.   1.   0.   0.   0.  -0.5],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,1.4932093784630194e-06,12.98618369519834,
1-5c5af8dfe7f42600017cde68-collider_2-generic_1,5c5af8dfe7f42600017cde68,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],[ 0.  -1.  -0.5  0.5 -1.   0. ],,13.931568569324178,0.0009788735648151,12.986209488094229,
1-5c5af8dfe7f42600017cde68-crime_2-label,5c5af8dfe7f42600017cde68,experiment_1,label,crime,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.   0.   1.  -0.5  0.5  0. ],[-1.  -0.5  0.5 -1.   0.   0. ],[-0.5  0.5  0.5 -0.5  0.   0. ],13.931568569324178,0.0020349085165359,12.986245839031811,
1-5c5af8dfe7f42600017cde68-pos_chain_2-generic_2,5c5af8dfe7f42600017cde68,experiment_1,generic_2,neg_chain,Adaptive_Selective_LC_&_1,[-1  0  0 -1  0  0],[-1.   1.   0.  -1.   0.   0.5],[-0.5  0.5 -0.5 -0.5  0.5 -0.5],,13.931568569324178,0.0008718373939367,12.98620656928528,
1-5c665e1948985d0001f09675-ccause_3-generic_0,5c665e1948985d0001f09675,experiment_1,generic_0,ccause,Adaptive_Selective_LC_&_1,[1 1 0 0 0 0],[ 1.   1.   0.  -0.5  0.  -0.5],[0.5 0.5 0.  0.  0.  0. ],,13.931568569324178,0.0004831131687821,12.986196371282372,
1-5c665e1948985d0001f09675-collider_2-generic_1,5c665e1948985d0001f09675,experiment_1,generic_1,collider,Adaptive_Selective_LC_&_1,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],[ 0. -1.  0. -1.  0.  0.],,13.931568569324178,1.6553034101817828e-05,12.986183999626174,
1-5c665e1948985d0001f09675-crime_control_5-nolabel_control,5c665e1948985d0001f09675,experiment_1,nolabel_control,crime_control,Adaptive_Selective_LC_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.   0.   0.   1. ],[-0.5  0.   0.5 -1.   0.   0. ],,13.931568569324178,0.0002347585213499,12.986189212795528,
