utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
3-56cb8858edf8da000b6df354-crime_0-congruent,56cb8858edf8da000b6df354,experiment_3,congruent,crime,LC_discrete_&_1,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],[-0.5  0.   1.  -1.   0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],13.93156857,1.05E-40,7.334717774,{'smoothing': 2.61811856}
3-56cb8858edf8da000b6df354-dampened_3-generic_0,56cb8858edf8da000b6df354,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.  0.  0.  1.  0.  0.],[-1. -1.  0.  1.  0.  0.],,13.93156857,9.01E-05,7.334727951,{'smoothing': 2.61811856}
3-56cb8858edf8da000b6df354-finance_0-incongruent,56cb8858edf8da000b6df354,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0 -1  0  0  1  0],[ 0.  -1.   0.   0.5  1.   0. ],[ 0.  -1.   0.   0.   0.5  0. ],[ 0.  1.  0.  0. -1.  0.],13.93156857,4.86E-27,7.334717774,{'smoothing': 2.61811856}
3-56cb8858edf8da000b6df354-pos_chain_2-generic_1,56cb8858edf8da000b6df354,experiment_3,generic_1,neg_chain,LC_discrete_&_1,[-1  0  0 -1  0  0],[-1.   0.5  0.  -1.   0.   0. ],[-1.   1.   0.  -0.5  0.   0. ],,13.93156857,0.008396648,7.336241613,{'smoothing': 2.61811856}
3-571de12713b1b70012be47f6-crime_1-incongruent,571de12713b1b70012be47f6,experiment_3,incongruent,crime,LC_discrete_&_1,[ 1  0 -1  0  0 -1],[ 1.   0.  -1.   0.   0.5 -1. ],[ 1.   0.  -1.   0.   0.5 -0.5],[-1.  0.  1. -1.  0.  0.],13.93156857,8.64E-31,5.900134543,{'smoothing': 2.99573227}
3-571de12713b1b70012be47f6-dampened_2-generic_0,571de12713b1b70012be47f6,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.  -0.5  0.  -1.   0.   0. ],[-1.  -0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],,13.93156857,0.000174246,5.900156173,{'smoothing': 2.99573227}
3-571de12713b1b70012be47f6-finance_1-congruent,571de12713b1b70012be47f6,experiment_3,congruent,finance,LC_discrete_&_1,[-1  1  0  0 -1 -1],[-1.   1.   0.5  0.  -1.  -1. ],[-1.   1.   0.   0.  -1.  -0.5],[-1.  1.  0.  0. -1. -1.],13.93156857,5.57E-37,5.900134543,{'smoothing': 2.99573227}
3-571de12713b1b70012be47f6-pos_chain_3-generic_1,571de12713b1b70012be47f6,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[1. 0. 0. 1. 0. 0.],,13.93156857,1.06E-10,5.900134543,{'smoothing': 2.99573227}
3-572f526c3c27e7000e0b8aaa-crime_0-congruent,572f526c3c27e7000e0b8aaa,experiment_3,congruent,crime,LC_discrete_&_1,[-0.5  0.5  0.5 -0.5  0.   0. ],[-0.5  0.5  0.5 -0.5  0.   0. ],[-0.5  0.5  0.5 -0.5  0.   0. ],[-0.5  0.5  0.5 -0.5  0.   0. ],13.93156857,1.27E-14,11.98336852,{'smoothing': 1.39182716}
3-572f526c3c27e7000e0b8aaa-dampened_3-generic_0,572f526c3c27e7000e0b8aaa,experiment_3,generic_0,dampened,LC_discrete_&_1,[-1.   0.5  0.   1.   0.   0. ],[-1.  0.  0.  1.  0.  0.],[1.  0.5 0.  0.  0.5 0. ],,13.93156857,7.29E-15,11.98336852,{'smoothing': 1.39182716}
3-572f526c3c27e7000e0b8aaa-finance_0-incongruent,572f526c3c27e7000e0b8aaa,experiment_3,incongruent,finance,LC_discrete_&_1,[ 0.  -1.  -0.5 -0.5  0.5  0. ],[ 0.  -1.  -0.5  0.   0.5  0. ],[-0.5  0.5  0.   0.  -0.5 -0.5],[-0.5  0.5  0.   0.  -1.  -0.5],13.93156857,6.44E-07,11.98336854,{'smoothing': 1.39182716}
3-572f526c3c27e7000e0b8aaa-pos_chain_3-generic_1,572f526c3c27e7000e0b8aaa,experiment_3,generic_1,pos_chain,LC_discrete_&_1,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[1.  0.5 0.  0.5 0.  0. ],,13.93156857,1.15E-34,11.98336852,{'smoothing': 1.39182716}
