utid,pid,experiment,difficulty,scenario,model_name,ground_truth,posterior_map,posterior_judgement,prior_judgement,prior_entropy,posterior_entropy_unsmoothed,posterior_entropy,model_specs
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,56da8da8c5b248000ae2adaf,experiment_1,generic_0,ccause,LC_discrete_att_&_att,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 1.],[0.5 0.5 0.  0.  0.  0. ],,13.93156857,0.018153641,12.98682453,
1-56da8da8c5b248000ae2adaf-collider_2-generic_1,56da8da8c5b248000ae2adaf,experiment_1,generic_1,collider,LC_discrete_att_&_att,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],[0.  0.5 0.  0.5 0.  0. ],,13.93156857,0.028054707,12.98740865,
1-56da8da8c5b248000ae2adaf-crime_4-label,56da8da8c5b248000ae2adaf,experiment_1,label,crime,LC_discrete_att_&_att,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],[-0.5  0.   0.5 -0.5  0.   0. ],[-0.5  0.5  0.5 -0.5  0.  -0.5],13.93156857,0.009291035,12.98649463,
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,56da8da8c5b248000ae2adaf,experiment_1,generic_2,pos_chain,LC_discrete_att_&_att,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[1.  0.5 0.  0.5 0.  0.5],,13.93156857,0.003290294,12.98627754,
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,57e91ff08dcd2c00014bea18,experiment_1,generic_0,ccause,LC_discrete_att_&_att,[1 1 0 0 0 0],[ 1.  1.  0.  0.  0. -1.],[0.5 0.5 0.  0.  0.  0. ],,13.93156857,0.004328338,12.98632651,
1-57e91ff08dcd2c00014bea18-collider_2-generic_1,57e91ff08dcd2c00014bea18,experiment_1,generic_1,collider,LC_discrete_att_&_att,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],[ 0. -1.  0. -1.  0.  0.],,13.93156857,3.93E-05,12.98618446,
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,57e91ff08dcd2c00014bea18,experiment_1,nolabel_control,crime_control,LC_discrete_att_&_att,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -1.   1.  -0.5  0.   0. ],[-1.  -0.5  0.5 -0.5  0.   0. ],,13.93156857,0.041679972,12.98811384,
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,57e91ff08dcd2c00014bea18,experiment_1,generic_3,pos_chain,LC_discrete_att_&_att,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],[1.  0.5 0.  1.  0.  0. ],,13.93156857,7.40E-05,12.98618516,
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,5999ad2a0ed7ae0001991b57,experiment_1,generic_0,ccause,LC_discrete_att_&_att,[1 1 0 0 0 0],[1.  1.  0.  0.  0.  0.5],[ 1.   1.   0.  -0.5  0.   0. ],,13.93156857,0.002140396,12.98624414,
1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,5999ad2a0ed7ae0001991b57,experiment_1,generic_1,collider,LC_discrete_att_&_att,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],[0.  0.5 0.5 1.  0.  0. ],,13.93156857,0.009361628,12.98649944,
